proportion_train,proportion_test,value
0.8,0.1,5.025381689539366
0.8,0.3,2.5834230191715988
0.8,0.5,4.352857012092782
0.8,0.7,3.5949044851538092
0.8,0.9,1.991918351996387
0.8,0.1,5.083489593150513
0.8,0.3,5.761219842490967
0.8,0.5,4.522869360584356
0.8,0.7,4.272327579031721
0.8,0.9,5.410099505529735
0.8,0.1,3.033273320286468
0.8,0.3,2.3700989470960634
0.8,0.5,3.2236451973835605
0.8,0.7,4.5495570536792
0.8,0.9,2.5212599890551677
0.8,0.1,3.3857668083359185
0.8,0.3,3.304205407883134
0.8,0.5,9.494504513649279
0.8,0.7,6.19643196673342
0.8,0.9,4.809294485792731
0.8,0.1,3.071880773773604
0.8,0.3,5.562351839995127
0.8,0.5,4.891219462572673
0.8,0.7,2.8903216918928187
0.8,0.9,5.1738423206019055
0.8,0.1,6.538543311793125
0.8,0.3,2.8398157311365138
0.8,0.5,3.4885680775166126
0.8,0.7,3.6274960242295373
0.8,0.9,2.914495514581853
0.8,0.1,3.2779079944513847
0.8,0.3,3.1409268404709163
0.8,0.5,2.35012920564299
0.8,0.7,5.554643607239405
0.8,0.9,4.348116702993521
0.8,0.1,3.4341895197070107
0.8,0.3,2.9618173231237956
0.8,0.5,2.9494238228095546
0.8,0.7,5.26793658758322
0.8,0.9,4.216137375201335
0.8,0.1,4.563962223173328
0.8,0.3,5.9656083220214935
0.8,0.5,3.5892484676224767
0.8,0.7,5.2678042116989365
0.8,0.9,5.762750649349541
0.8,0.1,4.817205613252649
0.8,0.3,2.6879791327291414
0.8,0.5,6.429118932708028
0.8,0.7,5.286658752477912
0.8,0.9,3.31408531913311
0.8,0.1,3.2369357880721816
0.8,0.3,4.700139202170395
0.8,0.5,5.7448499449702535
0.8,0.7,4.134631485519797
0.8,0.9,3.2889466668011695
0.8,0.1,4.856615101451759
0.8,0.3,3.2617733749012916
0.8,0.5,2.5326733010950164
0.8,0.7,4.556293617127616
0.8,0.9,8.90318256600194
0.8,0.1,3.356035911985561
0.8,0.3,3.2644911717238907
0.8,0.5,4.008332623400186
0.8,0.7,9.800354923004168
0.8,0.9,4.346479897340091
0.8,0.1,5.588276052607945
0.8,0.3,2.9921815571244186
0.8,0.5,3.286892422074753
0.8,0.7,5.898076987580249
0.8,0.9,2.0115629976089493
0.8,0.1,1.8724185982253851
0.8,0.3,3.579701142789858
0.8,0.5,4.384094742947219
0.8,0.7,3.9613341546056873
0.8,0.9,2.8277144208308043
0.8,0.1,3.1709161402120225
0.8,0.3,3.930259416662335
0.8,0.5,3.212729270338442
0.8,0.7,2.378465967104908
0.8,0.9,5.730026620951566
0.8,0.1,4.645364071102233
0.8,0.3,2.460888670136585
0.8,0.5,2.7669504090236567
0.8,0.7,3.6205696144029855
0.8,0.9,2.8342640307887446
0.8,0.1,5.08936980992413
0.8,0.3,5.316263028037641
0.8,0.5,5.6459391592557955
0.8,0.7,2.8418153083609625
0.8,0.9,5.092860525440087
0.8,0.1,3.4663686176491053
0.8,0.3,2.7158117714038776
0.8,0.5,2.9921958351721676
0.8,0.7,12.424326061860226
0.8,0.9,3.9224301518036415
0.8,0.1,5.30888727718278
0.8,0.3,6.016143006331611
0.8,0.5,5.446781727999591
0.8,0.7,13.33946468731718
0.8,0.9,2.524577327987722
0.8,0.1,2.7030880348979713
0.8,0.3,2.4819376262655237
0.8,0.5,2.468932291025332
0.8,0.7,3.921025401459356
0.8,0.9,6.5876667533765
0.8,0.1,4.534869666236439
0.8,0.3,4.742596681002509
0.8,0.5,4.8205608234550965
0.8,0.7,2.998778997537921
0.8,0.9,2.4559749798425003
0.8,0.1,5.2281789595551755
0.8,0.3,3.6177107116594267
0.8,0.5,6.262091484297976
0.8,0.7,5.012972189802588
0.8,0.9,2.6414959123704933
0.8,0.1,2.430338348396661
0.8,0.3,4.47963197168551
0.8,0.5,2.9202187768661703
0.8,0.7,5.91970135856901
0.8,0.9,2.545348668922071
0.8,0.1,4.899277913622518
0.8,0.3,2.5512041695405947
0.8,0.5,7.987905716205364
0.8,0.7,7.7106721567439545
0.8,0.9,3.3234729500482096
0.8,0.1,5.890772625219308
0.8,0.3,5.953834044940448
0.8,0.5,5.656917900018501
0.8,0.7,2.521331576621115
0.8,0.9,3.6947764822113465
0.8,0.1,3.734947843160926
0.8,0.3,3.9196967353532757
0.8,0.5,2.781292772764456
0.8,0.7,11.498315117986579
0.8,0.9,5.290252906198403
0.8,0.1,4.2732757793702
0.8,0.3,4.91112543735364
0.8,0.5,5.770145655556729
0.8,0.7,3.8923427811958806
0.8,0.9,4.045396709556215
0.8,0.1,3.7123309480316906
0.8,0.3,4.8554961776277095
0.8,0.5,3.2492742423064396
0.8,0.7,4.438345401848903
0.8,0.9,2.6086687803659676
0.8,0.1,12.873731850813453
0.8,0.3,6.09380842320661
0.8,0.5,5.670092714049599
0.8,0.7,2.407097297058525
0.8,0.9,8.688072787517566
