proportion_train,proportion_test,value
0.8,0.1,2.3896401450083715
0.8,0.3,2.7096155869333365
0.8,0.5,6.208899131371645
0.8,0.7,1.7976003369311113
0.8,0.9,15.893524180770493
0.8,0.1,2.848907094774634
0.8,0.3,4.398759969239521
0.8,0.5,2.744900195901143
0.8,0.7,3.2710859975632296
0.8,0.9,1.9962042184479036
0.8,0.1,3.7710455922889365
0.8,0.3,20.41820668273423
0.8,0.5,5.760503107970981
0.8,0.7,5.444759130968076
0.8,0.9,3.416431849168248
0.8,0.1,2.936635372483096
0.8,0.3,3.4358349469097322
0.8,0.5,4.43582669130976
0.8,0.7,6.1306026339302795
0.8,0.9,3.4971455597955927
0.8,0.1,4.5571457555590635
0.8,0.3,8.902327527018112
0.8,0.5,4.297705317265109
0.8,0.7,15.352063037661132
0.8,0.9,5.171933049362813
0.8,0.1,6.0774965853896425
0.8,0.3,8.03323198609375
0.8,0.5,5.8807895876346015
0.8,0.7,5.085213133113807
0.8,0.9,9.36889889192353
0.8,0.1,4.480293404529112
0.8,0.3,6.678613263810651
0.8,0.5,6.195934214751686
0.8,0.7,2.527666395444726
0.8,0.9,4.826483777681606
0.8,0.1,2.8832673493295053
0.8,0.3,3.2751494533565055
0.8,0.5,3.0661495477504275
0.8,0.7,4.59768547319767
0.8,0.9,2.22747690667195
0.8,0.1,5.972701833308741
0.8,0.3,4.1824666216117485
0.8,0.5,12.277360116431586
0.8,0.7,2.2886073557018753
0.8,0.9,5.777664136127992
0.8,0.1,2.701072300253753
0.8,0.3,4.46341352859717
0.8,0.5,5.342975009833796
0.8,0.7,4.66512932597165
0.8,0.9,3.2323216384643483
0.8,0.1,4.604440172251902
0.8,0.3,3.235645933014354
0.8,0.5,3.9682006315862024
0.8,0.7,9.0031757391811
0.8,0.9,4.054817068320141
0.8,0.1,8.274788634457657
0.8,0.3,5.242966169153327
0.8,0.5,6.029651512361742
0.8,0.7,2.5882287103018964
0.8,0.9,3.2251839610264064
0.8,0.1,4.954552324206065
0.8,0.3,2.504426439829242
0.8,0.5,4.857712050729106
0.8,0.7,3.9148597049935936
0.8,0.9,5.496625970071583
0.8,0.1,3.1157010615666945
0.8,0.3,2.4955113884934965
0.8,0.5,5.155305827486743
0.8,0.7,8.478921064919833
0.8,0.9,2.2243449653634744
0.8,0.1,4.054490380996374
0.8,0.3,1.6827712516750446
0.8,0.5,5.158021763559234
0.8,0.7,3.470260688072186
0.8,0.9,3.3622077513265127
0.8,0.1,3.77268162510184
0.8,0.3,25.438531183055712
0.8,0.5,2.3582652171433827
0.8,0.7,5.63221293297681
0.8,0.9,5.943281243651678
0.8,0.1,5.455791605486218
0.8,0.3,3.7044909470973972
0.8,0.5,9.499481295639177
0.8,0.7,2.7021636108168217
0.8,0.9,2.3588516746411483
0.8,0.1,2.471112653408626
0.8,0.3,2.8360218186715715
0.8,0.5,3.5959020423040724
0.8,0.7,4.93108041813499
0.8,0.9,4.312097187372343
0.8,0.1,7.937927520731419
0.8,0.3,3.982293959004118
0.8,0.5,2.4316351025797536
0.8,0.7,8.211746690946333
0.8,0.9,2.595190702011211
0.8,0.1,2.4082911179031012
0.8,0.3,2.4420878497721477
0.8,0.5,2.6917580259224163
0.8,0.7,4.225279055571442
0.8,0.9,4.27167119803978
0.8,0.1,8.384566660899152
0.8,0.3,5.389407263535636
0.8,0.5,15.55916712553236
0.8,0.7,3.6548144521557115
0.8,0.9,4.6249099525994675
0.8,0.1,3.8259516096443082
0.8,0.3,5.838984930400144
0.8,0.5,5.219929076724075
0.8,0.7,2.4335928693957376
0.8,0.9,5.4048227322614935
0.8,0.1,6.081902395954542
0.8,0.3,3.3800452749781384
0.8,0.5,2.3161003791489723
0.8,0.7,2.912518127505182
0.8,0.9,3.8627517026149483
0.8,0.1,2.934232087101226
0.8,0.3,3.941385052554915
0.8,0.5,5.801033282918704
0.8,0.7,5.410526315561322
0.8,0.9,2.983641914568449
0.8,0.1,5.414219071954917
0.8,0.3,8.671284746025739
0.8,0.5,3.069313611530267
0.8,0.7,2.8217400176673415
0.8,0.9,3.3871700800509688
0.8,0.1,5.332903539015061
0.8,0.3,5.038505736205495
0.8,0.5,9.024398397961585
0.8,0.7,4.765430160293168
0.8,0.9,4.765573895508023
0.8,0.1,5.350142462194661
0.8,0.3,2.5816003072514917
0.8,0.5,6.440125824069721
0.8,0.7,4.980217686041691
0.8,0.9,5.417874358803498
0.8,0.1,3.0047628361283762
0.8,0.3,7.107588656211013
0.8,0.5,7.366213065183869
0.8,0.7,4.782230185743011
0.8,0.9,3.8073319315339966
0.8,0.1,10.90614703950129
0.8,0.3,5.208433791433224
0.8,0.5,4.011901257201744
0.8,0.7,4.093824074635522
0.8,0.9,2.5390817158444645
0.8,0.1,12.092895647101997
0.8,0.3,7.763312025503679
0.8,0.5,3.788864240698409
0.8,0.7,4.757926013231563
0.8,0.9,3.1965684799999714
