proportion_train,proportion_test,value
0.8,0.1,13.48363372682183
0.8,0.1,12.662250781134535
0.8,0.1,11.905373355520776
0.8,0.1,11.97283163265288
0.8,0.1,13.132158087115368
0.8,0.1,11.47690292333147
0.8,0.3,13.43560448344071
0.8,0.3,14.88722268502857
0.8,0.3,11.655909802432676
0.8,0.3,15.396549542437219
0.8,0.3,15.012614971406705
0.8,0.3,14.80694033692354
0.8,0.5,12.184957955139247
0.8,0.5,12.621413151905449
0.8,0.5,10.922064893373042
0.8,0.5,14.464375943785528
0.8,0.5,13.97986322188435
0.8,0.5,13.09722144367445
0.8,0.7,11.530087414534155
0.8,0.7,13.884503324739477
0.8,0.7,14.570821605629572
0.8,0.7,12.171812636706726
0.8,0.7,12.679777924824846
0.8,0.7,13.258219954647782
0.8,0.9,14.559983322110035
0.8,0.9,15.099933808724268
0.8,0.9,13.712687074829583
0.8,0.9,12.169220840301461
0.8,0.9,14.231933320883133
0.8,0.9,12.68035599035083
0.8,0.1,13.122327313454356
0.8,0.1,9.747708430674047
0.8,0.1,13.106019823023022
0.8,0.1,11.979873473102316
0.8,0.1,15.092687053962722
0.8,0.1,13.286948741460645
0.8,0.3,13.018662728245067
0.8,0.3,13.040667109514677
0.8,0.3,16.496116297957464
0.8,0.3,15.387326268165989
0.8,0.3,11.66261803217258
0.8,0.3,12.70126514555161
0.8,0.5,12.418276895474696
0.8,0.5,16.434314274139723
0.8,0.5,11.770758002877702
0.8,0.5,13.839362446357304
0.8,0.5,10.652810792483212
0.8,0.5,12.525295057781863
0.8,0.7,12.652550609217961
0.8,0.7,14.022839686831198
0.8,0.7,12.525433136432932
0.8,0.7,14.268344502286283
0.8,0.7,12.31381293005869
0.8,0.7,11.790584415584384
0.8,0.9,13.623866213147313
0.8,0.9,13.388392857142769
0.8,0.9,14.380782312925072
0.8,0.9,13.18507704084355
0.8,0.9,13.758861679433682
0.8,0.9,15.95833210901219
0.8,0.1,11.005335499735617
0.8,0.1,12.476225182031515
0.8,0.1,10.70956682307184
0.8,0.1,12.45958374130149
0.8,0.1,11.12498596380135
0.8,0.3,13.747204912556699
0.8,0.1,13.00725561841566
0.8,0.3,12.082885051325164
0.8,0.3,10.843950233278496
0.8,0.3,15.026873753207784
0.8,0.3,13.306326100899467
0.8,0.3,12.701102101416792
0.8,0.5,11.836521577874532
0.8,0.5,14.340341308935226
0.8,0.5,11.526929144087628
0.8,0.5,13.353526669057299
0.8,0.5,12.944874504005012
0.8,0.5,14.308427294508206
0.8,0.7,14.227040816326316
0.8,0.7,12.577874778683848
0.8,0.7,13.75704081626566
0.8,0.7,15.964973827940035
0.8,0.7,13.819544245157877
0.8,0.7,10.40991455285876
0.8,0.9,12.112316459259963
0.8,0.9,14.243804664722918
0.8,0.9,13.686889282245543
0.8,0.9,11.529767175736712
0.8,0.9,11.636881464680116
0.8,0.9,11.542843415654042
0.8,0.1,14.947230319935384
0.8,0.1,12.28107185980103
0.8,0.1,11.603434563104104
0.8,0.1,11.761005614313415
0.8,0.1,12.385204081583522
0.8,0.3,14.758168232224362
0.8,0.3,13.201371166233894
0.8,0.3,14.784488450647935
0.8,0.1,15.618070484325617
0.8,0.3,16.325447302207607
0.8,0.3,12.18531444360893
0.8,0.5,14.725013960870246
0.8,0.5,12.03677926760974
0.8,0.3,11.580777959983653
0.8,0.5,12.62374333628938
0.8,0.5,12.343257352123342
0.8,0.5,12.783937767625488
0.8,0.7,12.224594361666247
0.8,0.7,12.70220970329122
0.8,0.5,12.483802176238084
0.8,0.7,16.950946471850624
0.8,0.7,13.181892693017485
0.8,0.7,13.132823129247964
0.8,0.9,14.075096843705426
0.8,0.9,12.551593960086052
0.8,0.7,12.165047546171833
0.8,0.9,14.650510204081531
0.8,0.9,12.85479492988749
0.8,0.9,11.037852238808611
0.8,0.1,10.655096954450158
0.8,0.1,11.765323885650721
0.8,0.9,12.679017857129764
0.8,0.1,11.589479708508582
0.8,0.1,10.570354721577012
0.8,0.1,13.084896633121394
0.8,0.3,14.548751675610847
0.8,0.3,13.146738757548635
0.8,0.3,13.349137314086224
0.8,0.3,13.559397674748578
0.8,0.3,14.52767726285358
0.8,0.1,12.929325139146428
0.8,0.5,12.937629400154385
0.8,0.5,11.63683315486325
0.8,0.5,13.359753901560559
0.8,0.5,14.493641680423174
0.8,0.5,17.35074094610272
0.8,0.3,11.883654094546403
0.8,0.7,13.427417395440155
0.8,0.7,11.190705563818424
0.8,0.7,13.390890657552898
0.8,0.7,13.042091836391279
0.8,0.5,11.272014549836133
0.8,0.7,12.75937352944937
0.8,0.9,15.488210559334485
0.8,0.9,12.833786111847287
0.8,0.9,13.770868062487278
0.8,0.7,14.64169758812456
0.8,0.9,13.427154195010942
0.8,0.9,14.142533774072202
0.8,0.9,13.0444907786375
