proportion_train,proportion_test,value
0.8,0.1,12.34459383688821
0.8,0.3,10.82570928539846
0.8,0.5,12.306289155235062
0.8,0.7,11.500248880039203
0.8,0.9,11.631205651271026
0.8,0.1,10.586966074050446
0.8,0.3,11.921410130317055
0.8,0.5,12.10224827186828
0.8,0.7,11.110758558202832
0.8,0.9,13.312786311857275
0.8,0.1,11.179473267722685
0.8,0.3,12.157336873098158
0.8,0.5,15.869546094299606
0.8,0.7,12.128656458806098
0.8,0.9,13.295503084954824
0.8,0.1,13.992514232542954
0.8,0.3,15.317085558375252
0.8,0.5,13.007798833732501
0.8,0.7,11.095106532054272
0.8,0.9,12.999034749023279
0.8,0.1,12.907308737320358
0.8,0.3,12.784888535111085
0.8,0.5,14.917797499488541
0.8,0.7,13.582105504433951
0.8,0.9,12.621137484662963
0.8,0.1,14.088916892055689
0.8,0.3,10.71680126367456
0.8,0.5,14.368939228521251
0.8,0.7,13.254944570420653
0.8,0.9,12.89841062710474
0.8,0.1,14.244297719086974
0.8,0.3,11.572807211508076
0.8,0.5,14.013115246098401
0.8,0.7,12.759554328289132
0.8,0.9,12.778948502847559
0.8,0.1,13.334622780356753
0.8,0.3,11.612701080430725
0.8,0.5,13.955944737443602
0.8,0.7,12.525326861932458
0.8,0.9,11.82169411369176
0.8,0.1,12.529556439913533
0.8,0.3,12.893249607535555
0.8,0.5,13.191518380876555
0.8,0.7,12.618042671613749
0.8,0.9,13.109813515873606
0.8,0.1,12.800928007682305
0.8,0.3,12.912822569970976
0.8,0.5,12.599243723096206
0.8,0.7,10.828351918481584
0.8,0.9,13.370858727245459
0.8,0.1,12.462666081348917
0.8,0.3,11.479558109474
0.8,0.5,13.997053215313304
0.8,0.7,11.912210878183858
0.8,0.9,11.504899669157492
0.8,0.1,15.823341835015535
0.8,0.3,14.42616556126828
0.8,0.5,13.32120087512553
0.8,0.7,13.445724841642704
0.8,0.9,15.786910076486922
0.8,0.1,11.468421605523728
0.8,0.3,12.105526608992733
0.8,0.5,14.35153058032945
0.8,0.7,13.352866146458357
0.8,0.9,13.431003796867586
0.8,0.1,13.781978020130593
0.8,0.3,12.71968074880116
0.8,0.5,11.26421282760058
0.8,0.7,15.363444523540725
0.8,0.9,15.39554456192179
0.8,0.1,16.479818468837266
0.8,0.3,10.700234413877844
0.8,0.5,13.867988907718813
0.8,0.7,13.867388614493231
0.8,0.9,12.136785419814851
0.8,0.1,16.6993727401935
0.8,0.3,13.676160455029668
0.8,0.5,10.605292359259664
0.8,0.7,10.827419930710638
0.8,0.9,13.502482993197246
0.8,0.1,14.54433113850971
0.8,0.3,10.350136326719285
0.8,0.5,12.268465557974649
0.8,0.7,11.966859414856799
0.8,0.9,14.587994058382789
0.8,0.1,11.334955322399722
0.8,0.3,12.239236880065299
0.8,0.5,11.396712839327
0.8,0.7,11.872039419721673
0.8,0.9,14.473785862077351
0.8,0.1,13.655877624002322
0.8,0.3,10.625802099246044
0.8,0.5,12.187594215701804
0.8,0.7,11.578377794160078
0.8,0.9,12.410120298386225
0.8,0.1,13.789840006082114
0.8,0.3,12.7833292539419
0.8,0.5,14.517724622316342
0.8,0.7,12.93880690783366
0.8,0.9,13.598903613517116
0.8,0.1,12.08290106030445
0.8,0.3,10.509730121130815
0.8,0.5,10.34844774904433
0.8,0.7,14.168537414940118
0.8,0.9,14.38139550379511
0.8,0.1,13.761202307009764
0.8,0.3,17.463227974106527
0.8,0.5,14.481238757917996
0.8,0.7,11.951419009281292
0.8,0.9,15.262998632852131
0.8,0.1,12.915670553922489
0.8,0.3,13.997946738447594
0.8,0.5,11.217212489034361
0.8,0.7,14.736880464483225
0.8,0.9,10.817290760975942
0.8,0.1,11.932615456132718
0.8,0.3,11.41714016315441
0.8,0.5,11.504957864266641
0.8,0.7,11.923271068902212
0.8,0.9,15.59293600788044
0.8,0.1,12.95799319725847
0.8,0.3,11.942793366965173
0.8,0.5,15.094659721940959
0.8,0.7,12.634056122448989
0.8,0.9,14.55106482804061
0.8,0.1,12.81582840206594
0.8,0.3,12.386881464908853
0.8,0.5,12.312590316218754
0.8,0.7,12.471131714144871
0.8,0.9,11.78645201283942
0.8,0.1,13.843253652792898
0.8,0.3,11.2512281879235
0.8,0.5,16.029827462906624
0.8,0.7,13.369318069705217
0.8,0.9,14.009153661464493
0.8,0.1,13.863338192220633
0.8,0.3,11.424786024659156
0.8,0.5,15.399506242817482
0.8,0.7,10.97737224719799
0.8,0.1,12.225589465938763
0.8,0.3,13.120839296927134
0.8,0.5,13.635136774823906
0.8,0.7,14.781985871271537
0.8,0.9,11.736777487411812
0.8,0.1,10.607725092352961
0.8,0.3,11.683648020701321
0.8,0.5,10.715232372658805
0.8,0.7,11.76593549929628
0.8,0.9,15.145080601840148
0.8,0.1,14.085658962380059
0.8,0.3,11.732893157262861
0.8,0.5,13.967288814259874
0.8,0.7,16.65134124870961
