proportion_train,proportion_test,value
0.8,0.1,2.583708924847214
0.8,0.3,7.218954146256986
0.8,0.5,6.5125374200433495
0.8,0.7,7.362053232130747
0.8,0.9,6.9998021698046635
0.8,0.1,4.735187347467456
0.8,0.3,5.457648718752737
0.8,0.5,7.86071021422006
0.8,0.7,7.5866321427490515
0.8,0.9,6.918373506599535
0.8,0.1,4.971836936123231
0.8,0.3,6.860000041440381
0.8,0.5,7.878025923363187
0.8,0.7,7.530284256323734
0.8,0.9,7.281069716791637
0.8,0.1,7.543890486474219
0.8,0.3,6.356844886732953
0.8,0.5,6.179791075865236
0.8,0.7,7.26795141575345
0.8,0.9,6.820286802851783
0.8,0.1,5.265579772540207
0.8,0.3,5.777894740152186
0.8,0.5,5.922889261548801
0.8,0.7,7.250236091979429
0.8,0.9,6.342026763498782
0.8,0.1,5.085540882923773
0.8,0.3,7.251662911553867
0.8,0.5,7.726889497872856
0.8,0.7,7.295882056366352
0.8,0.9,7.209566589562517
0.8,0.1,7.1064701183218695
0.8,0.3,8.632102722283804
0.8,0.5,5.791575295394713
0.8,0.7,7.469284549712323
0.8,0.9,6.950166834470756
0.8,0.1,7.524346156443158
0.8,0.3,7.469517830691094
0.8,0.5,8.116586673918006
0.8,0.7,6.987328935745235
0.8,0.9,6.821215034273856
0.8,0.1,5.475218220728415
0.8,0.3,5.567007348551865
0.8,0.5,5.707103084181744
0.8,0.7,6.448469502175083
0.8,0.9,7.026644658985669
0.8,0.1,4.572783213794231
0.8,0.3,8.242611697067817
0.8,0.5,5.800153144805618
0.8,0.7,6.624213257273849
0.8,0.9,6.973613354049383
0.8,0.1,6.6819939466792615
0.8,0.3,7.043783917309808
0.8,0.5,6.472522664758119
0.8,0.7,6.692489228705564
0.8,0.9,7.206142159123472
0.8,0.1,4.935529903459549
0.8,0.3,6.4104676059441905
0.8,0.5,7.412575735239983
0.8,0.7,6.476397947265821
0.8,0.9,7.163248632993492
0.8,0.1,6.755627759516239
0.8,0.3,5.811172022210129
0.8,0.5,6.316383774123959
0.8,0.7,6.917281968857617
0.8,0.9,7.136055431050318
0.8,0.1,11.33480844620027
0.8,0.3,9.698069071511428
0.8,0.5,6.465148460499702
0.8,0.7,6.980416762315902
0.8,0.9,7.189069606525202
0.8,0.1,6.889414589930982
0.8,0.3,6.803320221207181
0.8,0.5,7.04290206055723
0.8,0.7,6.463767201022414
0.8,0.9,7.172340266250575
0.8,0.1,5.341058547234535
0.8,0.3,7.789556851084115
0.8,0.5,7.390903030411132
0.8,0.7,7.262593904155538
0.8,0.9,7.056386917970844
0.8,0.1,10.813725501490492
0.8,0.3,8.303718881973852
0.8,0.5,7.619008262776412
0.8,0.7,6.998458066806696
0.8,0.9,7.192991128944777
0.8,0.1,4.650898176996872
0.8,0.3,7.040701601353976
0.8,0.5,6.776175130773813
0.8,0.7,6.179514289978596
0.8,0.9,8.398135942379751
0.8,0.1,4.8311616465806955
0.8,0.3,5.39728304527424
0.8,0.5,8.761887379624742
0.8,0.7,6.997019221368548
0.8,0.9,7.283373515330215
0.8,0.1,9.355201999753712
0.8,0.3,5.7328974051028485
0.8,0.5,7.593690215471116
0.8,0.7,6.528122507905473
0.8,0.9,7.124482053603445
0.8,0.1,6.078595658418807
0.8,0.3,10.643380816257444
0.8,0.5,6.462506770162355
0.8,0.7,6.578026349097489
0.8,0.9,7.152104896682279
0.8,0.1,6.557591346350729
0.8,0.3,9.260687487184635
0.8,0.5,6.230872369386932
0.8,0.7,8.62206157333707
0.8,0.9,6.847616652507531
0.8,0.1,5.817051938033103
0.8,0.3,10.076731961300611
0.8,0.5,7.517805274557982
0.8,0.7,6.205585615288566
0.8,0.9,8.163138613197694
0.8,0.1,6.962617268698911
0.8,0.3,6.139485030597534
0.8,0.5,7.459399178195746
0.8,0.7,6.686605229133909
0.8,0.9,7.065034394383121
0.8,0.1,6.7880608193079635
0.8,0.3,6.224144581370665
0.8,0.5,6.1997718140184865
0.8,0.7,7.633909555928755
0.8,0.9,6.326631566311724
0.8,0.1,6.781344305529791
0.8,0.3,6.555851566606554
0.8,0.5,5.609314645408437
0.8,0.7,8.8212003674695
0.8,0.9,6.947344833713931
0.8,0.1,5.305922653570771
0.8,0.3,8.454053980655528
0.8,0.5,7.834814815553171
0.8,0.7,8.696027750443902
0.8,0.9,6.913819269174907
0.8,0.1,5.887634108287316
0.8,0.3,7.405680456531458
0.8,0.5,6.44505817717489
0.8,0.7,8.277647905850646
0.8,0.9,7.24107171858816
0.8,0.1,1.9551389795071195
0.8,0.3,6.654071492749755
0.8,0.5,6.835555322797951
0.8,0.7,7.60891427451585
0.8,0.9,6.618676697196819
0.8,0.1,5.389639187955856
0.8,0.3,7.613714413198374
0.8,0.5,7.179392626740269
0.8,0.7,7.745605203739421
0.8,0.9,6.98809068151305
0.8,0.1,5.012071151408282
0.8,0.3,6.803183641983912
0.8,0.5,7.729467378356135
0.8,0.7,7.094860993408
0.8,0.9,6.719627863963445
0.8,0.1,5.168370783174478
0.8,0.3,5.901778480294397
0.8,0.5,7.117479919723745
0.8,0.7,7.312898469531869
0.8,0.9,7.273949698208169
0.8,0.1,4.808942568313192
0.8,0.3,7.085408219491679
