proportion_train,proportion_test,value
0.8,0.1,2.509209323380264
0.8,0.3,2.754566182884242
0.8,0.5,1.0199692367467057
0.8,0.7,2.680732220478863
0.8,0.9,1.7627450317753186
0.8,0.1,0.3905433070479714
0.8,0.3,1.3687736556895116
0.8,0.5,1.1436515598303199
0.8,0.7,1.5867330329767237
0.8,0.9,1.7795114074966802
0.8,0.1,1.1316504427567915
0.8,0.3,2.8832520723029633
0.8,0.5,1.4316872477398628
0.8,0.7,1.749671832466874
0.8,0.9,2.3803463171045878
0.8,0.1,1.5605662317951556
0.8,0.3,1.2964311883684543
0.8,0.5,2.2916292868607324
0.8,0.7,2.199723054927692
0.8,0.9,1.6856220224706038
0.8,0.1,0.8037565282408714
0.8,0.3,2.7237837143096666
0.8,0.5,1.9918143735955947
0.8,0.7,1.9494935163152094
0.8,0.9,1.6811009035703
0.8,0.1,0.5328650613855667
0.8,0.3,1.4479804842072233
0.8,0.5,2.1742885803048613
0.8,0.7,1.9222619873945836
0.8,0.9,1.8830707909038247
0.8,0.1,0.9461055387598659
0.8,0.3,1.3464075573065044
0.8,0.5,1.7361490432198012
0.8,0.7,2.2950168716311516
0.8,0.9,1.78579162751195
0.8,0.1,0.24191825345827855
0.8,0.3,1.6729379918959306
0.8,0.5,2.1229067946652833
0.8,0.7,2.110913137848529
0.8,0.9,1.5784175454730842
0.8,0.1,0.9445891975300822
0.8,0.3,1.4164769911244381
0.8,0.5,2.017940116311488
0.8,0.7,1.8687981482816134
0.8,0.9,1.8385936502845557
0.8,0.1,0.2811427442120832
0.8,0.3,1.995447375248903
0.8,0.5,1.9858273992558833
0.8,0.7,2.0006771803541206
0.8,0.9,1.8453196457430052
0.8,0.1,4.0237928544255555
0.8,0.3,2.8558717050559275
0.8,0.5,2.3227978220117103
0.8,0.7,1.6843526482382203
0.8,0.9,1.7640037802779125
0.8,0.1,1.946744287141221
0.8,0.3,1.863095384474056
0.8,0.5,1.493713153556155
0.8,0.7,2.2625506881695627
0.8,0.9,1.8187797215369323
0.8,0.1,0.566670193130845
0.8,0.3,1.2724198108844402
0.8,0.5,2.391930721291554
0.8,0.7,1.7570154802956341
0.8,0.9,1.94241674917854
0.8,0.1,3.2473363396451957
0.8,0.3,2.8860397571023277
0.8,0.5,1.4403400431329902
0.8,0.7,1.9520134504363893
0.8,0.9,1.7795945868473446
0.8,0.1,0.8617132482336751
0.8,0.3,3.1248352673419797
0.8,0.5,2.300668094763191
0.8,0.7,1.7809405819977282
0.8,0.9,1.70376022376083
0.8,0.1,1.2278084360623038
0.8,0.3,3.445120751066576
0.8,0.5,1.8208192480252943
0.8,0.7,1.9490672535449243
0.8,0.9,2.0201440550072456
0.8,0.1,8.468685900424072
0.8,0.3,1.3031721097596725
0.8,0.5,2.1947015692276373
0.8,0.7,1.311291666925787
0.8,0.9,1.782520108907764
0.8,0.1,8.725275180879292
0.8,0.3,1.4676540412205261
0.8,0.5,1.6090250098582024
0.8,0.7,2.1633762808025527
0.8,0.9,1.756701991306096
0.8,0.1,1.0827825498009476
0.8,0.3,1.7588126673633124
0.8,0.5,1.8832433699758266
0.8,0.7,1.914614826438349
0.8,0.9,1.7372219055107017
0.8,0.1,0.748219615155736
0.8,0.3,3.3523800705577456
0.8,0.5,2.326321459686461
0.8,0.7,2.122740712417938
0.8,0.9,1.7736114588966454
0.8,0.1,1.5548052995507635
0.8,0.3,3.547489110021432
0.8,0.5,1.900752938035641
0.8,0.7,1.980861244629663
0.8,0.9,1.753882503264884
0.8,0.1,0.6932344359295942
0.8,0.3,0.8963235957153843
0.8,0.5,2.3116228338956324
0.8,0.7,1.9143716377390938
0.8,0.9,1.7062604936932013
0.8,0.1,2.014593860510613
0.8,0.3,1.7928201610721874
0.8,0.5,1.4194747101842635
0.8,0.7,1.870248641534977
0.8,0.9,1.6607621232537106
0.8,0.1,1.1799979229506212
0.8,0.3,2.2135921683112136
0.8,0.5,1.9619336610503395
0.8,0.7,1.9785212909348096
0.8,0.9,1.8288607928412746
0.8,0.1,3.2983924620406384
0.8,0.3,2.926530446399654
0.8,0.5,1.3318343246168245
0.8,0.7,2.0945589432959695
0.8,0.9,1.8388346687988801
0.8,0.1,0.8567154504039816
0.8,0.3,1.1722760891919197
0.8,0.5,2.1427809053912465
0.8,0.7,1.8980694373835778
0.8,0.9,1.7710948619743137
0.8,0.1,2.707128983236165
0.8,0.3,0.8868944491468079
0.8,0.5,2.1266440912235094
0.8,0.7,2.0334271805833857
0.8,0.9,1.8307987443589264
0.8,0.1,0.877420009078877
0.8,0.3,1.4191393718944798
0.8,0.5,2.087537560750316
0.8,0.7,2.0891598834167184
0.8,0.1,1.6185615152846573
0.8,0.3,1.6077206760137563
0.8,0.5,1.5859065598221331
0.8,0.7,1.7113152544443628
0.8,0.9,1.7992204568958563
0.8,0.1,1.8169609596217828
0.8,0.3,3.6148391199482215
0.8,0.5,1.4297223870362539
0.8,0.7,1.9316826709891732
0.8,0.9,1.7033883699383332
0.8,0.1,1.8963749724938936
0.8,0.3,0.9208738322769183
0.8,0.5,0.8840620258530292
0.8,0.7,1.9674406016859414
0.8,0.9,1.704680249792986
0.8,0.1,0.7174809870077363
0.8,0.3,1.786554361475522
0.8,0.5,1.6701091948588702
0.8,0.7,2.0888863889006926
0.8,0.9,1.7744838264063105
0.8,0.1,2.768480735821044
0.8,0.3,2.692160520483434
0.8,0.5,2.064729571683064
0.8,0.7,2.1251203406168515
0.8,0.9,1.7219066415075182
0.8,0.1,0.10582885165271817
0.8,0.3,2.179257069770481
0.8,0.5,1.7677323915354204
0.8,0.7,2.1318109893716297
0.8,0.9,1.8428112633775673
0.8,0.1,1.2327843134661656
0.8,0.3,1.1289386987387966
0.8,0.5,2.7155328560523557
0.8,0.7,2.1205711020583973
0.8,0.9,1.7141775277191427
0.8,0.1,0.9710106603917333
0.8,0.3,1.6542879713569603
0.8,0.5,2.445405418739024
0.8,0.7,1.9377107251877885
0.8,0.9,1.7919974335603914
0.8,0.1,0.4237074276334636
0.8,0.3,1.6908427485831627
0.8,0.5,1.8900713997100602
0.8,0.7,2.091141714124137
0.8,0.9,1.7836943277587827
0.8,0.1,2.791675679966676
0.8,0.3,2.165228187290806
0.8,0.5,1.9967115736563952
0.8,0.7,1.4339656707153026
0.8,0.9,1.744841276319247
0.8,0.1,1.353659752113144
0.8,0.3,1.4034647374943519
0.8,0.5,1.072688724816832
0.8,0.7,2.2240318870836564
0.8,0.9,1.8135512169740127
0.8,0.1,0.8890172209649215
0.8,0.3,1.7020374539399608
0.8,0.5,2.318549112353237
0.8,0.7,1.9509700809367883
0.8,0.9,1.8360371033188785
0.8,0.1,2.8327440228226197
0.8,0.3,0.8427530492349057
0.8,0.5,1.389319527164008
0.8,0.7,1.8441332823826326
0.8,0.9,1.7948876216222385
0.8,0.1,0.6159757337532171
0.8,0.3,0.660366427764613
0.8,0.5,1.3948868363842357
0.8,0.7,2.0117450148744886
0.8,0.9,1.9420591661110647
0.8,0.1,0.20313899268893199
0.8,0.3,2.71608202781475
0.8,0.5,1.22791784138769
0.8,0.7,1.743385611321085
0.8,0.9,1.8955610475892681
0.8,0.1,1.7083333333333333
0.8,0.3,1.7343868402142821
0.8,0.5,2.5358369484824546
0.8,0.7,1.8815442035430867
0.8,0.9,1.7849809588999872
0.8,0.1,1.6514481262434497
0.8,0.3,0.5614981944292592
0.8,0.5,2.027454317189183
0.8,0.7,1.9724598491759149
0.8,0.9,1.7737312263531695
0.8,0.1,3.5434529568466453
0.8,0.3,1.1365048282520709
0.8,0.5,2.0298482301055607
0.8,0.7,2.0827528671010747
0.8,0.9,1.7655744338006083
0.8,0.1,1.131783926411585
0.8,0.3,0.7158733945151485
0.8,0.5,1.1380748731114059
0.8,0.7,1.55420756766751
0.8,0.9,1.9334458254778395
0.8,0.1,0.44530335466403004
0.8,0.3,1.1317519111498262
0.8,0.5,1.1276740234837423
0.8,0.7,2.133046656639578
0.8,0.9,2.1639139705795816
0.8,0.1,3.420851960339824
0.8,0.3,0.9067906980487931
0.8,0.5,2.2587555577478184
0.8,0.7,2.2369537906243946
0.8,0.9,1.7198062985955576
0.8,0.1,5.4855608117756605
0.8,0.3,2.162800349215404
0.8,0.5,1.2847898536393674
0.8,0.7,2.1990939635723894
0.8,0.9,1.7897435898315577
0.8,0.1,0.6399674386036424
0.8,0.3,1.9565048292485616
0.8,0.5,0.8683712326515712
0.8,0.7,2.0517461653442988
0.8,0.9,1.856495099956524
0.8,0.1,0.9585813524840808
0.8,0.3,1.7404426692343133
