proportion_train,proportion_test,value
0.8,0.1,12.809494599208882
0.8,0.3,15.033793249688863
0.8,0.5,12.630766722342361
0.8,0.7,12.548913472932432
0.8,0.9,14.122033819453305
0.8,0.1,11.736857762342007
0.8,0.3,12.215378523007196
0.8,0.5,15.109146585616827
0.8,0.7,11.700921508104127
0.8,0.9,13.389832406162288
0.8,0.1,12.466315648241524
0.8,0.3,11.21922022149914
0.8,0.5,11.981866788001483
0.8,0.7,12.378348743071966
0.8,0.9,15.035969997124985
0.8,0.1,16.835424716397647
0.8,0.3,14.037499213172344
0.8,0.5,14.151899925561088
0.8,0.7,13.405280578291308
0.8,0.9,14.917695779730334
0.8,0.1,13.488805977008367
0.8,0.3,13.41170959057466
0.8,0.5,16.14581476143006
0.8,0.7,13.044301209331719
0.8,0.9,13.723884085168917
0.8,0.1,10.564145296982574
0.8,0.3,12.702824823720842
0.8,0.5,13.551110657406927
0.8,0.7,12.764868996209298
0.8,0.9,13.561998338098498
0.8,0.1,11.53062144765964
0.8,0.3,11.571949083668526
0.8,0.5,11.78295130000512
0.8,0.7,15.569040544049747
0.8,0.9,12.652261442199203
0.8,0.1,12.596967864033475
0.8,0.3,14.25702207596259
0.8,0.5,17.056858214214287
0.8,0.7,14.51478972872954
0.8,0.9,11.225320329830218
0.8,0.1,12.311688828386952
0.8,0.3,14.99528560346166
0.8,0.5,12.954736304993595
0.8,0.7,10.764393381745904
0.8,0.9,13.09353532382851
0.8,0.1,11.7902697748034
0.8,0.3,12.52790370417056
0.8,0.5,14.318743417786784
0.8,0.7,13.040245650705016
0.8,0.9,11.575331764548004
0.8,0.1,12.272249435933874
0.8,0.3,15.921259977316344
0.8,0.5,14.561606308838636
0.8,0.7,14.768534023191105
0.8,0.9,13.651145063744693
0.8,0.1,12.904197507648968
0.8,0.3,12.970453464447274
0.8,0.5,13.891844087459411
0.8,0.7,12.199615536788503
0.8,0.9,13.970699369297888
0.8,0.1,15.313124885293334
0.8,0.3,14.055213366597613
0.8,0.5,11.765832741961535
0.8,0.7,15.88811760016145
0.8,0.9,13.268024621256401
0.8,0.1,14.30320059984512
0.8,0.3,11.415268384474674
0.8,0.5,12.710728485776675
0.8,0.7,11.086868599731082
0.8,0.9,12.11166845827955
0.8,0.1,14.799945280133342
0.8,0.3,11.791394861450364
0.8,0.5,12.53789375831266
0.8,0.7,12.305061223987627
0.8,0.9,13.808516587082728
0.8,0.1,12.689345088792091
0.8,0.3,12.583680074275579
0.8,0.5,12.973276059319376
0.8,0.7,13.524378693897766
0.8,0.9,12.751475405630723
0.8,0.1,11.745814052404832
0.8,0.3,13.371556734865106
0.8,0.5,13.210056154945931
0.8,0.7,12.56113305078103
0.8,0.9,12.724722871901328
0.8,0.1,10.758323029990748
0.8,0.3,15.491171690242018
0.8,0.5,11.384424648446272
0.8,0.7,15.191228389220344
0.8,0.9,12.689660041635905
0.8,0.1,12.529513900527666
0.8,0.3,13.249807585794484
0.8,0.5,14.802182215535343
0.8,0.7,11.459088041198347
0.8,0.9,11.532751750979559
0.8,0.1,11.458469916679855
0.8,0.3,13.221840409074948
0.8,0.5,11.040467373258442
0.8,0.7,12.76374366111478
0.8,0.9,12.081150285936094
0.8,0.1,11.624644531365554
0.8,0.3,14.043834095196987
0.8,0.5,12.860531767604261
0.8,0.7,13.174865430721592
0.8,0.9,20.30443929881725
0.8,0.1,17.399891691370584
0.8,0.3,11.636562202289912
0.8,0.5,13.37238212837956
0.8,0.7,12.263409397621352
0.8,0.9,12.353438640397354
0.8,0.1,15.932743246665964
0.8,0.3,12.519479604789703
0.8,0.5,11.31850537445509
0.8,0.7,14.347971827194739
0.8,0.9,14.410607206402137
0.8,0.1,12.418165542163107
0.8,0.3,14.454131427872875
0.8,0.5,12.825652597913924
0.8,0.7,16.046340687448115
0.8,0.9,10.799199805111071
0.8,0.1,14.65774419116928
0.8,0.3,11.439381004663645
0.8,0.5,12.719224923259087
0.8,0.7,13.979980394089566
0.8,0.9,12.597045967333871
0.8,0.1,13.423081955703115
0.8,0.3,11.405013332293501
0.8,0.5,12.391840280718018
0.8,0.7,17.512132098804795
0.8,0.9,13.241327615574406
0.8,0.1,10.957375458244048
0.8,0.3,15.322968117590497
0.8,0.5,11.514937388475518
0.8,0.7,11.74170797814085
0.8,0.9,15.292714578858725
0.8,0.1,14.495104539929596
0.8,0.3,10.5837454347704
0.8,0.5,13.379119355510218
0.8,0.7,14.016020653250486
0.8,0.1,12.925768110397234
0.8,0.3,16.19916261827776
0.8,0.5,13.405923074951842
0.8,0.7,12.502979016733383
0.8,0.9,13.185546932265478
0.8,0.1,12.749722754524564
0.8,0.3,12.818150220451486
0.8,0.5,10.950270106027393
0.8,0.7,13.79896760375259
0.8,0.9,12.960700205144098
0.8,0.1,12.914476590576722
0.8,0.3,13.566178299562816
0.8,0.5,13.159068772282094
0.8,0.7,12.285774301209162
0.8,0.9,15.020799757686481
0.8,0.1,15.530688628316044
0.8,0.3,13.003819914727993
