proportion_train,proportion_test,value
0.8,0.1,0.9020285785322701
0.8,0.3,0.8373596150661221
0.8,0.5,2.2135715354308836
0.8,0.7,1.98457435283816
0.8,0.9,1.7138833190725102
0.8,0.1,0.6404691118454912
0.8,0.3,1.8213791587708301
0.8,0.5,1.319254516666864
0.8,0.7,1.9496684492712544
0.8,0.9,1.6975334499981085
0.8,0.1,0.05148619236688645
0.8,0.3,1.1958913832777573
0.8,0.5,2.7828464828831865
0.8,0.7,2.221301596074131
0.8,0.9,1.6459005303841414
0.8,0.1,1.799546879929707
0.8,0.3,0.9012319453620985
0.8,0.5,2.3338898778986414
0.8,0.7,2.0062236411917898
0.8,0.9,1.7412617564907433
0.8,0.1,1.3010206244447653
0.8,0.3,2.8208553181799947
0.8,0.5,2.081887351256254
0.8,0.7,1.829147486480936
0.8,0.9,1.8284309512278942
0.8,0.1,0.41633641569162994
0.8,0.3,3.02467486763574
0.8,0.5,2.7561137731589342
0.8,0.7,2.003732677612303
0.8,0.9,1.7258638519352247
0.8,0.1,0.6067170580451299
0.8,0.3,0.7743647242901927
0.8,0.5,2.49754245676207
0.8,0.7,1.9727439905568611
0.8,0.9,1.6663326891452799
0.8,0.1,6.6755896915089
0.8,0.3,2.9830042752642
0.8,0.5,1.3342811447980845
0.8,0.7,1.022170491647406
0.8,0.9,1.6443356970374847
0.8,0.1,9.676240422664408
0.8,0.3,2.8704054817185334
0.8,0.5,2.6215098408006177
0.8,0.7,0.679448343587429
0.8,0.9,1.7408532730400121
0.8,0.1,0.04701476938584272
0.8,0.3,2.9014018845326595
0.8,0.5,1.0635623617189762
0.8,0.7,1.6307827439614913
0.8,0.9,1.7235989334725736
0.8,0.1,0.777264990946565
0.8,0.3,1.2365031922904
0.8,0.5,2.2677576752361808
0.8,0.7,1.8302656798309336
0.8,0.9,1.695353117534647
0.8,0.1,1.0947206508333729
0.8,0.3,0.5226056147173085
0.8,0.5,2.648667671074466
0.8,0.7,1.041623567138146
0.8,0.9,1.8220250391086534
0.8,0.1,0.7556078874173365
0.8,0.3,1.348026712803489
0.8,0.5,0.8159751853614013
0.8,0.7,1.8242694870468925
0.8,0.9,1.6279574944336215
0.8,0.1,0.8142159217968583
0.8,0.3,3.570941686265165
0.8,0.5,0.8082686394126853
0.8,0.7,1.9019293653271974
0.8,0.9,1.7621060954484937
0.8,0.1,2.802419808050649
0.8,0.3,1.3564427615990902
0.8,0.5,2.5501354809004364
0.8,0.7,1.8183833196866306
0.8,0.9,1.6920365466933993
0.8,0.1,0.21172373800347422
0.8,0.3,1.4956349019197561
0.8,0.5,0.762495651323448
0.8,0.7,1.2253408738914389
0.8,0.9,1.8275079537315893
0.8,0.1,1.409759826331907
0.8,0.3,1.0165414012206246
0.8,0.5,1.1967304424243947
0.8,0.7,1.840962340244185
0.8,0.9,1.7170616282597546
