proportion_train,proportion_test,value
None,0.1,46386.9487999729
None,0.1,32606.713520789715
None,0.1,45227.68558542352
None,0.1,51343.99418877561
None,0.1,34808.99983332146
None,0.1,26474.78612213742
None,0.1,32199.154034593208
None,0.1,67884.33432868191
None,0.1,29998.69648427133
None,0.1,28382.135272605203
None,0.1,30313.121186114953
None,0.1,25724.81035708888
None,0.1,39142.01757859371
None,0.1,39646.442552215725
None,0.1,37597.12631367515
None,0.1,31451.82496589916
None,0.1,30962.587296621514
None,0.1,43768.75598825554
None,0.1,34517.71169547195
None,0.1,28655.04492356496
None,0.1,50241.0728569666
None,0.1,43931.47899671034
None,0.3,32568.825138768465
None,0.1,49862.98867318332
None,0.1,51789.6728070083
None,0.1,27023.682779525683
None,0.1,33551.586136841295
None,0.1,27616.63100887098
None,0.3,31943.665108135898
None,0.1,40629.645447354116
None,0.1,37592.3152009838
None,0.3,43340.51006492798
None,0.3,45895.746776088
None,0.3,46023.25321004037
None,0.3,30598.210638252516
None,0.1,30920.855457722784
None,0.3,32039.589001875156
None,0.3,33030.012221325596
None,0.3,33437.4972514847
None,0.3,34526.532063178194
None,0.3,23807.127404674913
None,0.3,28774.17049219086
None,0.3,24991.908495360978
None,0.3,62337.93406911749
None,0.3,37486.3332286769
None,0.3,50020.14406784276
None,0.3,46074.63757616253
None,0.3,53427.20697499252
None,0.3,45861.86340244421
None,0.3,41534.39584987293
None,0.3,62742.358696629286
None,0.3,25808.309281829712
None,0.5,34003.85968550833
None,0.3,35368.786226672295
None,0.3,41137.930205054756
None,0.3,35903.15626784913
None,0.3,54252.453127990426
None,0.3,46455.160165595094
None,0.5,64766.07525579926
None,0.3,44309.05354389391
None,0.3,22931.614237447127
None,0.5,43357.07216282155
None,0.5,46611.13898026316
None,0.5,37644.538174241716
None,0.5,37059.37258233321
None,0.3,22687.12850946892
None,0.5,28357.837429554038
None,0.5,65307.37212255741
None,0.5,38416.54883691815
None,0.5,28154.090886154543
None,0.5,46611.13898026316
None,0.5,33016.8247612182
None,0.5,31800.547023890736
None,0.5,29924.270888508338
None,0.5,46611.13898026316
None,0.5,30095.111959580416
None,0.5,54654.495489093104
None,0.5,29775.411341395036
None,0.5,45805.280303703934
None,0.5,31235.739189844084
None,0.5,46494.249168286486
None,0.5,25793.937681167823
None,0.7,53909.33906418212
None,0.5,43960.70082673725
None,0.5,57781.0350192509
None,0.5,46573.07175164474
None,0.5,34021.01976307846
None,0.5,52433.417599229586
None,0.7,36715.722740636214
None,0.5,43221.238989141
None,0.5,46404.226137882215
None,0.7,15834.806510814324
None,0.7,49538.75568119615
None,0.7,42243.204383121476
None,0.7,35864.66736026381
None,0.5,37652.95259587922
None,0.7,46611.13898026316
None,0.7,47658.775212140245
None,0.7,34056.56674208061
None,0.7,36265.138489858815
None,0.7,28683.732283398207
None,0.7,62681.38065584027
None,0.7,52814.10625095787
None,0.7,42021.5439328952
None,0.7,30376.632608711938
None,0.7,46354.209825433616
None,0.7,34475.00805530895
None,0.7,55838.68130983636
None,0.7,46611.13898026316
None,0.7,24520.08750007009
None,0.7,46611.13898026316
None,0.7,47740.91336180473
None,0.9,218557.22096128328
None,0.7,45195.368047178716
None,0.7,40532.043710563696
None,0.7,28766.935411519866
None,0.7,65246.12011034513
None,0.7,46611.13898026316
None,0.9,34103.20986518677
None,0.7,37384.05863512322
None,0.7,46173.93777811005
None,0.9,30893.63526654257
None,0.9,41876.85088635897
None,0.9,46611.13898026316
None,0.9,46611.13898026316
None,0.7,34184.30667368912
None,0.9,27723.815205690305
None,0.9,22075.237208608236
None,0.9,39140.63196918324
None,0.9,29088.855335807624
None,0.9,43208.60365444639
None,0.9,28615.17862689789
None,0.9,32082.530305228163
None,0.9,32538.244873697837
None,0.9,31976.376844835053
None,0.9,68728.87432531986
None,0.9,31744.737186472037
None,0.9,22773.64147064801
None,0.9,43107.45909941312
None,0.9,37565.01555098684
None,0.9,28698.482349977632
None,0.9,38545.55770426627
None,0.9,20111.370361269717
None,0.9,244873.98629239603
None,0.9,11123.506787941673
None,0.9,28756.983923357373
None,0.9,45800.63857308566
None,0.9,29937.786661866114
None,0.9,42083.17194177947
None,0.9,49684.65640943318
