proportion_train,proportion_test,value
0.8,0.1,26126.177934344716
0.8,0.3,34200.05557114596
0.8,0.5,53346.47865377764
0.8,0.7,28650.926143991568
0.8,0.9,62656.10575613945
0.8,0.1,35809.95430096347
0.8,0.3,34613.771213329266
0.8,0.5,57921.4815969542
0.8,0.7,86383.38213965311
0.8,0.9,41343.278483851675
0.8,0.1,70318.60430974785
0.8,0.3,45968.62931228856
0.8,0.5,47395.71684065969
0.8,0.7,40669.141861531374
0.8,0.9,43108.22248560855
0.8,0.1,48027.29221050354
0.8,0.3,35293.54086084685
0.8,0.5,28202.819989101285
0.8,0.7,75963.25880924791
0.8,0.9,54557.14879981192
0.8,0.1,67355.40915475215
0.8,0.3,37492.398062863875
0.8,0.5,49946.93757214415
0.8,0.7,47416.1602631579
0.8,0.9,64475.58795628307
0.8,0.1,56111.1914500053
0.8,0.3,40886.19179874402
0.8,0.5,34606.71238833778
0.8,0.7,41942.8131536252
0.8,0.9,32587.31324712872
0.8,0.1,40762.34910299273
0.8,0.3,33967.41354709534
0.8,0.5,40649.790477680406
0.8,0.7,58646.959192442104
0.8,0.9,60326.65892997268
0.8,0.1,38059.007891489426
0.8,0.3,36685.27672426361
0.8,0.5,48225.39875635466
0.8,0.7,55511.449772727276
0.8,0.9,57759.58950142162
0.8,0.1,44050.810277385805
0.8,0.3,57384.48413465582
0.8,0.5,38834.72507516962
0.8,0.7,44910.88962021532
0.8,0.9,54715.23636109129
0.8,0.1,45655.64291467693
0.8,0.3,65207.00339504407
0.8,0.5,37370.12829889764
0.8,0.7,86383.38213965311
0.8,0.9,46736.534306266825
0.8,0.1,39496.57573041049
0.8,0.3,86008.32795678827
0.8,0.5,86383.38213965311
0.8,0.7,86383.38213965311
0.8,0.9,47320.43096534838
0.8,0.1,30637.191098615287
0.8,0.3,45089.399727809476
0.8,0.5,51695.767122395344
0.8,0.7,63212.83119737543
0.8,0.9,38214.33668193033
0.8,0.1,56401.698990290155
0.8,0.3,31890.199049183244
0.8,0.5,43327.332164797255
0.8,0.7,41821.1167320726
0.8,0.9,47502.04831190192
0.8,0.1,56967.64901076321
0.8,0.3,40233.8046968451
0.8,0.5,58217.85881997141
0.8,0.7,47512.9782839192
0.8,0.9,42704.96914058924
0.8,0.1,65433.94062655508
0.8,0.3,51127.67400093043
0.8,0.5,72921.77113393391
0.8,0.7,48159.451586245304
0.8,0.9,41107.26262490305
0.8,0.1,41763.00385102048
0.8,0.3,58894.7042334218
0.8,0.5,45441.491454494055
0.8,0.7,45121.455941121225
0.8,0.9,35588.93025179484
0.8,0.1,52878.07514098246
0.8,0.3,62902.5704224874
0.8,0.5,57751.30189463054
0.8,0.7,54721.48253242748
0.8,0.9,59360.65349092438
0.8,0.1,34366.86957484852
0.8,0.3,29393.18483556136
0.8,0.5,51098.63964688753
0.8,0.7,30393.24447313044
0.8,0.9,96324.92228618423
0.8,0.1,29154.837112645782
0.8,0.3,62337.52595460226
0.8,0.5,49195.02090502578
0.8,0.7,37963.65553338886
0.8,0.9,57034.90795118122
0.8,0.1,42272.533441611835
0.8,0.3,40427.28168935384
0.8,0.5,47233.54927640633
0.8,0.7,86383.38213965311
0.8,0.9,59808.1004895662
0.8,0.1,30290.29418179015
0.8,0.3,57606.94770577646
0.8,0.5,38449.052806332234
0.8,0.7,39054.39717357581
0.8,0.9,57485.523558799345
0.8,0.1,42228.06532194566
0.8,0.3,59309.02076706006
0.8,0.5,52523.35547108627
0.8,0.7,38137.287858851676
0.8,0.9,35316.10550239234
0.8,0.1,40164.69507700359
0.8,0.3,60735.916658894654
0.8,0.5,56367.22420269395
0.8,0.7,37681.7789201041
0.8,0.9,39909.04636924926
0.8,0.1,46007.9955751556
0.8,0.3,42509.82855685403
0.8,0.5,60035.31326152016
0.8,0.7,57343.88211339923
0.8,0.9,32524.270715927785
0.8,0.1,45785.03255345395
0.8,0.3,41276.36321345133
0.8,0.5,28552.742765727795
0.8,0.7,51727.70323626504
0.8,0.9,37457.806331915606
0.8,0.1,41005.725684061006
0.8,0.3,43846.84930719257
0.8,0.5,45079.70561490728
0.8,0.7,49930.99446574087
0.8,0.9,41560.51186768746
0.8,0.1,28743.092156263647
0.8,0.3,56612.66674520867
0.8,0.5,50602.498215320345
0.8,0.7,86383.38213965311
0.8,0.9,36801.08671829443
0.8,0.1,40233.80468170605
0.8,0.3,39219.41073767557
0.8,0.5,58123.03059885417
0.8,0.7,40922.689770858255
0.8,0.9,62152.38975707424
0.8,0.1,54207.64297270998
0.8,0.3,32412.60970131906
0.8,0.5,82323.65911184212
0.8,0.7,56410.66556348299
0.8,0.9,76621.22744355563
0.8,0.1,60865.08130426726
0.8,0.3,38932.673507623265
0.8,0.5,46829.092033586276
0.8,0.7,57879.52483265708
0.8,0.9,86160.46026465311
