proportion_train,proportion_test,value
0.8,0.1,52859.66380199038
0.8,0.3,54204.40008401666
0.8,0.5,129237.74255754454
0.8,0.7,72038.8039959969
0.8,0.9,139533.336864939
0.8,0.1,266097.96924990317
0.8,0.3,106842.17262182156
0.8,0.5,115663.58203125
0.8,0.7,63801.868607954544
0.8,0.9,89852.65356001043
0.8,0.1,89374.69336414682
0.8,0.3,138635.13196755212
0.8,0.5,59277.353122601395
0.8,0.7,163094.87967940685
0.8,0.9,126780.01378065882
0.8,0.1,90823.7853011694
0.8,0.3,107895.61808985782
0.8,0.5,254015.8574438967
0.8,0.7,74083.39870859699
0.8,0.9,225170.75318768973
0.8,0.1,59110.89168993043
0.8,0.3,97929.0140416169
0.8,0.5,52084.83122432992
0.8,0.7,81388.04483154044
0.8,0.9,101758.91532595926
0.8,0.1,79077.04441544288
0.8,0.3,205742.22038834757
0.8,0.5,172949.5977946986
0.8,0.7,85748.64274975737
0.8,0.9,58499.05690520483
0.8,0.1,73901.06117447656
0.8,0.3,115573.20860504908
0.8,0.5,69799.94776273696
0.8,0.7,224098.68367695957
0.8,0.9,137776.90523329555
0.8,0.1,87078.56237412982
0.8,0.3,115668.47952429276
0.8,0.5,392007.0612708604
0.8,0.7,115663.58203125
0.8,0.9,102438.59060889632
0.8,0.1,150921.38457643433
0.8,0.3,79862.91418664475
0.8,0.5,61620.898076683865
0.8,0.7,78715.430446068
0.8,0.9,115663.58203125
0.8,0.1,64525.04630632637
0.8,0.3,65209.047183103954
0.8,0.5,123953.7230696749
0.8,0.7,86719.99370595191
0.8,0.9,160535.35877822753
0.8,0.1,115663.58203125
0.8,0.3,231072.06111216272
0.8,0.5,54525.1914825471
0.8,0.7,112597.65150499581
0.8,0.9,56366.258656651524
0.8,0.1,107193.62591062688
0.8,0.3,115663.58203125
0.8,0.5,85435.65528018416
0.8,0.7,95493.20439934346
0.8,0.9,58454.199735278926
0.8,0.1,98719.07465452162
0.8,0.3,115663.58203125
0.8,0.5,65104.40569432503
0.8,0.7,329739.6425202879
0.8,0.9,177232.00343160835
0.8,0.1,161657.9633246808
0.8,0.3,87786.99588640954
0.8,0.5,129143.75196144798
0.8,0.7,56017.14949848837
0.8,0.9,200412.77286196372
0.8,0.1,107337.78333881473
0.8,0.3,53814.634814695244
0.8,0.5,93857.82209051162
0.8,0.7,121519.93005420025
0.8,0.9,162775.01601259847
0.8,0.1,93883.64173416012
0.8,0.3,52242.49060281769
0.8,0.5,95587.5648402594
0.8,0.7,92626.35072005344
0.8,0.9,71487.31455303097
0.8,0.1,279840.1372196479
0.8,0.3,79741.59790984855
0.8,0.5,51973.40940494853
0.8,0.7,83624.77887866565
0.8,0.9,142829.0638618406
0.8,0.1,51301.67500241366
0.8,0.3,71257.8375614387
0.8,0.5,76514.54783023613
0.8,0.7,100315.2277102453
0.8,0.9,83503.54520306044
0.8,0.1,90036.32195336775
0.8,0.3,64517.4053366215
0.8,0.5,239938.82803140942
0.8,0.7,96983.93792792644
0.8,0.9,148263.484192596
0.8,0.1,98365.57660535577
0.8,0.3,92865.7268751455
0.8,0.5,99757.78180096619
0.8,0.7,78750.8519952544
0.8,0.9,103107.0069394047
0.8,0.1,201159.45938034687
0.8,0.3,191318.27149571443
0.8,0.5,90863.39062524213
0.8,0.7,192291.71443177277
0.8,0.9,51367.37831839065
0.8,0.1,114342.56704660604
0.8,0.3,269323.7468805168
0.8,0.5,95057.76681889809
0.8,0.7,64173.37124034881
0.8,0.9,115663.58203125
0.8,0.1,75599.63945803713
0.8,0.3,90777.57667239355
0.8,0.5,60815.45467474441
0.8,0.7,161156.15951427617
0.8,0.9,103038.63246886955
0.8,0.1,115295.55159639721
0.8,0.3,83480.88743881856
0.8,0.5,115663.58203125
0.8,0.7,43858.35828915557
0.8,0.9,191699.3134258504
0.8,0.1,121436.89464058365
0.8,0.3,239648.77145363722
0.8,0.5,100181.09632200129
0.8,0.7,125027.03269337554
0.8,0.9,82773.34446833901
0.8,0.1,115663.58203125
0.8,0.3,60008.38968448481
0.8,0.5,114049.50734390134
0.8,0.7,72933.71306998766
0.8,0.9,66079.13375357256
0.8,0.1,90365.08011103858
0.8,0.3,53837.10488636364
0.8,0.5,56433.68591813016
0.8,0.7,90454.53693097076
0.8,0.9,66601.86831779544
0.8,0.1,95309.9327851833
0.8,0.3,57827.384998880334
0.8,0.5,114331.01490049757
0.8,0.7,64631.50103307298
0.8,0.9,132094.45367363543
0.8,0.1,64845.19930833549
0.8,0.3,77617.3813769834
0.8,0.5,57028.88379736529
0.8,0.7,339903.9648303273
0.8,0.9,86339.77704085421
0.8,0.1,64931.88090421839
0.8,0.3,55623.87873340575
0.8,0.5,54048.584441503095
0.8,0.7,49926.282486375545
0.8,0.9,183286.0411755069
