proportion_train,proportion_test,value
0.8,0.1,39729.16792202452
0.8,0.3,29360.601976228878
0.8,0.5,39729.16790931519
0.8,0.7,38348.498237272564
0.8,0.9,46625.2196200284
0.8,0.1,36982.209449591384
0.8,0.3,33099.02018907465
0.8,0.5,54093.47040511647
0.8,0.7,151709.28088554126
0.8,0.9,45436.56621523624
0.8,0.1,28391.17105263158
0.8,0.3,33862.98915831059
0.8,0.5,27601.180468523675
0.8,0.7,39729.16792202452
0.8,0.9,40421.97003933117
0.8,0.1,39667.11478113786
0.8,0.3,35490.752063715445
0.8,0.5,45691.51849296315
0.8,0.7,43685.713676448264
0.8,0.9,33767.82053379187
0.8,0.1,38672.4663831793
0.8,0.3,38163.34701591674
0.8,0.5,31164.757662978467
0.8,0.7,39729.16792202452
0.8,0.9,39729.16792202452
0.8,0.1,39541.21207349566
0.8,0.3,52417.746802982256
0.8,0.5,41093.338776762015
0.8,0.7,33393.135040235014
0.8,0.9,40359.13775269139
0.8,0.1,88553.9761872266
0.8,0.3,32881.25670025839
0.8,0.5,39581.62048216021
0.8,0.7,42838.47131668894
0.8,0.9,42009.570308981354
0.8,0.1,36352.51663898961
0.8,0.3,34609.39355451459
0.8,0.5,30939.69336526241
0.8,0.7,39729.16792202452
0.8,0.9,39729.16792202452
0.8,0.1,32061.430122404327
0.8,0.3,39575.03878062271
0.8,0.5,33099.47381159587
0.8,0.7,38985.22945983057
0.8,0.9,45111.971820985345
0.8,0.1,31464.106133770376
0.8,0.3,38944.51392886513
0.8,0.5,32321.38370976352
0.8,0.7,41627.59988181958
0.8,0.9,39613.91971871261
0.8,0.1,35887.95774864505
0.8,0.3,34203.63686827153
0.8,0.5,39729.16792202452
0.8,0.7,30948.94769891036
0.8,0.9,44379.0570617559
0.8,0.1,31592.265207978755
0.8,0.3,42962.42768054725
0.8,0.5,49794.809343456654
0.8,0.7,37598.68226338218
0.8,0.9,42655.394448705796
0.8,0.1,36121.07924358167
0.8,0.3,38652.397129186604
0.8,0.5,38414.051253931866
0.8,0.7,33878.23501685732
0.8,0.9,39729.16792202452
0.8,0.1,33950.823937640394
0.8,0.3,39729.16792202452
0.8,0.5,36194.81172114468
0.8,0.7,37623.44439529364
0.8,0.9,38366.708354847004
0.8,0.1,32174.391455532965
0.8,0.3,36149.67268944261
0.8,0.5,30377.856120199904
0.8,0.7,29667.75016101308
0.8,0.9,33052.49023274545
0.8,0.1,39296.433437038584
0.8,0.3,33861.04042723423
0.8,0.5,32981.11004784689
0.8,0.7,34379.980459404906
0.8,0.9,44337.684949816845
0.8,0.1,32027.807404524883
0.8,0.3,33353.156890419414
0.8,0.5,36693.48828221326
0.8,0.7,30792.23756635018
0.8,0.9,36663.66722540605
0.8,0.1,44370.09977770427
0.8,0.3,34857.57431051884
0.8,0.5,45904.50910740757
0.8,0.7,55563.75167160399
0.8,0.9,39729.1640625
0.8,0.1,36865.396492540276
0.8,0.3,31799.708507775118
0.8,0.5,36821.105854146685
0.8,0.7,39729.16792202452
0.8,0.9,43148.85252392344
0.8,0.1,47627.13610699613
0.8,0.3,38311.72851378227
0.8,0.5,37172.78884236459
0.8,0.7,47355.8318899872
0.8,0.9,39729.16792202452
0.8,0.1,53393.35246065131
0.8,0.3,30865.33879534119
0.8,0.5,49691.766078132016
0.8,0.7,37020.826412054914
0.8,0.9,35105.94596413352
0.8,0.1,39729.16792202452
0.8,0.3,39729.16792202452
0.8,0.5,57861.31506235889
0.8,0.7,35596.572724281206
0.8,0.9,36953.74364600077
0.8,0.1,29109.069289904142
0.8,0.3,33482.971804024004
0.8,0.5,32651.421116742353
0.8,0.7,40282.59948353161
0.8,0.9,36908.30601257616
0.8,0.1,29156.208390091164
0.8,0.3,31076.38094532652
0.8,0.5,45851.99744196768
0.8,0.7,39729.16792202452
0.8,0.9,39729.16792202452
0.8,0.1,31332.36589766653
0.8,0.3,39729.16792202452
0.8,0.5,48401.711400365144
0.8,0.7,39729.16792202452
0.8,0.9,37195.67012754304
0.8,0.1,37124.22206080679
0.8,0.3,34320.19370047099
0.8,0.5,39729.16792202452
0.8,0.7,39729.16792202452
0.8,0.9,39729.16792202452
0.8,0.1,30567.203603048372
0.8,0.3,33928.05039398924
0.8,0.5,33653.00061677631
0.8,0.7,35195.10888871793
0.8,0.9,39729.167725777515
0.8,0.1,28005.227700531974
0.8,0.3,39989.40715918436
0.8,0.5,42174.871660561446
0.8,0.7,46815.3446506336
0.8,0.9,35540.07080710014
0.8,0.1,36039.082731723334
0.8,0.3,39729.16792202452
0.8,0.5,45060.12487160277
0.8,0.7,37616.264077709864
0.8,0.9,43718.28482949873
0.8,0.1,53393.343877881794
0.8,0.3,37269.99231731178
0.8,0.5,28662.49845805921
0.8,0.7,35663.88502196098
0.8,0.9,34503.252396284035
