proportion_train,proportion_test,value
0.8,0.1,52212.666783797526
0.8,0.3,52868.32138131134
0.8,0.5,51822.2873595687
0.8,0.7,61125.721765009665
0.8,0.9,54098.23539978531
0.8,0.1,55288.15139104695
0.8,0.3,50177.70147361196
0.8,0.5,53627.115289910915
0.8,0.7,53964.5831598408
0.8,0.9,64552.59825348657
0.8,0.1,64552.59825348657
0.8,0.3,64552.59825348657
0.8,0.5,45005.93718552046
0.8,0.7,75402.99846794191
0.8,0.9,73961.60654108725
0.8,0.1,47791.676563266716
0.8,0.3,59766.34756327928
0.8,0.5,53268.65345117868
0.8,0.7,60352.39328204699
0.8,0.9,55225.25736867937
0.8,0.1,54653.565934418184
0.8,0.3,60000.51730635068
0.8,0.5,48513.70336447653
0.8,0.7,55925.1937636522
0.8,0.9,59223.30204666769
0.8,0.1,59498.29973945763
0.8,0.3,47740.05282748396
0.8,0.5,55617.44444469483
0.8,0.7,62486.06446809217
0.8,0.9,62764.916193221536
0.8,0.1,56323.49664590198
0.8,0.3,48263.255292682166
0.8,0.5,57341.39463362765
0.8,0.7,69879.16072702504
0.8,0.9,51629.44673900762
0.8,0.1,69155.71307322604
0.8,0.3,59324.118142055486
0.8,0.5,54419.70519675609
0.8,0.7,64552.59825348657
0.8,0.9,53660.00766206095
0.8,0.1,52762.12735752224
0.8,0.3,64552.59825348657
0.8,0.5,52290.295975109766
0.8,0.7,75360.92029183885
0.8,0.9,64552.59825348657
0.8,0.1,64552.59825348657
0.8,0.3,64552.59825348657
0.8,0.5,57276.34201271736
0.8,0.7,55583.96351443456
0.8,0.9,56175.506619455635
0.8,0.1,56360.36218100964
0.8,0.3,52186.74584759169
0.8,0.5,64373.33058034045
0.8,0.7,58411.76091649173
0.8,0.9,66860.01329406234
0.8,0.1,62326.848399303686
0.8,0.3,50169.40629802703
0.8,0.5,53047.867048779946
0.8,0.7,47544.415968765774
0.8,0.9,52808.87758466232
0.8,0.1,64552.59825348657
0.8,0.3,49150.051675269075
0.8,0.5,64552.59825348657
0.8,0.7,51288.69294211647
0.8,0.9,68980.08558771308
0.8,0.1,50958.77663390104
0.8,0.3,64552.59825348657
0.8,0.5,49816.26265525629
0.8,0.7,44811.31734192489
0.8,0.9,58397.37771379771
0.8,0.1,51458.32466768628
0.8,0.3,70725.4621092489
0.8,0.5,78949.688223027
0.8,0.7,64552.59825348657
0.8,0.9,62799.65197225965
0.8,0.1,77934.84062686478
0.8,0.3,89213.28078818125
0.8,0.5,52125.52167202027
0.8,0.7,64552.59825348657
0.8,0.9,44865.14759065644
0.8,0.1,82319.98691593627
0.8,0.3,51223.418632185916
0.8,0.5,52037.638841361055
0.8,0.7,52842.27664764656
0.8,0.9,66040.15851141883
0.8,0.1,54877.682761189484
0.8,0.3,51192.55105581709
0.8,0.5,54754.11266725524
0.8,0.7,47647.63780593242
0.8,0.9,48282.89516361221
0.8,0.1,52063.75527157981
0.8,0.3,50953.16285384186
0.8,0.5,90766.90080781416
0.8,0.7,77392.99317341008
0.8,0.9,98895.69061796331
0.8,0.1,48015.33374953545
0.8,0.3,63855.62276877537
0.8,0.5,64723.55531459209
0.8,0.7,62849.68483695984
0.8,0.9,52055.06186596075
0.8,0.1,51689.17933181952
0.8,0.3,65329.30486855861
0.8,0.5,66119.72947538277
0.8,0.7,52871.972942762135
0.8,0.9,65925.20225745083
0.8,0.1,53890.69270255854
0.8,0.3,63871.149647866754
0.8,0.5,74503.15616525571
0.8,0.7,64552.59825348657
0.8,0.9,44654.76471320602
0.8,0.1,64552.59825348657
0.8,0.3,64552.59825348657
0.8,0.5,54402.513627727916
0.8,0.7,53514.03418599783
0.8,0.9,64552.59825348657
0.8,0.1,64552.59825348657
0.8,0.3,53680.63937072249
0.8,0.5,46719.003244979205
0.8,0.7,64552.59825348657
0.8,0.9,60226.023640681495
0.8,0.1,64552.59825348657
0.8,0.3,62807.05771860542
0.8,0.5,60439.770799789585
0.8,0.7,56758.93460610634
0.8,0.9,64552.59825348657
0.8,0.1,48158.94750913383
0.8,0.3,64552.59825348657
0.8,0.5,64552.59825348657
0.8,0.7,71329.35885122915
0.8,0.9,64552.59825348657
0.8,0.1,50304.22611502655
0.8,0.3,54514.16451131017
0.8,0.5,51170.896885895534
0.8,0.7,56545.03231866823
0.8,0.9,45299.46356547269
0.8,0.1,53964.32633133526
0.8,0.3,51364.479445780606
0.8,0.5,79196.93525961337
0.8,0.7,64552.59825348657
0.8,0.9,64552.59825348657
0.8,0.1,43977.34636242449
0.8,0.3,50104.673576401896
0.8,0.5,49785.07198163245
0.8,0.7,54775.21043913029
0.8,0.9,64473.1722698218
0.8,0.1,52693.6102709581
0.8,0.3,50768.62346443996
0.8,0.5,54435.489792500965
0.8,0.7,66262.1124765393
0.8,0.9,47860.20413940209
