proportion_train,proportion_test,value
None,0.1,45339.486032140274
None,0.1,39476.065541917
None,0.1,39758.62126460974
None,0.1,34523.803240900255
None,0.1,36378.7245092896
None,0.1,34751.547675808004
None,0.1,54797.62033927223
None,0.1,30213.03859344402
None,0.3,40078.07487275132
None,0.1,37710.52384531266
None,0.3,36612.031605070886
None,0.1,38729.53369142501
None,0.1,45097.74851762862
None,0.3,35916.25519493875
None,0.1,42030.2764539442
None,0.3,46331.062650140346
None,0.3,30960.538198246348
None,0.1,39685.97925976296
None,0.1,47393.66057958177
None,0.1,41330.57356904188
None,0.3,42362.171766911895
None,0.3,49089.82439004244
None,0.1,46507.44534977117
None,0.1,30400.790015702427
None,0.1,42484.75512395307
None,0.3,39817.043538155915
None,0.5,33884.486176533
None,0.1,34833.182374641874
None,0.1,30668.746888412603
None,0.1,32577.92405592216
None,0.3,30674.922101447108
None,0.5,48093.17501480513
None,0.1,32094.04932430031
None,0.1,41635.78960726582
None,0.3,47674.48062336882
None,0.5,37791.92038687756
None,0.3,30074.40927942268
None,0.1,40689.747217015196
None,0.1,39576.47836279081
None,0.1,33142.39577362617
None,0.3,40511.68642609856
None,0.5,30395.736159100095
None,0.5,52476.23129305069
None,0.1,37537.544460822966
None,0.3,46854.59508739976
None,0.3,36237.07280857431
None,0.3,40324.19874121374
None,0.5,33398.687382961245
None,0.5,38932.84895503935
None,0.1,39281.61682080135
None,0.3,38496.41262607858
None,0.3,50146.925595308414
None,0.3,43161.501460495216
None,0.5,43641.33978329206
None,0.7,33328.20212313677
None,0.1,32991.611504047454
None,0.3,41984.05095625101
None,0.3,49722.86314376547
None,0.3,36979.557306019335
None,0.5,43850.762761627855
None,0.7,55301.7142271676
None,0.1,40307.17968718265
None,0.3,43973.94290358828
None,0.3,25860.098847952137
None,0.5,41551.43506893631
None,0.5,38434.696834571936
None,0.7,60771.736089734724
None,0.3,50007.38282704353
None,0.3,35582.15959283374
None,0.3,28519.723842433443
None,0.5,43849.72774131522
None,0.7,63358.04099969529
None,0.7,30962.841013690893
None,0.3,44268.123811855745
None,0.5,50168.1913137934
None,0.5,39174.89522177333
None,0.5,42036.37037890419
None,0.7,28933.270996118496
None,0.7,43384.38798385876
None,0.3,39329.512998436425
None,0.5,52252.03572907772
None,0.5,31605.979656040847
None,0.5,38629.70965291299
None,0.7,37244.067191423645
None,0.9,35816.38129869178
None,0.3,35615.31863530728
None,0.5,39619.81925190764
None,0.5,41196.116178106306
None,0.5,45039.37683132108
None,0.7,45701.933216870384
None,0.9,34759.5787962225
None,0.3,34743.46265286684
None,0.5,34135.09191534926
None,0.5,49075.363613528716
None,0.7,33347.30539297507
None,0.7,44027.96763420335
None,0.9,40895.76212759066
None,0.5,44350.258995936994
None,0.5,32714.813728606012
None,0.5,33927.165118699246
None,0.7,52672.999378810346
None,0.9,44244.5098079503
None,0.9,47427.89431130338
None,0.5,40137.98004734465
None,0.7,29967.19370078857
None,0.7,55426.92627530316
None,0.7,44623.60615801659
None,0.9,38174.13070727627
None,0.9,43485.11110347882
None,0.5,56080.92051726633
None,0.7,35722.998467706464
None,0.7,63184.5592604204
None,0.7,44684.977313556825
None,0.9,37479.01751178956
None,0.5,45695.18703097194
None,0.7,35875.18332596961
None,0.7,37815.58541812613
None,0.7,31478.392171930987
None,0.9,44703.79419247146
None,0.7,45694.57642820563
None,0.5,24516.551322705604
None,0.7,38100.12863219052
None,0.9,41136.14188492609
None,0.9,48277.750167541824
None,0.7,39611.97483049382
None,0.7,37498.50504696751
None,0.7,38675.711976611885
None,0.9,48746.277840560484
None,0.7,41314.55390801083
None,0.9,38193.947272147816
None,0.9,48154.69417741886
None,0.9,61030.645836144125
None,0.7,30441.832392705488
None,0.9,57692.16869641265
None,0.9,39473.25843723397
None,0.9,39690.91616127043
None,0.7,42366.075693190316
None,0.9,49142.93690844661
None,0.9,34797.167768863175
None,0.9,48485.08370108392
None,0.7,54028.10362404531
None,0.9,40770.049240692075
None,0.9,48335.58164237195
None,0.9,50399.886996113055
None,0.9,47803.34698078377
None,0.9,40415.871549223404
None,0.9,44789.9222858548
None,0.9,34250.69441538548
None,0.9,34749.39713474514
None,0.9,53970.528806803675
