proportion_train,proportion_test,value
None,0.1,31987.620538498435
None,0.1,32685.326529896778
None,0.1,26650.109671568258
None,0.1,31078.699150417164
None,0.1,29233.603992159406
None,0.1,31595.22920594164
None,0.1,27163.883772661342
None,0.1,31562.847269374444
None,0.1,29658.92737912635
None,0.1,25163.614597643493
None,0.1,29933.398318893844
None,0.1,28533.735954404503
None,0.1,31610.29439414721
None,0.1,32167.55196395646
None,0.1,29215.17011216816
None,0.1,27029.90259078894
None,0.1,25675.91961968639
None,0.1,30873.166354276695
None,0.1,27579.228423128847
None,0.1,30780.947492041956
None,0.1,28681.200264886254
None,0.1,31489.55058564399
None,0.1,31340.013852972734
None,0.1,29027.74212493089
None,0.1,31787.479688170177
None,0.1,30597.954571814993
None,0.1,30982.97351495256
None,0.1,31029.298826106053
None,0.1,30406.77833718839
None,0.1,30299.683102697134
None,0.3,24892.358657615772
None,0.3,24810.93395879671
None,0.3,28535.250866909686
None,0.3,30139.468938989576
None,0.3,29876.12351377167
None,0.3,27652.517888136314
None,0.3,22467.354295630204
None,0.3,28622.11419709088
None,0.3,33319.443208641474
None,0.3,28026.385380252912
None,0.3,30931.36200056214
None,0.3,31610.638282883334
None,0.3,31365.883474123228
None,0.3,29490.82581963477
None,0.3,29307.870747709927
None,0.3,28969.705302327475
None,0.3,32863.088230296875
None,0.3,33364.05605950154
None,0.3,31721.10318161537
None,0.3,31447.31806765307
None,0.3,25132.986756476803
None,0.3,32814.07066520856
None,0.3,38025.48297930417
None,0.3,30940.709126924212
None,0.3,29346.865118752063
None,0.3,26137.001619809635
None,0.3,25041.11775784879
None,0.3,27098.768816912616
None,0.3,32824.71501719868
None,0.3,33269.446433327415
None,0.5,30156.870892506726
None,0.5,27588.984478605897
None,0.5,34720.653963623045
None,0.5,31632.220065030186
None,0.5,30163.90066348805
None,0.5,25001.629217484417
None,0.5,17993.762064168743
None,0.5,21087.3224567478
None,0.5,27710.39905288539
None,0.5,28042.62126025819
None,0.5,25460.197191852072
None,0.5,19290.666223421962
None,0.5,32905.4319982047
None,0.5,27464.48820833189
None,0.5,38808.16658624613
None,0.5,27338.694967796688
None,0.5,22774.87434069878
None,0.5,29873.2209020544
None,0.5,21966.712577030576
None,0.5,34114.44498712676
None,0.5,22133.606378464472
None,0.5,121510.68287037036
None,0.5,39763.2080955135
None,0.5,37085.23768442327
None,0.5,29686.21346106896
None,0.5,33634.44492539414
None,0.5,19818.92415031058
None,0.5,34785.20178098095
None,0.5,31754.21514965239
None,0.5,31476.756663176973
None,0.7,37851.64188750803
None,0.7,31495.917245205965
None,0.7,22646.223728574554
None,0.7,30987.937884221312
None,0.7,54293.20633606992
None,0.7,19766.749748347356
None,0.7,24062.087963695256
None,0.7,27620.382481461864
None,0.7,35177.72912597656
None,0.7,25540.035657968096
None,0.7,27772.63458862305
None,0.7,34719.157317659745
None,0.7,30919.79795231895
None,0.7,33409.94386393229
None,0.7,31641.00409227259
None,0.7,22815.56713608564
None,0.7,33941.253294076494
None,0.7,39095.02677540965
None,0.7,41576.64040989346
None,0.7,122576.50899174529
None,0.7,24179.52053264036
None,0.7,33273.9976490162
None,0.7,22894.619258272476
None,0.7,27818.234640556468
None,0.7,20503.069523402624
None,0.7,149485.99277712265
None,0.7,39716.39357309493
None,0.7,35507.8985060307
None,0.7,29414.216993645055
None,0.7,41530.3235719915
None,0.9,49684.60358537947
None,0.9,29857.696314761513
None,0.9,72016.74909855769
None,0.9,28830.613141741072
None,0.9,59840.1132405599
None,0.9,24882.511360677083
None,0.9,25897.135064019098
None,0.9,41081.85593133224
None,0.9,32371.5029296875
None,0.9,33973.9023215554
None,0.9,60993.55950458233
None,0.9,34542.069227430555
None,0.9,41511.81244255515
None,0.9,22332.046786221592
None,0.9,34035.71435546875
None,0.9,42944.175865436424
None,0.9,39619.993672688805
None,0.9,28456.909639246325
None,0.9,24438.05886501736
None,0.9,29257.726025390624
None,0.9,31100.963815789473
None,0.9,39917.66434972426
None,0.9,27979.527197265626
None,0.9,33564.865159254805
None,0.9,31431.05746299342
None,0.9,35832.15094463642
None,0.9,27420.7236328125
None,0.9,23508.42303240741
None,0.9,24828.878373579544
None,0.9,49226.721354166664
