proportion_train,proportion_test,value
None,0.1,29270.786313444194
None,0.1,29281.216662273986
None,0.1,32513.64380104159
None,0.1,29265.56767203591
None,0.1,32517.048796971638
None,0.1,29249.90542537805
None,0.1,32460.19975761131
None,0.1,29275.271043419114
None,0.1,32505.524371865355
None,0.1,29252.1328867132
None,0.1,32534.437278865295
None,0.1,29273.623230003588
None,0.1,32529.793735080297
None,0.1,29279.827798276958
None,0.1,32520.04376571561
None,0.1,32527.887622032635
None,0.1,29271.520713667436
None,0.1,29288.956419441918
None,0.1,32476.175583403787
None,0.1,29244.207522305576
None,0.1,32515.854992477984
None,0.1,29247.26673297304
None,0.1,32539.390926643653
None,0.1,29255.863634930236
None,0.1,32521.776296592052
None,0.1,29267.435916969993
None,0.1,32524.71361221502
None,0.1,29286.294992920848
None,0.1,32507.194888597653
None,0.3,29294.358054005017
None,0.1,32531.55757009247
None,0.3,29251.18564490116
None,0.3,32518.925703142897
None,0.3,29291.773033049612
None,0.3,32529.030822259407
None,0.3,29290.331661131888
None,0.3,32481.33547041151
None,0.3,29281.958722108782
None,0.3,32514.146485646565
None,0.3,29245.103742564806
None,0.3,32552.868829833136
None,0.3,29271.983115779993
None,0.3,32558.229657761844
None,0.3,29295.876517821802
None,0.3,32547.90555636088
None,0.3,29288.254539385707
None,0.3,32534.011301723527
None,0.3,29307.653056474166
None,0.3,32500.69913218934
None,0.3,29293.751831540194
None,0.3,32542.08463153133
None,0.3,29280.964679140034
None,0.3,32549.178232793456
None,0.3,29294.537315310852
None,0.3,32529.69364439411
None,0.3,29255.46486608332
None,0.3,32522.031372541263
None,0.3,29292.48309060299
None,0.3,32528.737947723013
None,0.5,29276.965168045506
None,0.3,32538.876881846674
None,0.5,29280.35406216708
None,0.5,32537.429383737068
None,0.5,29273.697848395146
None,0.5,32531.229737152287
None,0.5,29231.82637976444
None,0.5,32510.00380151066
None,0.5,29294.025552425963
None,0.5,32508.430386484404
None,0.5,29263.044519967745
None,0.5,32486.692747893158
None,0.5,29269.078528803046
None,0.5,32516.155809896965
None,0.5,29287.041540781658
None,0.5,32471.330897578486
None,0.5,29220.74609153054
None,0.5,32545.29757148837
None,0.5,29254.697325596666
None,0.5,32530.59165554282
None,0.5,29282.887226960152
None,0.5,32554.674257973093
None,0.5,29267.375611091382
None,0.5,32510.96010813301
None,0.5,29275.421049846304
None,0.5,32515.84252006625
None,0.5,29279.588091116242
None,0.5,32510.58079933826
None,0.5,29266.365122061066
None,0.5,32526.283300329138
None,0.7,29385.003606252958
None,0.5,32482.32979103371
None,0.7,29275.216300964355
None,0.7,32526.803427590265
None,0.7,29296.85662919247
None,0.7,32545.41646354581
None,0.7,29247.141221017548
None,0.7,32501.7013726882
None,0.7,29239.30206104625
None,0.7,32491.58275057946
None,0.7,29246.673465197015
None,0.7,32498.60607392111
None,0.7,29258.714863262754
None,0.7,32487.9190978062
None,0.7,29283.40095136238
None,0.7,32493.683653183925
None,0.7,29264.893063308253
None,0.7,32519.27086168454
None,0.7,29257.003502493193
None,0.7,32535.78004620399
None,0.7,29260.143206278484
None,0.7,32515.2001697399
None,0.7,29308.160422585228
None,0.7,32501.354193510833
None,0.7,29254.87758590236
None,0.7,32521.146175855472
None,0.7,29265.254516116056
None,0.7,32518.064938557
None,0.7,29252.10159324877
None,0.7,32491.14109868179
None,0.9,29222.569343520656
None,0.7,32542.5739618113
None,0.9,29238.997342566287
None,0.9,32477.95671364113
None,0.9,29293.886881880328
None,0.9,32498.16337114499
None,0.9,29262.61210678563
None,0.9,32497.691462764033
None,0.9,29281.688510964133
None,0.9,32475.572545557847
None,0.9,29223.485795454544
None,0.9,32471.25551897214
None,0.9,29245.591385350082
None,0.9,32465.398413952487
None,0.9,29220.178536894826
None,0.9,32466.690570219063
None,0.9,29274.382631983903
None,0.9,32469.10922278887
None,0.9,29256.39647586707
None,0.9,32487.80805912724
None,0.9,29257.277075195314
None,0.9,32457.145317360206
None,0.9,29226.45809955019
None,0.9,32499.178522180628
None,0.9,29225.785985958217
None,0.9,29257.81160185843
None,0.9,32465.92687441979
None,0.9,29235.10534057617
None,0.9,32454.98156644091
None,0.9,32469.4541697561
None,0.9,32463.388195084935
