proportion_train,proportion_test,value
None,0.1,53560.05674227944
None,0.1,58400.991663312154
None,0.1,53586.874039662034
None,0.1,58390.44462222145
None,0.1,53589.05980263239
None,0.1,58396.39957500639
None,0.1,53566.88090941997
None,0.1,58405.386327884815
None,0.1,53556.08366594918
None,0.1,58490.84150518185
None,0.1,53866.94787674916
None,0.1,58391.37329703033
None,0.1,53559.23827964686
None,0.1,58487.53658371375
None,0.1,55135.706140600276
None,0.1,58402.208323927785
None,0.1,53562.67626711688
None,0.1,58401.72584101763
None,0.1,53547.40418293627
None,0.1,58409.365221457505
None,0.1,53568.21986611282
None,0.1,58396.284885527595
None,0.1,53558.65219991177
None,0.1,58416.823912565036
None,0.1,53559.24053423918
None,0.1,58408.602450113445
None,0.1,53566.34796281646
None,0.1,58391.02149795855
None,0.1,53615.98604021676
None,0.1,58378.38326091867
None,0.3,53566.410672885555
None,0.3,58381.32990632234
None,0.3,53636.047609662404
None,0.3,58388.23041261946
None,0.3,53748.76213216661
None,0.3,58369.30684024064
None,0.3,53562.76848930649
None,0.3,58392.81994830742
None,0.3,53744.764026110686
None,0.3,58426.6422986631
None,0.3,53523.90059304539
None,0.3,58432.985953638796
None,0.3,53583.81385173556
None,0.3,58381.60249546596
None,0.3,53591.12627416683
None,0.3,58400.1630457318
None,0.3,53559.86224461809
None,0.3,58388.07624988455
None,0.3,53552.534203889096
None,0.3,58392.980737958635
None,0.3,53835.45105691258
None,0.3,58398.543887425985
None,0.3,53601.44565082019
None,0.3,58397.78628392699
None,0.3,53596.85115143981
None,0.3,58394.63872685508
None,0.3,53582.51433082291
None,0.3,58398.199547217635
None,0.3,53684.31255593602
None,0.3,58380.7449422362
None,0.5,53555.72072580072
None,0.5,58448.00497904782
None,0.5,53548.442622201655
None,0.5,58414.639758801335
None,0.5,53577.18642798315
None,0.5,58423.64872200779
None,0.5,53637.575707467
None,0.5,58419.14123535156
None,0.5,53565.46637654365
None,0.5,58387.79628434761
None,0.5,53753.930858602405
None,0.5,58508.285835225746
None,0.5,53592.06944889117
None,0.5,58393.48889172266
None,0.5,53568.36739919156
None,0.5,58432.27302648151
None,0.5,53547.49956336685
None,0.5,58363.688932025245
None,0.5,53616.85239698193
None,0.5,58386.52462457727
None,0.5,53581.60326105432
None,0.5,58390.54985385471
None,0.5,53624.46731281522
None,0.5,58394.15154536817
None,0.5,53549.04353110398
None,0.5,58381.04098000097
None,0.5,53547.36994756385
None,0.5,58415.69747408105
None,0.5,53613.75555991643
None,0.5,58401.16585165357
None,0.7,53533.57392655385
None,0.7,58386.41146172417
None,0.7,53534.110651948184
None,0.7,58371.38730245923
None,0.7,53616.63375784959
None,0.7,58421.553652162904
None,0.7,53593.04755743485
None,0.7,58443.54188771727
None,0.7,53571.96680467823
None,0.7,58380.33049132332
None,0.7,53552.610653261596
None,0.7,58407.80611254172
None,0.7,53600.53512874555
None,0.7,58361.588311210515
None,0.7,53524.76317223658
None,0.7,58634.679410742705
None,0.7,53864.24940386422
None,0.7,58391.03837076823
None,0.7,53603.89328721445
None,0.7,58400.446003020756
None,0.7,53624.844109025784
None,0.7,58393.834761725535
None,0.7,53595.560100391245
None,0.7,58378.40114799378
None,0.7,53566.490375064895
None,0.7,58395.563558830785
None,0.7,53560.86906637844
None,0.7,58410.85409392503
None,0.7,53551.80575314292
None,0.7,58393.41699743523
None,0.9,53744.648646255686
None,0.9,58829.25346414879
None,0.9,54073.41410020273
None,0.9,58731.40248551949
None,0.9,54631.558862613725
None,0.9,58872.418561017075
None,0.9,54364.392259197
None,0.9,58939.539551750066
None,0.9,54260.472956017606
None,0.9,58783.78497992622
None,0.9,54165.07280984227
None,0.9,59124.70427853216
None,0.9,53916.181940701645
None,0.9,58636.85131674469
None,0.9,54249.73045206191
None,0.9,53931.9805843305
None,0.9,58808.294766542145
None,0.9,53717.9915752942
None,0.9,58680.581254262775
None,0.9,58938.63101373905
None,0.9,54379.895196610465
None,0.9,58882.34901904555
None,0.9,55917.583947290346
None,0.9,54452.912898660004
None,0.9,58997.745069392775
None,0.9,53874.27490018048
None,0.9,58988.378083405674
None,0.9,53961.392815466774
None,0.9,58487.63382442414
None,0.9,59154.10931945478
