proportion_train,proportion_test,value
None,0.1,30182.368038679426
None,0.1,31441.548794385068
None,0.1,31816.526943808793
None,0.1,30555.268122296002
None,0.1,30404.67142339338
None,0.1,31441.72482133948
None,0.1,30925.129115247728
None,0.1,29503.393808509027
None,0.1,30202.43928580814
None,0.1,31291.525604088114
None,0.1,30816.298345971107
None,0.1,29490.204642894656
None,0.1,31708.309755777056
None,0.1,31296.589816472544
None,0.1,31859.295096421243
None,0.1,29502.67830467917
None,0.1,30255.420102030213
None,0.1,31473.61900378162
None,0.1,30860.84686639309
None,0.1,29537.30635031434
None,0.1,33834.07326146176
None,0.1,32361.852652460893
None,0.1,31134.01814556122
None,0.1,36853.554434842845
None,0.1,30218.50036630296
None,0.1,31702.641596397258
None,0.1,30784.17297704518
None,0.1,31288.34577178955
None,0.1,31341.828088212456
None,0.1,30991.026493549347
None,0.1,30031.47051766602
None,0.1,29378.40539993796
None,0.1,31240.92423298048
None,0.1,30876.33992827609
None,0.1,30094.789093902935
None,0.1,29463.53259551248
None,0.1,31259.94047743045
None,0.1,30444.100966916445
None,0.1,31132.58046936989
None,0.1,30754.725262526856
None,0.1,31379.26183281182
None,0.1,30242.975298406524
None,0.1,30728.856081953643
None,0.1,31248.787620367006
None,0.1,31221.663546765812
None,0.1,30613.615529990195
None,0.1,30217.210524729817
None,0.1,30606.027969149654
None,0.1,31224.305041579726
None,0.1,30191.6096171301
None,0.1,29920.184885490773
None,0.1,30733.16016808748
None,0.1,31292.140451886455
None,0.1,30131.50205393423
None,0.1,29519.20798763841
None,0.1,30232.979180812836
None,0.1,40632.455191476
None,0.1,30121.603058354896
None,0.1,29482.88298234274
None,0.1,30929.74661052227
None,0.3,29497.905270368556
None,0.3,41731.7541246118
None,0.3,30726.21885453609
None,0.3,30822.703584992887
None,0.3,32016.60936178163
None,0.3,30219.367518207484
None,0.3,31279.138375039427
None,0.3,31209.803129196167
None,0.3,29781.00892174521
None,0.3,31226.914376489865
None,0.3,31781.663813815478
None,0.3,30816.59485629797
None,0.3,31337.21056450245
None,0.3,31314.214438657582
None,0.3,30716.954399609567
None,0.3,30199.526724424977
None,0.3,29750.738428869914
None,0.3,31241.195544734506
None,0.3,30728.900098776816
None,0.3,30226.81386890746
None,0.3,29508.89658576666
None,0.3,31161.25934480288
None,0.3,30140.38809033723
None,0.3,30778.95520193577
None,0.3,29457.879392135976
None,0.3,31210.7293301843
None,0.3,30198.23374010387
None,0.3,30901.967819726466
None,0.3,29466.15616659231
None,0.3,32052.90075645684
None,0.3,30732.273356366157
None,0.3,32628.481449149505
None,0.3,29518.879941274954
None,0.3,31657.861575772302
None,0.3,30851.945110607146
None,0.3,30238.431405842653
None,0.3,29479.52348425222
None,0.3,31218.625186090885
None,0.3,31648.43105714321
None,0.3,30402.42087531508
None,0.3,29575.1021194458
None,0.3,31266.354126924314
None,0.3,35049.30073852539
None,0.3,30212.48681691934
None,0.3,29513.685272349867
None,0.3,34870.802870282474
None,0.3,30570.875098848344
None,0.3,34220.02034076891
None,0.3,29431.918180593224
None,0.3,31530.211171025814
None,0.3,30844.038695681094
None,0.3,30167.359626323858
None,0.3,40273.13103077024
None,0.3,31941.842920113795
None,0.3,30835.32734105587
None,0.3,32548.543108789545
None,0.3,29539.717843058497
None,0.3,32778.92852475184
None,0.3,31253.693089580534
None,0.3,30192.81233703881
None,0.5,29501.556846862615
None,0.5,31267.26454849717
None,0.5,30863.230387973785
None,0.5,30151.403371710527
None,0.5,29255.531332858773
None,0.5,31293.058887837095
None,0.5,31266.25454940796
None,0.5,30312.9653261642
None,0.5,30514.58966703193
None,0.5,31244.571099512326
None,0.5,30862.46097278595
None,0.5,32665.93839803774
None,0.5,29462.115324353064
None,0.5,31348.576429852787
None,0.5,30886.814085865022
None,0.5,30402.530735841272
None,0.5,29605.34223691253
None,0.5,31273.646150719305
None,0.5,30834.554896497728
None,0.5,30222.0613036574
None,0.5,29466.337786031323
