proportion_train,proportion_test,value
None,0.1,54813.28276673433
None,0.1,69434.75237068966
None,0.1,56316.06487478904
None,0.1,54548.18154931613
None,0.1,55072.541528140275
None,0.1,47190.89414098528
None,0.1,53648.15269645352
None,0.1,54030.81607480104
None,0.1,55446.087281984066
None,0.1,51178.22424697876
None,0.1,54019.182007903706
None,0.1,57250.24867406012
None,0.1,56883.35350243107
None,0.1,57045.90365044276
None,0.1,51682.29233689114
None,0.1,59159.374732161756
None,0.1,50478.16142046729
None,0.1,53496.100295060285
None,0.1,56075.9027006218
None,0.1,49459.65492546695
None,0.1,57688.9430896998
None,0.1,53517.58784267007
None,0.1,55383.26700616997
None,0.1,54204.96361753291
None,0.1,51050.70196637643
None,0.1,54566.77467217737
None,0.1,55735.85412268205
None,0.1,55253.80864705125
None,0.1,56012.30535096121
None,0.1,53600.16717821009
None,0.3,59133.03516255156
None,0.3,46168.759865945845
None,0.3,51976.55111282838
None,0.3,48398.44492266865
None,0.3,55958.4655646271
None,0.3,52438.91540432259
None,0.3,48277.20558529392
None,0.3,69436.63412978622
None,0.3,45805.55511238143
None,0.3,52605.602361713754
None,0.3,47823.27411349663
None,0.3,54834.70594696666
None,0.3,55740.10456789542
None,0.3,50164.5719575854
None,0.3,52273.6944641028
None,0.3,66244.44840700198
None,0.3,60663.66234744888
None,0.3,57685.274322741294
None,0.3,56196.13263044085
None,0.3,50033.131491921165
None,0.3,60456.365015292795
None,0.3,52378.01250664206
None,0.3,53993.163953198644
None,0.3,51778.735656749435
None,0.3,46819.56727876719
None,0.3,55497.02417002454
None,0.3,56217.47483051149
None,0.3,51172.35626258731
None,0.3,56552.267192389845
None,0.3,61310.24224047202
None,0.5,66310.55654269252
None,0.5,57035.53493321837
None,0.5,60594.26634222269
None,0.5,46811.968337133585
None,0.5,72274.33184498335
None,0.5,57901.478598686444
None,0.5,53410.56568509615
None,0.5,61421.40606051478
None,0.5,44278.42999409844
None,0.5,64973.01989557794
None,0.5,36580.292537342415
None,0.5,63422.730285488826
None,0.5,58150.62054623632
None,0.5,57426.70954763478
None,0.5,43060.43545765978
None,0.5,55350.16882779305
None,0.5,54365.93541561264
None,0.5,45393.65492621528
None,0.5,53756.66161812848
None,0.5,55052.93244789657
None,0.5,43726.4550260065
None,0.5,47034.620313731466
None,0.5,54574.80720019835
None,0.5,52458.242299729034
None,0.5,66191.25170288087
None,0.5,60242.54445289163
None,0.5,56514.18046167605
None,0.5,48050.383385254165
None,0.5,54026.23346583048
None,0.5,47790.78196768131
None,0.7,66222.10077812558
None,0.7,56771.790992197944
None,0.7,54727.68334398202
None,0.7,65934.62257960305
None,0.7,39575.60450013043
None,0.7,72162.16493144789
None,0.7,64219.966489943785
None,0.7,34851.04177242372
None,0.7,51676.37714203133
None,0.7,56621.09450699979
None,0.7,44129.22938553383
None,0.7,42259.14133973052
None,0.7,55702.502233598614
None,0.7,51882.42259861543
None,0.7,62084.681914322464
None,0.7,39682.94117159457
None,0.7,71969.2538410216
None,0.7,50635.12618806627
None,0.7,44675.24981985519
None,0.7,46774.49052978516
None,0.7,48629.69000303745
None,0.7,46235.07568359375
None,0.7,48704.13239316052
None,0.7,51261.443061455146
None,0.7,36150.18516636562
None,0.7,71383.6520030034
None,0.7,58847.88917902896
None,0.7,53451.6107340726
None,0.7,61803.2950018434
None,0.7,55654.84310056625
None,0.9,59559.276798329454
None,0.9,73825.0202607272
None,0.9,55438.10952758789
None,0.9,33078.43983004386
None,0.9,68565.69103688207
None,0.9,47643.575727746844
None,0.9,31988.934076353562
None,0.9,68635.36791992188
None,0.9,41716.08447846912
None,0.9,39625.66067504883
None,0.9,70194.58301827568
None,0.9,24412.647814237156
None,0.9,46208.93430830793
None,0.9,68590.98017725452
None,0.9,13888.579681396484
None,0.9,48789.975699630435
None,0.9,92075.93903459821
None,0.9,46841.07490834019
None,0.9,48162.48501978165
None,0.9,90988.55430480957
None,0.9,30917.45016891892
None,0.9,102124.1735812717
None,0.9,31348.02253605769
None,0.9,58714.02546317622
None,0.9,43633.10663951527
None,0.9,51662.68408351991
None,0.9,45584.53731689453
None,0.9,21672.64370013298
None,0.9,46371.25375306373
None,0.9,98976.07882622613
