proportion_train,proportion_test,value
None,0.1,37693.43349388889
None,0.1,33809.77394087358
None,0.1,42726.12814072313
None,0.1,39258.52716257634
None,0.1,41846.030054254115
None,0.1,34929.2871772693
None,0.1,32652.78682409259
None,0.1,34226.47521279951
None,0.1,36386.44045667876
None,0.1,30198.174622501938
None,0.1,32820.141569891384
None,0.1,37105.82848416706
None,0.1,43186.86049192584
None,0.3,41840.19122135728
None,0.1,36156.19396534605
None,0.1,35366.031257195726
None,0.1,39726.11460835872
None,0.1,40585.309997856464
None,0.1,27985.530023532123
None,0.3,45552.40947376598
None,0.1,30058.73762090217
None,0.1,43091.082685633024
None,0.1,31968.670626563846
None,0.1,32446.17745819238
None,0.1,26662.60881552372
None,0.3,23668.8675671217
None,0.1,36100.63319896644
None,0.1,31169.85596055026
None,0.3,45883.096786864066
None,0.1,33836.22217761756
None,0.3,36088.64382685174
None,0.3,24635.895098457888
None,0.1,27976.93629474257
None,0.1,31982.46091995458
None,0.3,37220.52811770791
None,0.3,28948.198797461402
None,0.3,42773.70921000795
None,0.3,36203.84199001331
None,0.1,43048.8045805921
None,0.3,46617.75818163128
None,0.3,31788.4391572746
None,0.3,28713.520671288887
None,0.3,28474.78638339832
None,0.5,29384.258254201977
None,0.1,35588.86567450783
None,0.3,36651.85013322018
None,0.3,28138.908813488248
None,0.3,42228.470077026956
None,0.3,41197.985570248326
None,0.5,29974.882286582837
None,0.3,37750.63667431407
None,0.3,36523.130155338855
None,0.3,31314.916499327155
None,0.3,37179.1174706564
None,0.3,46253.120506469146
None,0.5,37256.624051032544
None,0.3,29932.084874320153
None,0.3,36223.600753559316
None,0.5,34021.312683778706
None,0.3,16567.348540901294
None,0.5,39507.348980045586
None,0.5,25613.561375380155
None,0.3,35442.010851536805
None,0.3,39315.45504686329
None,0.5,45424.41757819801
None,0.5,31780.14465857693
None,0.5,46303.00886469937
None,0.5,46598.78621224581
None,0.3,40239.797717299756
None,0.5,31903.428336935085
None,0.5,41135.58240605843
None,0.5,34672.81709499816
None,0.5,46605.63712993421
None,0.7,42935.078635989834
None,0.3,41811.0321262429
None,0.5,44684.92588346198
None,0.5,29041.064897844593
None,0.5,35308.382138167384
None,0.5,46545.51401764354
None,0.7,46610.82805023924
None,0.5,32219.87805006529
None,0.5,34857.26595787231
None,0.5,47117.55846409629
None,0.5,43111.553174765555
None,0.5,36745.18054919667
None,0.7,36168.097876525586
None,0.5,29697.076817991998
None,0.5,41598.13562509054
None,0.7,39067.88134835129
None,0.5,39288.471328381995
None,0.7,31333.88689061215
None,0.7,39356.20876804772
None,0.5,46124.932339754974
None,0.5,41384.855933177896
None,0.7,107331.40024138891
None,0.7,47890.50085368617
None,0.7,48162.611801734456
None,0.7,35433.47478066239
None,0.5,30505.020152427274
None,0.7,46467.1474072032
None,0.7,35211.20582811566
None,0.7,17145.107117554882
None,0.7,17563.346533325777
None,0.9,8496.568349464087
None,0.5,39489.870276686015
None,0.7,42770.76842230113
None,0.7,46022.394980667326
None,0.7,31867.433424816954
None,0.7,46611.12539249402
None,0.9,115227.83386055248
None,0.7,42724.037435047205
None,0.7,37986.57182304711
None,0.7,48573.2537554844
None,0.7,42496.402904081944
None,0.7,40504.01810231479
None,0.9,44568.51349207974
None,0.7,43494.78344814173
None,0.7,38475.37774278559
None,0.9,52665.19131500354
None,0.7,21618.008749658322
None,0.9,76452.61936771084
None,0.9,14650.729455449595
None,0.7,33435.68758960341
None,0.7,36780.90056107954
None,0.9,56285.57595308295
None,0.9,43513.26806220096
None,0.9,602807.3243963068
None,0.9,23023.270155385573
None,0.7,39444.04845949894
None,0.9,119525.16473723926
None,0.9,46611.13898026316
None,0.9,23448.69609865216
None,0.9,45594.26742749063
None,0.7,54725.9714621512
None,0.9,46222.71488970743
None,0.9,14665.719256977283
None,0.9,41118.340678427674
None,0.9,235247.88543964003
None,0.9,63226.91434978868
None,0.9,65910.4162098201
None,0.9,155564.62254733875
None,0.9,10530.97852693804
None,0.9,40948.569947445525
None,0.9,41100.70115375135
None,0.9,45037.398736912844
None,0.9,362387.2796822142
None,0.9,30299.802440971485
None,0.9,45537.100583023006
None,0.9,42492.696124320144
None,0.9,42520.15195085444
