proportion_train,proportion_test,value
0.8,0.1,31952.963211581948
0.8,0.3,162011.607923473
0.8,0.5,86383.38213965311
0.8,0.7,59436.44674884705
0.8,0.9,107648.43324824137
0.8,0.1,61055.87807800293
0.8,0.3,41528.62642605283
0.8,0.5,35368.44009947855
0.8,0.7,36608.63608346565
0.8,0.9,45644.28687772176
0.8,0.1,97582.22629010215
0.8,0.3,40070.93855802617
0.8,0.5,84511.19915333432
0.8,0.7,31529.596648105457
0.8,0.9,44862.8319901783
0.8,0.1,32290.590462996923
0.8,0.3,84180.26480001496
0.8,0.5,32813.86201819024
0.8,0.7,37907.33085635975
0.8,0.9,86383.38213965311
0.8,0.1,40312.113707386365
0.8,0.3,29032.23668966339
0.8,0.5,86383.38213965311
0.8,0.7,58646.939361309436
0.8,0.9,30665.557858152253
0.8,0.1,33257.808570989946
0.8,0.3,34338.68437216143
0.8,0.5,86383.38213965311
0.8,0.7,41246.084442284686
0.8,0.9,31366.66204606198
0.8,0.1,102147.53178865131
0.8,0.3,43290.625537624815
0.8,0.5,40465.482473354255
0.8,0.7,30716.516534674247
0.8,0.9,228677.0342470423
0.8,0.1,45127.95330368188
0.8,0.3,47222.58732322584
0.8,0.5,86383.38213965311
0.8,0.7,53462.079199942986
0.8,0.9,35183.56632738652
0.8,0.1,86383.38213965311
0.8,0.3,45057.662273255846
0.8,0.5,63523.003786919704
0.8,0.7,59089.76855689529
0.8,0.9,36802.05236844441
0.8,0.1,63578.27007017582
0.8,0.3,62824.22795307725
0.8,0.5,40321.239991402515
0.8,0.7,32585.442402472243
0.8,0.9,55444.46847300552
0.8,0.1,40950.75822368421
0.8,0.3,50977.91339638159
0.8,0.5,37611.83067758369
0.8,0.7,55466.36475854609
0.8,0.9,36631.6124547931
0.8,0.1,47858.17584526865
0.8,0.3,36194.56233354048
0.8,0.5,57845.71435108824
0.8,0.7,49705.37484493566
0.8,0.9,41675.38530371561
0.8,0.1,86383.38213965311
0.8,0.3,53566.305294650876
0.8,0.5,92000.13538473759
0.8,0.7,49323.03981367047
0.8,0.9,44707.81500570051
0.8,0.1,49815.60955793901
0.8,0.3,34419.40270671352
0.8,0.5,33729.49414066004
0.8,0.7,52851.200700374764
0.8,0.9,86383.38213965311
0.8,0.1,41535.104936079544
0.8,0.3,47318.1055530997
0.8,0.5,57842.83136737585
0.8,0.7,116080.27656025717
0.8,0.9,27829.47765440434
0.8,0.1,56902.70948570434
0.8,0.3,35589.694418962834
0.8,0.5,101299.65684976825
0.8,0.7,48176.5961399615
0.8,0.9,29658.927227388955
0.8,0.1,31074.431884920403
0.8,0.3,59719.5709221306
0.8,0.5,31428.379897717925
0.8,0.7,82682.86319370981
0.8,0.9,30757.458590712842
0.8,0.1,59664.79121846614
0.8,0.3,55838.87490124425
0.8,0.5,55223.920381329546
0.8,0.7,41737.61858837073
0.8,0.9,47218.098866626795
0.8,0.1,33643.165557464155
0.8,0.3,59183.186273625564
0.8,0.5,39680.13101088237
0.8,0.7,71178.70965712843
0.8,0.9,55831.886126979116
0.8,0.1,36288.88062546725
0.8,0.3,29733.793630476222
0.8,0.5,37759.27854431809
0.8,0.7,39920.92679435182
0.8,0.9,36841.22367171146
0.8,0.1,40252.95328249114
0.8,0.3,86383.38213965311
0.8,0.5,36419.038029791
0.8,0.7,62774.176969308086
0.8,0.9,56832.50850042206
0.8,0.1,40740.182572557365
0.8,0.3,53925.094795906036
0.8,0.5,86383.38213965311
0.8,0.7,33251.29053752991
0.8,0.9,30568.106710443088
0.8,0.1,42227.13773329283
0.8,0.3,58319.548407619615
0.8,0.5,41538.538572741054
0.8,0.7,29982.837360718648
0.8,0.9,61517.64326112008
0.8,0.1,34741.236675025175
0.8,0.3,72282.4004779228
0.8,0.5,88561.39223537027
0.8,0.7,32988.373644026615
0.8,0.9,64618.50092939897
0.8,0.1,84980.33153388648
0.8,0.3,55077.09121162378
0.8,0.5,45250.122346448385
0.8,0.7,60257.21380032335
0.8,0.9,32827.25092227333
0.8,0.1,31313.180908249855
0.8,0.3,77135.04323237407
0.8,0.5,45887.8072996083
0.8,0.7,41466.67082218152
0.8,0.9,63371.542685114655
0.8,0.1,57128.075777625854
0.8,0.3,67180.24746336722
0.8,0.5,38050.17585968967
0.8,0.7,35306.33810873953
0.8,0.9,27493.250502001018
0.8,0.1,41457.07855959075
0.8,0.3,100710.51940826855
0.8,0.5,97951.8487700102
0.8,0.7,36206.22630308014
0.8,0.9,38717.70638413717
0.8,0.1,35007.187988667465
0.8,0.3,289187.74672994076
0.8,0.5,86383.38213965311
0.8,0.7,34762.54990359365
0.8,0.9,43389.17277997907
0.8,0.1,60801.010205036146
0.8,0.3,57859.82007565584
0.8,0.5,72119.90049451326
0.8,0.7,38794.16026703027
0.8,0.9,40661.6890232506
