proportion_train,proportion_test,value
0.8,0.1,55938.92381562541
0.8,0.3,72285.39371976427
0.8,0.5,66460.43252076961
0.8,0.7,88909.81594891193
0.8,0.9,59600.32532059094
0.8,0.1,53516.748281466906
0.8,0.3,63202.380879571145
0.8,0.5,75441.18385403215
0.8,0.7,139343.44446760538
0.8,0.9,388609.83087768365
0.8,0.1,56102.23097748054
0.8,0.3,89536.19275107139
0.8,0.5,62106.68989753912
0.8,0.7,63138.86880331122
0.8,0.9,68135.41944608357
0.8,0.1,54479.60772856405
0.8,0.3,85739.17699941587
0.8,0.5,54106.366667131166
0.8,0.7,99134.6711435315
0.8,0.9,401930.77371586073
0.8,0.1,121656.4222453409
0.8,0.3,58323.4431042017
0.8,0.5,87233.971100886
0.8,0.7,61456.84682213649
0.8,0.9,74661.56234895816
0.8,0.1,391969.71896474285
0.8,0.3,54929.69266528926
0.8,0.5,79568.30948509532
0.8,0.7,52266.410681270245
0.8,0.9,114020.22382026612
0.8,0.1,50950.852131242995
0.8,0.3,146991.81901369113
0.8,0.5,252091.7822634257
0.8,0.7,115310.2652427106
0.8,0.9,85521.78943972752
0.8,0.1,239683.6383769655
0.8,0.3,85926.15970940204
0.8,0.5,52558.24488065861
0.8,0.7,139133.66504459508
0.8,0.9,92422.64061663668
0.8,0.1,109654.2367630399
0.8,0.3,86534.72679860012
0.8,0.5,187968.61860346523
0.8,0.7,89406.43225642432
0.8,0.9,52747.88052893772
0.8,0.1,231136.39634910977
0.8,0.3,79308.54994207903
0.8,0.5,113072.01964038283
0.8,0.7,91975.85760698555
0.8,0.9,80241.96580267788
0.8,0.1,148799.06027656997
0.8,0.3,62667.133758600714
0.8,0.5,115091.8887452332
0.8,0.7,248938.74147353743
0.8,0.9,76098.10317726326
0.8,0.1,55276.34434917356
0.8,0.3,96714.39820949333
0.8,0.5,54323.74773923638
0.8,0.7,115127.22343835751
0.8,0.9,251667.5542508502
0.8,0.1,54962.76458155105
0.8,0.3,89615.3966770645
0.8,0.5,82634.10263664689
0.8,0.7,115663.58203125
0.8,0.9,116250.55542482043
0.8,0.1,89253.80894922429
0.8,0.3,234503.7653542826
0.8,0.5,98916.60356104195
0.8,0.7,103320.06182017807
0.8,0.9,146842.50006249294
0.8,0.1,125601.233914003
0.8,0.3,55353.001417091305
0.8,0.5,86762.93055168971
0.8,0.7,77136.36704222624
0.8,0.9,592109.4367587778
0.8,0.1,236336.91049620317
0.8,0.3,56420.21590090519
0.8,0.5,77862.16360662288
0.8,0.7,98241.50820244245
0.8,0.9,65717.06893634639
0.8,0.1,307967.6483357037
0.8,0.3,115663.58203125
0.8,0.5,72458.05252273323
0.8,0.7,65987.57516924108
0.8,0.9,83599.19123287611
0.8,0.1,62806.661640336526
0.8,0.3,75300.31787374541
0.8,0.5,85617.93961003075
0.8,0.7,335376.34562818805
0.8,0.9,89438.04882849543
0.8,0.1,65558.97816648372
0.8,0.3,83116.91810034886
0.8,0.5,69542.43142435374
0.8,0.7,145955.27093966713
0.8,0.9,113063.26140972042
0.8,0.1,92034.62213232246
0.8,0.3,48219.701235761095
0.8,0.5,49599.160747019865
0.8,0.7,55729.03733181788
0.8,0.9,193881.45510686954
0.8,0.1,64498.5675204266
0.8,0.3,115663.58203125
0.8,0.5,93535.73806460625
0.8,0.7,53709.13413371977
0.8,0.9,135707.9513871885
0.8,0.1,87218.0885800196
0.8,0.3,176721.0615687457
0.8,0.5,101767.33305805176
0.8,0.7,72551.20779176004
0.8,0.9,103176.46742758864
0.8,0.1,180229.82922723706
0.8,0.3,93192.18722285879
0.8,0.5,51859.972859509675
0.8,0.7,82098.13967091963
0.8,0.9,63897.986654990964
0.8,0.1,183145.1878031978
0.8,0.3,122792.1877652482
0.8,0.5,87043.5568687502
0.8,0.7,429323.74459683
0.8,0.9,91140.94555665608
0.8,0.1,54177.11431511327
0.8,0.3,78366.78023424889
0.8,0.5,54513.08529584775
0.8,0.7,93270.61788562617
0.8,0.9,91174.55129636812
0.8,0.1,89003.12540122545
0.8,0.3,64606.90635943956
0.8,0.5,131290.4054220934
0.8,0.7,740377.7717325271
0.8,0.9,52329.212118396914
0.8,0.1,115663.58203125
0.8,0.3,72747.67255931156
0.8,0.5,126303.87420893395
0.8,0.7,117695.7806365412
0.8,0.9,58412.87305365948
0.8,0.1,115663.58203125
0.8,0.3,127766.73133041506
0.8,0.5,66800.9396388043
0.8,0.7,98726.68339444153
0.8,0.9,167020.26633079842
0.8,0.1,62228.29227466426
0.8,0.3,115642.77452122649
0.8,0.5,105569.44626405512
0.8,0.7,95292.0620378696
0.8,0.9,80991.00451058884
0.8,0.1,148747.02103354194
0.8,0.3,80719.40762566181
0.8,0.5,256603.6186278338
0.8,0.7,57193.7142295787
0.8,0.9,65558.99253002324
