proportion_train,proportion_test,value
0.8,0.1,33785.2095247975
0.8,0.3,43942.671113047625
0.8,0.5,128625.73820843858
0.8,0.7,39728.28583619917
0.8,0.9,39729.16792202452
0.8,0.1,86959.14181300989
0.8,0.3,76806.58895342886
0.8,0.5,35311.23930584629
0.8,0.7,39729.16792202452
0.8,0.9,46427.92865767045
0.8,0.1,88370.92016065605
0.8,0.3,39729.16792202452
0.8,0.5,45268.91604178835
0.8,0.7,32575.883758877837
0.8,0.9,34593.442488785884
0.8,0.1,75326.52972514191
0.8,0.3,34330.249901876494
0.8,0.5,32446.589627524932
0.8,0.7,50527.81207214794
0.8,0.9,37903.406777811004
0.8,0.1,39729.16792202452
0.8,0.3,39729.16792202452
0.8,0.5,54972.06690095163
0.8,0.7,250804.93919585453
0.8,0.9,31890.58628008537
0.8,0.1,39729.16792202452
0.8,0.3,95069.13468581787
0.8,0.5,29316.82618019214
0.8,0.7,86725.0597258149
0.8,0.9,1539837.9088853272
0.8,0.1,30384.4843214526
0.8,0.3,604632.8164179313
0.8,0.5,39729.16792202452
0.8,0.7,34276.7000878439
0.8,0.9,34059.640601637264
0.8,0.1,74974.29675595005
0.8,0.3,33793.710278670755
0.8,0.5,30552.787713836227
0.8,0.7,39729.16792202452
0.8,0.9,36917.293036034695
0.8,0.1,38695.34374881142
0.8,0.3,315427.09997233853
0.8,0.5,34178.442994916266
0.8,0.7,39729.16792202452
0.8,0.9,39288.83998211745
0.8,0.1,39729.16792202452
0.8,0.3,67010.77542937976
0.8,0.5,39729.16792202452
0.8,0.7,187596.18452358703
0.8,0.9,54883.597720918064
0.8,0.1,44102.144269984485
0.8,0.3,34247.10998243122
0.8,0.5,81239.85955742796
0.8,0.7,80021.32168473385
0.8,0.9,32236.197452529836
0.8,0.1,34128.55644437799
0.8,0.3,38958.573127163974
0.8,0.5,44993.59081193376
0.8,0.7,52500.123573716446
0.8,0.9,254046.34192107132
0.8,0.1,39723.457365804425
0.8,0.3,145382.08807585647
0.8,0.5,47063.21765400718
0.8,0.7,35783.216064958346
0.8,0.9,36997.18760751898
0.8,0.1,37327.29077070318
0.8,0.3,179722.10552701083
0.8,0.5,60886.10819078947
0.8,0.7,39729.16792202452
0.8,0.9,64861.519013905505
0.8,0.1,40658.45927261822
0.8,0.3,53945.07969497608
0.8,0.5,29350.968888751308
0.8,0.7,39729.16792202452
0.8,0.9,39729.16792202452
0.8,0.1,39729.16792202452
0.8,0.3,32067.822798529087
0.8,0.5,43212.53322013892
0.8,0.7,39729.16792202452
0.8,0.9,37654.559813378444
0.8,0.1,39410.64557488912
0.8,0.3,31770.233129275384
0.8,0.5,29570.079775904604
0.8,0.7,47455.30415922831
0.8,0.9,47066.009797585226
0.8,0.1,42856.831849955146
0.8,0.3,125537.66517281419
0.8,0.5,108070.2785540859
0.8,0.7,39729.17365991328
0.8,0.9,47066.009797585226
0.8,0.1,33832.90075648549
0.8,0.3,31547.37695047917
0.8,0.5,213283.04678870388
0.8,0.7,32570.716729169784
0.8,0.9,61412.93401919423
0.8,0.1,47066.009797585226
0.8,0.3,132220.5385090893
0.8,0.5,30519.81098955218
0.8,0.7,39729.16792202452
0.8,0.9,38089.104823443406
0.8,0.1,39729.16792202452
0.8,0.3,72690.48188504524
0.8,0.5,59068.74993247876
0.8,0.7,899690.2491402512
0.8,0.9,39729.16792202452
0.8,0.1,33338.221932005086
0.8,0.3,104503.66201646942
0.8,0.5,34148.26646138606
0.8,0.7,39656.20256429426
0.8,0.9,39729.16792202452
0.8,0.1,37421.33192462246
0.8,0.3,35752.31623897279
0.8,0.5,58431.82256385037
0.8,0.7,31866.04097459419
0.8,0.9,34360.33198919707
0.8,0.1,31754.26687971344
0.8,0.3,33891.09143066406
0.8,0.5,29950.888455354245
0.8,0.7,39801.82979389811
0.8,0.9,29130.786106646232
0.8,0.1,34036.64961498206
0.8,0.3,34095.81729403409
0.8,0.5,32066.289524895335
0.8,0.7,49513.856930743495
0.8,0.9,36121.98604123056
0.8,0.1,42008.09109170576
0.8,0.3,35867.33385036633
0.8,0.5,47066.009797585226
0.8,0.7,34041.399523481894
0.8,0.9,46747.490532670454
0.8,0.1,36298.39135743356
0.8,0.3,50954.64808184902
0.8,0.5,39729.16792202452
0.8,0.7,47066.009797585226
0.8,0.9,39729.16792202452
0.8,0.1,34265.78343301435
0.8,0.3,40264.38939298994
0.8,0.5,39406.11833066219
0.8,0.7,33968.55048687949
0.8,0.9,35732.569602424584
0.8,0.1,31902.266265139056
0.8,0.3,314729.8978161446
0.8,0.5,164881.09187866794
0.8,0.7,34229.44871061042
0.8,0.9,33657.20157502243
0.8,0.1,40287.709340236244
0.8,0.3,74474.80791609039
0.8,0.5,36235.70164012111
0.8,0.7,141511.888891952
0.8,0.9,28936.57387203235
