proportion_train,proportion_test,value
0.8,0.1,84314.15412579797
0.8,0.3,134703.84691151013
0.8,0.5,64514.28714418017
0.8,0.7,78787.69784672004
0.8,0.9,64552.59825348657
0.8,0.1,310574.1545219699
0.8,0.3,47760.47107873839
0.8,0.5,50874.68501117801
0.8,0.7,911427.4552407825
0.8,0.9,510829.94815523
0.8,0.1,64552.59725674716
0.8,0.3,71791.2632856082
0.8,0.5,62832.55693621675
0.8,0.7,56154.63792649513
0.8,0.9,57173.270402892565
0.8,0.1,51773.488325639206
0.8,0.3,85702.29046249168
0.8,0.5,172238.36682390093
0.8,0.7,64194.168044026264
0.8,0.9,212566.47196406088
0.8,0.1,64552.59825348657
0.8,0.3,195955.68032559386
0.8,0.5,48816.59498579803
0.8,0.7,51747.81282888365
0.8,0.9,171198.35621031202
0.8,0.1,48893.50413223141
0.8,0.3,54815.37372288176
0.8,0.5,56274.63324791774
0.8,0.7,51658.999995964616
0.8,0.9,64552.59825348657
0.8,0.1,51705.33085130423
0.8,0.3,48914.39542545307
0.8,0.5,138665.00162873624
0.8,0.7,46735.561983471074
0.8,0.9,58360.56793325881
0.8,0.1,65889.820250456
0.8,0.3,64549.37038271565
0.8,0.5,90648.33819750321
0.8,0.7,71389.11197874969
0.8,0.9,51710.58989152892
0.8,0.1,71791.2632856082
0.8,0.3,152776.60773000165
0.8,0.5,45093.77173139461
0.8,0.7,53167.86195194278
0.8,0.9,46425.22901133134
0.8,0.1,50620.381038058564
0.8,0.3,82195.32563552605
0.8,0.5,116410.34399067271
0.8,0.7,144713.65317189114
0.8,0.9,185379.2640672422
0.8,0.1,64552.59825348657
0.8,0.3,124245.25270681144
0.8,0.5,52019.38363313532
0.8,0.7,103130.56003555928
0.8,0.9,52259.301229244586
0.8,0.1,71739.17863859507
0.8,0.3,59044.01803920778
0.8,0.5,64461.87435837424
0.8,0.7,78666.2887597858
0.8,0.9,753139.7064016496
0.8,0.1,81778.2204164338
0.8,0.3,64552.59825348657
0.8,0.5,57173.270402892565
0.8,0.7,64552.59825348657
0.8,0.9,45328.66514902667
0.8,0.1,58459.100308005596
0.8,0.3,50013.26991158477
0.8,0.5,52741.96860075391
0.8,0.7,75649.74650601599
0.8,0.9,51897.39184166774
0.8,0.1,47471.39256198347
0.8,0.3,55346.35510717975
0.8,0.5,56396.20668912525
0.8,0.7,71644.88556843702
0.8,0.9,47699.70578039248
0.8,0.1,217930.58125528635
0.8,0.3,76518.22364485812
0.8,0.5,78787.69784672004
0.8,0.7,66035.48635839036
0.8,0.9,52264.15140148825
0.8,0.1,64552.59825348657
0.8,0.3,50502.65581935157
0.8,0.5,66898.31265375437
0.8,0.7,46526.02934836521
0.8,0.9,55873.528341498255
0.8,0.1,124784085.91935642
0.8,0.3,215496.2298149424
0.8,0.5,64552.59825348657
0.8,0.7,57538.20951521692
0.8,0.9,51284.466182331686
0.8,0.1,64552.59825348657
0.8,0.3,46011.46847745658
0.8,0.5,181423.39218723797
0.8,0.7,123731.7647578468
0.8,0.9,64552.59825348657
0.8,0.1,52981.47375530149
0.8,0.3,48691.21563179789
0.8,0.5,54808.80638230254
0.8,0.7,52170.903249693314
0.8,0.9,66898.31849045398
0.8,0.1,48761.265768886595
0.8,0.3,50158.91171164772
0.8,0.5,64552.59705497805
0.8,0.7,71530.31458041735
0.8,0.9,63604.03815045901
0.8,0.1,64552.59825348657
0.8,0.3,51708.62191050255
0.8,0.5,1294369.5994459921
0.8,0.7,41079.4928557377
0.8,0.9,55552.63787488701
0.8,0.1,52423.93229637461
0.8,0.3,46845.5264042323
0.8,0.5,52090.66479895726
0.8,0.7,48918.973581149454
0.8,0.9,50275.52643526692
0.8,0.1,52662.285997121675
0.8,0.3,53489.99945320572
0.8,0.5,90419.57102372225
0.8,0.7,71476.67563153732
0.8,0.9,48591.31510648743
0.8,0.1,64552.11751033058
0.8,0.3,51816.166491800104
0.8,0.5,59946.59142978132
0.8,0.7,64552.59825348657
0.8,0.9,53084.4778027205
0.8,0.1,65904.58572348855
0.8,0.3,72093.28393595041
0.8,0.5,49901.86818640781
0.8,0.7,48305.65104815586
0.8,0.9,64552.59825348657
0.8,0.1,62989.012532320914
0.8,0.3,55299.374007355866
0.8,0.5,57723.99794853777
0.8,0.7,57057.3264411157
0.8,0.9,559706.1929159672
0.8,0.1,64552.59726885331
0.8,0.3,58614.44967241335
0.8,0.5,251888.70476654684
0.8,0.7,52617.11408429106
0.8,0.9,215363.64930793195
0.8,0.1,81070.18154307133
0.8,0.3,102688.93960843048
0.8,0.5,52190.86201010459
0.8,0.7,66188.4618838274
0.8,0.9,63296.284004390494
0.8,0.1,52179.75305130825
0.8,0.3,650338.1425411772
0.8,0.5,64551.55036625129
0.8,0.7,68438.12875900583
0.8,0.9,76983.58593657185
