proportion_train,proportion_test,value
None,0.1,42748.54801891043
None,0.1,37580.515282261746
None,0.1,28675.32659073291
None,0.1,34343.325512123265
None,0.1,26823.538804500055
None,0.3,25760.20111725812
None,0.1,26168.830867360488
None,0.3,35546.97403040981
None,0.1,32382.013576433084
None,0.3,37269.93117098178
None,0.1,36357.38237388548
None,0.3,37256.47151513235
None,0.1,39728.05448651287
None,0.3,46040.00116719111
None,0.1,40480.968269135185
None,0.5,33909.68927914391
None,0.3,31455.908066267082
None,0.5,46320.004477971874
None,0.3,44737.299567437294
None,0.5,37497.93358215726
None,0.3,34309.666031626155
None,0.5,33006.37109569634
None,0.1,41993.71190904002
None,0.3,42948.65951900049
None,0.5,38149.47722745887
None,0.1,46218.79309787245
None,0.3,36514.20724017821
None,0.7,35014.03473316587
None,0.1,30122.631650369185
None,0.5,37397.785194739976
None,0.7,47808.575766925656
None,0.1,38606.32746004475
None,0.5,43938.310143390685
None,0.7,38163.09071034329
None,0.1,37740.82869359678
None,0.1,34753.5780754433
None,0.1,36701.74120108183
None,0.5,34504.371617428806
None,0.7,41666.074387124216
None,0.1,31953.52164795458
None,0.1,38054.73218705551
None,0.3,38508.937560796825
None,0.5,34776.84910691317
None,0.7,34267.56638384872
None,0.1,36713.7349614543
None,0.1,27648.304160403262
None,0.3,25670.532011388226
None,0.5,40259.486276489915
None,0.9,55495.13675422027
None,0.1,28675.20653907572
None,0.1,42114.074176877344
None,0.3,37803.67950881768
None,0.7,34946.4361213662
None,0.9,29110.003098654626
None,0.1,45040.81960071451
None,0.1,34807.07921419522
None,0.3,28192.288231199098
None,0.7,50123.35818321031
None,0.9,50897.09089453042
None,0.3,30710.69522275468
None,0.3,33128.76637475532
None,0.3,36570.70506832394
None,0.7,41912.55237826722
None,0.9,124403.04044588382
None,0.3,24996.6060724431
None,0.3,40444.27028755776
None,0.5,31546.951856824857
None,0.7,30606.890798712804
None,0.9,35397.06001966872
None,0.3,40615.864821365765
None,0.3,38349.92027103314
None,0.5,35597.22987000619
None,0.7,33917.80862970904
None,0.1,29760.51125945068
None,0.3,33397.852282740656
None,0.3,37528.23092558843
None,0.5,39442.915688982204
None,0.9,42648.74145200683
None,0.1,27457.897643413933
None,0.3,38292.070038631784
None,0.3,33090.33925571376
None,0.5,38674.08283188659
None,0.9,36092.33469711052
None,0.1,37703.80466519064
None,0.5,32125.140049345977
None,0.5,30831.63001286735
None,0.5,34241.60943195942
None,0.9,35097.66923553462
None,0.1,38244.30630038995
None,0.5,39499.33621531456
None,0.5,46345.05806014557
None,0.7,35873.06444055917
None,0.9,34966.477788468685
None,0.1,36578.10382564103
None,0.5,37985.8648831187
None,0.5,38818.39231566755
None,0.7,29087.644094705873
None,0.9,37354.88108563888
None,0.3,42743.6407416246
None,0.5,41557.64167475267
None,0.5,31926.712670209272
None,0.7,35127.701749766646
None,0.3,37362.47385760215
None,0.5,39443.99433245531
None,0.5,32866.76970082669
None,0.7,38669.222503922516
None,0.3,41739.15067339842
None,0.7,37969.557527370845
None,0.7,34993.355169785646
None,0.7,39148.446108470795
None,0.3,42118.539467714094
None,0.7,43262.585150445
None,0.7,51005.61868599569
None,0.9,69773.0755520053
None,0.3,34260.325126652984
None,0.7,50629.030923398226
None,0.7,29983.278956294278
None,0.9,34111.58257542594
None,0.5,39470.54680316358
None,0.7,32753.566940373483
None,0.7,34529.84307347474
None,0.9,44745.75924994638
None,0.5,37331.43017787106
None,0.7,39501.807587500494
None,0.7,47316.665182514356
None,0.9,44895.527275355314
None,0.5,44453.95041013135
None,0.9,39085.817031684746
None,0.9,33864.81799769952
None,0.9,31599.15798358045
None,0.5,32549.355377984637
None,0.9,43153.77912967729
None,0.9,51958.83213674644
None,0.5,22950.845959901886
None,0.9,54215.97025681338
None,0.9,38861.385647029565
None,0.7,52299.83467198397
None,0.9,59838.78188329978
None,0.9,48023.64218032774
None,0.7,21830.752071604133
None,0.9,54622.41979973691
None,0.9,70755.3175339567
None,0.7,43292.90281855623
None,0.7,40345.23844416028
None,0.7,36629.261407595346
None,0.9,41434.09836836337
None,0.9,33512.45896055221
None,0.9,31546.05080178802
None,0.9,52898.123115689305
None,0.9,41024.30476284327
