proportion_train,proportion_test,value
None,0.1,44330.631317284686
None,0.1,19102.167674164844
None,0.1,24939.673057154607
None,0.1,16985.842759414016
None,0.1,23571.664994420687
None,0.1,15095.838612547332
None,0.1,29040.74788406591
None,0.1,12474.15329614266
None,0.1,24251.376450142016
None,0.1,23476.031888966536
None,0.1,39433.96014398456
None,0.1,11821.084622871362
None,0.1,40603.199041193184
None,0.3,35877.45121766013
None,0.1,11106.525343315454
None,0.1,12020.74776644912
None,0.1,19987.859658743204
None,0.1,27267.332455050087
None,0.3,26551.68253724021
None,0.1,27061.795991278108
None,0.1,29464.17103946668
None,0.1,28114.548270862346
None,0.1,39145.87112865686
None,0.1,13453.857143242942
None,0.3,53751.884450314894
None,0.1,23234.206442380477
None,0.1,23194.437515463218
None,0.1,15883.02707147402
None,0.3,33091.15568695799
None,0.1,22400.76040246553
None,0.3,18019.71926287055
None,0.3,17611.24782379736
None,0.1,25512.11949641616
None,0.1,12546.287929845199
None,0.3,33961.69531025718
None,0.3,47887.792279519985
None,0.3,75068.61005573181
None,0.3,26024.512928355824
None,0.1,43444.00921241869
None,0.3,24206.17885566967
None,0.3,16364.499684235063
None,0.3,33313.44979247171
None,0.5,27652.65315148823
None,0.3,31169.47232384494
None,0.1,29339.974316225187
None,0.3,28575.008807984857
None,0.3,28379.798991970805
None,0.3,23144.53975784594
None,0.5,30539.820032766245
None,0.3,28031.55474226281
None,0.3,28927.328769268413
None,0.3,30844.59306590395
None,0.3,12533.337750667615
None,0.3,27302.676634282016
None,0.5,26431.824356417863
None,0.3,20013.693755979693
None,0.3,31257.359661777624
None,0.3,26271.508772124515
None,0.5,27456.110062924618
None,0.3,30500.481613162097
None,0.5,20000.329844205575
None,0.5,39780.99163195742
None,0.3,14594.265438098104
None,0.3,30751.49204103899
None,0.5,46041.29099573017
None,0.5,1224176.0092865087
None,0.5,24186.460604837957
None,0.5,26084.649901175613
None,0.3,27739.804663605762
None,0.5,29666.036086741176
None,0.5,25096.63936167229
None,0.5,22677.99301995273
None,0.7,33833.17154692144
None,0.5,26969.809856763048
None,0.3,26948.812760786575
None,0.5,25253.072556073494
None,0.5,30176.151322506263
None,0.5,38292.57364243795
None,0.7,25260.639539799282
None,0.5,24654.517748831422
None,0.5,36451.452586932755
None,0.5,20860.964527476917
None,0.5,26756.225651910612
None,0.5,32319.276474130438
None,0.7,23689.286034688994
None,0.5,27445.809095610843
None,0.5,29663.30615094199
None,0.5,25612.65119616641
None,0.5,29355.871202605762
None,0.7,24313.590507671594
None,0.7,30853.92661459891
None,0.7,37051.68266391298
None,0.5,32288.96643632807
None,0.5,29398.537782852676
None,0.7,29729.900881679478
None,0.7,27248.168373786164
None,0.7,27309.844236050114
None,0.7,546166.0931502832
None,0.5,30727.603439718365
None,0.7,25349.444355357777
None,0.7,29108.385648835832
None,0.7,29060.583321597453
None,0.9,28667.561850963026
None,0.7,23821.661640587037
None,0.5,27537.98992746161
None,0.7,21238.91976272802
None,0.7,28937.227007414167
None,0.7,21603.56883725253
None,0.9,31636.313992359217
None,0.7,26002.604136489794
None,0.7,27237.723030783913
None,0.7,25462.49467718316
None,0.7,28822.377028732662
None,0.7,27815.681132511705
None,0.9,38228.17598322088
None,0.7,29937.819377990432
None,0.7,24597.526315789473
None,0.7,42282.274396913155
None,0.7,33738.901051691224
None,0.9,30967.55977811823
None,0.9,28548.162870826905
None,0.9,26829.114114832537
None,0.7,71194.46534983364
None,0.7,25786.65198194422
None,0.9,28612.917068116403
None,0.9,33703.84227985948
None,0.9,29317.00527706274
None,0.9,74782.72985664623
None,0.7,25511.47902537843
None,0.9,29120.31557672674
None,0.9,96118.25113542912
None,0.9,29907.851572370753
None,0.9,28005.842105263157
None,0.7,29175.355012650925
None,0.9,27795.731256546314
None,0.9,49521.95410193046
None,0.9,37945.34404715524
None,0.9,30483.771170146156
None,0.9,38053.01913875598
None,0.9,66982.23759891202
None,0.9,35949.36129347806
None,0.9,36111.773493944376
None,0.9,29028.808133900657
None,0.9,53705.24358468159
None,0.9,27319.689977437796
None,0.9,26950.153110047846
None,0.9,40052.46079919259
None,0.9,58110.484314548914
None,0.9,28093.646356446483
None,0.9,40307.79017484382
