proportion_train,proportion_test,value
0.8,0.1,33311.360402306374
0.8,0.3,41336.99438546651
0.8,0.5,28639.133812799042
0.8,0.7,69833.82842479067
0.8,0.9,59516.779148568305
0.8,0.1,46701.307641858555
0.8,0.3,47457.18755443043
0.8,0.5,80695.13437088818
0.8,0.7,27730.220747871033
0.8,0.9,42206.55190561596
0.8,0.1,33977.62520559211
0.8,0.3,31229.16674247194
0.8,0.5,36407.945139709176
0.8,0.7,41405.08923273259
0.8,0.9,71851.52209330144
0.8,0.1,60101.02577676435
0.8,0.3,34921.285653384446
0.8,0.5,31832.680108467357
0.8,0.7,38396.93218450957
0.8,0.9,38577.14508522727
0.8,0.1,55666.08100644345
0.8,0.3,48296.827366896636
0.8,0.5,37071.973300676116
0.8,0.7,29080.428168504342
0.8,0.9,39185.5473142195
0.8,0.1,57257.34029231459
0.8,0.3,48088.440361768364
0.8,0.5,61568.18044200515
0.8,0.7,40163.28836535587
0.8,0.9,36693.911388657856
0.8,0.1,48751.03175108403
0.8,0.3,27163.172513830737
0.8,0.5,28752.091145699866
0.8,0.7,40118.68098301061
0.8,0.9,31718.277966507176
0.8,0.1,57464.747463741034
0.8,0.3,32345.293848938276
0.8,0.5,29341.60854235197
0.8,0.7,31599.51245701256
0.8,0.9,34635.86676530062
0.8,0.1,28475.35443647029
0.8,0.3,27800.038423102622
0.8,0.5,64858.873967553816
0.8,0.7,57897.08862690173
0.8,0.9,31029.978341058613
0.8,0.1,88247.51925089712
0.8,0.3,41388.27392288427
0.8,0.5,42767.51326856403
0.8,0.7,42365.2366332891
0.8,0.9,39175.88672951283
0.8,0.1,44807.162251416805
0.8,0.3,33100.21544454621
0.8,0.5,39717.283709629184
0.8,0.7,59303.06038501795
0.8,0.9,39648.71027941836
0.8,0.1,30925.38822327719
0.8,0.3,35587.69476824162
0.8,0.5,31261.12507448041
0.8,0.7,29028.767552589525
0.8,0.9,36929.11504607132
0.8,0.1,53664.304527184875
0.8,0.3,31124.319031754632
0.8,0.5,49157.01755831339
0.8,0.7,35960.97369835712
0.8,0.9,89966.29635167464
0.8,0.1,47043.35518839713
0.8,0.3,27168.020000911143
0.8,0.5,35257.29744598534
0.8,0.7,54761.86793025973
0.8,0.9,43910.38504025474
0.8,0.1,32348.825488082668
0.8,0.3,39132.585483702154
0.8,0.5,35911.19607571396
0.8,0.7,33339.783661268324
0.8,0.9,36814.461307098536
0.8,0.1,30757.838682313497
0.8,0.3,37442.78933074294
0.8,0.5,49221.16602146569
0.8,0.7,62672.406407340844
0.8,0.9,47296.00348449215
0.8,0.1,34699.787262821475
0.8,0.3,32914.60483496561
0.8,0.5,36637.07978889428
0.8,0.7,41965.781632962025
0.8,0.9,37726.76392250491
0.8,0.1,37610.23304575359
0.8,0.3,38664.938818779905
0.8,0.5,37108.898228169855
0.8,0.7,85455.54930472487
0.8,0.9,32838.67320409163
0.8,0.1,38998.49960295024
0.8,0.3,28655.443539708147
0.8,0.5,35871.10903630745
0.8,0.7,60698.22228244617
0.8,0.9,30658.774313789618
0.8,0.1,47596.91032932117
0.8,0.3,35574.16633971292
0.8,0.5,48947.202687911806
0.8,0.7,72107.50237365431
0.8,0.9,56753.443457959926
0.8,0.1,99696.99667314593
0.8,0.3,43868.70914660585
0.8,0.5,73185.1313572817
0.8,0.7,72032.68514503588
0.8,0.9,39890.281460731916
0.8,0.1,53720.17290996935
0.8,0.3,35040.16036885093
0.8,0.5,29632.141324233642
0.8,0.7,57590.662477571765
0.8,0.9,70651.13037081341
0.8,0.1,40294.786714156304
0.8,0.3,31509.720315677332
0.8,0.5,70784.46325508373
0.8,0.7,28249.79295164632
0.8,0.9,48241.69196695574
0.8,0.1,36277.31205507999
0.8,0.3,38692.94189246365
0.8,0.5,38783.72901118338
0.8,0.7,46275.37655521082
0.8,0.9,36993.1801129092
0.8,0.1,64521.01883779717
0.8,0.3,30160.663854898703
0.8,0.5,37713.83990346516
0.8,0.7,42819.29749514054
0.8,0.9,38532.04331190191
0.8,0.1,51066.33294632175
0.8,0.3,34000.78696919856
0.8,0.5,37811.45295837694
0.8,0.7,51968.173187588785
0.8,0.9,42866.6476719994
0.8,0.1,50771.67915725927
0.8,0.3,60075.02775941987
0.8,0.5,31558.98252990431
0.8,0.7,64311.27619897578
0.8,0.9,37261.04864154432
0.8,0.1,35526.940153633375
0.8,0.3,78935.11217852871
0.8,0.5,31753.949485694848
0.8,0.7,59430.88554126794
0.8,0.9,30116.045692845393
0.8,0.1,38122.13339544707
0.8,0.3,31860.155228954845
0.8,0.5,36928.85995343806
0.8,0.7,40366.95117094048
0.8,0.9,35017.242076760616
0.8,0.1,46443.621682398094
0.8,0.3,37869.42194613954
0.8,0.5,31747.081985797795
0.8,0.7,26671.00486029666
0.8,0.9,42664.91348480517
