proportion_train,proportion_test,value
0.8,0.1,65886.5609970345
0.8,0.3,295378.3147372159
0.8,0.5,76908.42453492219
0.8,0.7,108076.10148897156
0.8,0.9,89231.1316783905
0.8,0.1,74424.27884152248
0.8,0.3,86622.0302425353
0.8,0.5,68890.54032605888
0.8,0.7,87792.59180736699
0.8,0.9,72772.1547606762
0.8,0.1,70629.47661690063
0.8,0.3,108647.12002790468
0.8,0.5,107178.3652871578
0.8,0.7,93463.31058324451
0.8,0.9,115023.50477789257
0.8,0.1,75085.85094700333
0.8,0.3,74421.49239733987
0.8,0.5,73311.72309642949
0.8,0.7,323119.5671487603
0.8,0.9,92224.60367324197
0.8,0.1,102131.10059058829
0.8,0.3,92354.89702511622
0.8,0.5,92099.11112486121
0.8,0.7,95682.4411094798
0.8,0.9,94695.08895435176
0.8,0.1,76602.87324057335
0.8,0.3,74712.67862215909
0.8,0.5,94190.90292579334
0.8,0.7,81750.9266574122
0.8,0.9,89610.95266620227
0.8,0.1,84132.4950606518
0.8,0.3,78912.79857099046
0.8,0.5,76989.9914545737
0.8,0.7,67385.41403425233
0.8,0.9,85437.08124367455
0.8,0.1,76802.1417776401
0.8,0.3,113888.22537125516
0.8,0.5,89817.16506779443
0.8,0.7,77429.81798636443
0.8,0.9,79957.06603176653
0.8,0.1,105631.69158692793
0.8,0.3,89318.50356344428
0.8,0.5,67033.45161179976
0.8,0.7,109168.73002461583
0.8,0.9,83665.42801467265
0.8,0.1,79262.1110947992
0.8,0.3,101584.45473453238
0.8,0.5,79569.70494800409
0.8,0.7,85814.58471013849
0.8,0.9,94880.82610391914
0.8,0.1,73264.0339294938
0.8,0.3,101779.25855501032
0.8,0.5,123774.93762913223
0.8,0.7,97879.06521873789
0.8,0.9,86244.9723669938
0.8,0.1,91328.86856199155
0.8,0.3,79263.18601953932
0.8,0.5,85511.35577920078
0.8,0.7,78188.19564541904
0.8,0.9,97321.7001869189
0.8,0.1,98059.18786340635
0.8,0.3,65478.11718907379
0.8,0.5,88101.3257692359
0.8,0.7,68652.138969434
0.8,0.9,73110.23085679235
0.8,0.1,76164.72951240475
0.8,0.3,80820.09895823037
0.8,0.5,92896.58668888817
0.8,0.7,125453.99244890606
0.8,0.9,124565.5246642562
0.8,0.1,80170.07984477977
0.8,0.3,78034.68846941987
0.8,0.5,77560.96539614843
0.8,0.7,88679.88079783542
0.8,0.9,76585.76409909083
0.8,0.1,93017.57101110536
0.8,0.3,99747.83185207903
0.8,0.5,99664.43133393595
0.8,0.7,91682.65974218826
0.8,0.9,86352.43742287904
0.8,0.1,99727.96818504648
0.8,0.3,81597.01270338832
0.8,0.5,90751.62278408831
0.8,0.7,99398.83158586487
0.8,0.9,93933.91139771012
0.8,0.1,61888.421136686455
0.8,0.3,87453.16766293616
0.8,0.5,96388.51156540547
0.8,0.7,81449.53085205077
0.8,0.9,78752.09208304413
0.8,0.1,81824.75326886137
0.8,0.3,77881.09189136095
0.8,0.5,123256.14272339876
0.8,0.7,85394.81122530348
0.8,0.9,102965.7385456886
0.8,0.1,56880271.08432752
0.8,0.3,81961.98425575445
0.8,0.5,81954.48393110796
0.8,0.7,80449.09951999129
0.8,0.9,87294.34495478358
0.8,0.1,123259.58379067665
0.8,0.3,74371.66297183746
0.8,0.5,94933.18407426693
0.8,0.7,113921.79087035124
0.8,0.9,62926.34206925148
0.8,0.1,63351.70247933884
0.8,0.3,69916.89045217971
0.8,0.5,78404.36604587287
0.8,0.7,81463.65083136913
0.8,0.9,102575.16368859157
0.8,0.1,86117.9461897921
0.8,0.3,116469.06498579546
0.8,0.5,98334.78132493705
0.8,0.7,80889.16188018364
0.8,0.9,80843.32564654388
0.8,0.1,60024.71572682278
0.8,0.3,68270.61859318505
0.8,0.5,124255.33785537787
0.8,0.7,94511.7993457561
0.8,0.9,89714.81832176524
0.8,0.1,101691.2913237668
0.8,0.3,91950.61622380863
0.8,0.5,84560.7499683626
0.8,0.7,93412.46852143595
0.8,0.9,84617.19867343814
0.8,0.1,123612.77608471074
0.8,0.3,89481.7999382845
0.8,0.5,79059.5836877744
0.8,0.7,74746.6958135734
0.8,0.9,73011.22354032155
0.8,0.1,72644.5217059033
0.8,0.3,81550.1238942295
0.8,0.5,79605.78604250065
0.8,0.7,76901.73646017374
0.8,0.9,76609.36684975364
0.8,0.1,64687.9597263815
0.8,0.3,85313.405683624
0.8,0.5,81780.75696123611
0.8,0.7,80821.97960030453
0.8,0.9,79235.61349028279
0.8,0.1,100238.50218512675
0.8,0.3,74203.99090380456
0.8,0.5,75618.13605718252
0.8,0.7,94879.01009460955
0.8,0.9,72411.44723439115
0.8,0.1,69313.55853654846
0.8,0.3,109650.70607890043
0.8,0.5,116423.81545598507
0.8,0.7,90160.135701188
0.8,0.9,92769.5611158103
