proportion_train,proportion_test,value
0.8,0.1,42296.01792389354
0.8,0.3,30520.301435406698
0.8,0.5,29995.80933444228
0.8,0.7,28632.047099282296
0.8,0.9,34254.385800594355
0.8,0.1,32133.20453187495
0.8,0.3,29187.313266484744
0.8,0.5,30456.832327442804
0.8,0.7,29739.643764765256
0.8,0.9,38570.776329807115
0.8,0.1,29906.77532988188
0.8,0.3,30865.820170968527
0.8,0.5,28986.970445258765
0.8,0.7,33025.63281251242
0.8,0.9,30978.88625112141
0.8,0.1,26980.15015988327
0.8,0.3,36545.67229552931
0.8,0.5,33735.27746154492
0.8,0.7,29468.092980337922
0.8,0.9,28590.54653091358
0.8,0.1,33868.01479870664
0.8,0.3,29632.980591824908
0.8,0.5,32398.11844441537
0.8,0.7,34788.12146605861
0.8,0.9,29885.05844714881
0.8,0.1,31667.86897241328
0.8,0.3,45949.12671949761
0.8,0.5,33415.13493336947
0.8,0.7,28712.729584657227
0.8,0.9,37005.194265849284
0.8,0.1,27917.393556416348
0.8,0.3,29303.763719768616
0.8,0.5,32977.86170604067
0.8,0.7,32424.757346379352
0.8,0.9,32016.395160542903
0.8,0.1,31846.83950541081
0.8,0.3,32841.408924566385
0.8,0.5,29252.393384139505
0.8,0.7,29763.03182238711
0.8,0.9,29182.376886050577
0.8,0.1,32731.96963044819
0.8,0.3,34983.91915520335
0.8,0.5,29372.737316555776
0.8,0.7,31781.976248814346
0.8,0.9,30588.226018148176
0.8,0.1,28751.682115309137
0.8,0.3,29396.861994991024
0.8,0.5,28753.41846787156
0.8,0.7,35798.975034576855
0.8,0.9,27055.41504102497
0.8,0.1,34456.37514811976
0.8,0.3,31538.41274479478
0.8,0.5,33057.62273334704
0.8,0.7,29535.62829487924
0.8,0.9,28790.642450284093
0.8,0.1,31985.30937799043
0.8,0.3,28957.115236804726
0.8,0.5,32226.93925687799
0.8,0.7,38424.352609150716
0.8,0.9,30744.083581881732
0.8,0.1,28149.52092600553
0.8,0.3,36387.938534315195
0.8,0.5,26861.994577508223
0.8,0.7,34074.22754448265
0.8,0.9,30257.996157834004
0.8,0.1,28774.901647020077
0.8,0.3,32169.856569742446
0.8,0.5,32480.560855356613
0.8,0.7,32133.186128443667
0.8,0.9,28664.66724886734
0.8,0.1,29684.467746710525
0.8,0.3,28047.80263821396
0.8,0.5,37067.566490355865
0.8,0.7,29608.907864365283
0.8,0.9,28854.38816023101
0.8,0.1,37948.51263456938
0.8,0.3,34124.92589699775
0.8,0.5,31120.13063855039
0.8,0.7,28805.06542127691
0.8,0.9,33354.537468553746
0.8,0.1,27750.857874598158
0.8,0.3,29729.593714891642
0.8,0.5,34904.69047085264
0.8,0.7,82663.66649689742
0.8,0.9,32449.84982879785
0.8,0.1,28199.159892344494
0.8,0.3,26352.1585130551
0.8,0.5,133070.73759359116
0.8,0.7,36759.74002878289
0.8,0.9,36813.35382845208
0.8,0.1,32825.32685500149
0.8,0.3,35872.92728207236
0.8,0.5,30770.089458499533
0.8,0.7,30741.39579283792
0.8,0.9,29786.25018456564
0.8,0.1,32345.696140526583
0.8,0.3,31029.317845394737
0.8,0.5,34491.05251588666
0.8,0.7,34100.88368869617
0.8,0.9,30768.94321433912
0.8,0.1,26940.552088605524
0.8,0.3,30053.703748691685
0.8,0.5,27326.04974108536
0.8,0.7,30627.408399839256
0.8,0.9,100390.5331717956
0.8,0.1,30480.51843329471
0.8,0.3,28600.021836638385
0.8,0.5,35530.51076833041
0.8,0.7,29134.44144241552
0.8,0.9,33500.275961073006
0.8,0.1,33857.11611552407
0.8,0.3,28951.20923687948
0.8,0.5,34936.88642793062
0.8,0.7,29507.757465329694
0.8,0.9,32444.24906507974
0.8,0.1,30489.553130607062
0.8,0.3,33539.053267045456
0.8,0.5,29623.5625537343
0.8,0.7,28867.251152063403
0.8,0.9,28772.989703974377
0.8,0.1,31786.05860380693
0.8,0.3,28780.798358533943
0.8,0.5,33105.12197938471
0.8,0.7,47078.79162735496
0.8,0.9,33220.73355711723
0.8,0.1,35521.55326237291
0.8,0.3,32757.39459661894
0.8,0.5,29217.40670790969
0.8,0.7,29998.396511113442
0.8,0.9,35370.489881597634
0.8,0.1,27681.152827358703
0.8,0.3,32524.37623516466
0.8,0.5,28522.018123595317
0.8,0.7,35328.87079395933
0.8,0.9,32330.808804014654
0.8,0.1,30627.912644007924
0.8,0.3,32717.133261064595
0.8,0.5,34541.41229524348
0.8,0.7,50056.1352580181
0.8,0.9,31002.799741024035
0.8,0.1,27770.41592628589
0.8,0.3,31635.370604484597
0.8,0.5,28543.961523250597
0.8,0.7,29994.490284294134
0.8,0.9,28832.586085853392
0.8,0.1,31563.564854006243
0.8,0.3,30674.462892251508
0.8,0.5,33971.676600347644
0.8,0.7,26697.050322172174
0.8,0.9,28616.520673384235
