proportion_train,proportion_test,value
0.8,0.1,55807.12571345558
0.8,0.3,294503.47621622385
0.8,0.5,54264.13157967055
0.8,0.7,58704.05883385524
0.8,0.9,60648.68451390796
0.8,0.1,58763.33999444733
0.8,0.3,60797.238036100534
0.8,0.5,58556.40539326817
0.8,0.7,65213.990162292976
0.8,0.9,57090.24116301734
0.8,0.1,55324.88388944263
0.8,0.3,64574.61275665031
0.8,0.5,59242.159986763945
0.8,0.7,55694.943247897565
0.8,0.9,57525.36646511406
0.8,0.1,68739.53296907282
0.8,0.3,60066.67851304235
0.8,0.5,59466.42721049451
0.8,0.7,54343.62119690446
0.8,0.9,63648.73019837939
0.8,0.1,58149.65418710756
0.8,0.3,65752.80937074267
0.8,0.5,57388.32513125081
0.8,0.7,57986.59070815913
0.8,0.9,60933.20428870335
0.8,0.1,58668.99250570503
0.8,0.3,57934.21624075393
0.8,0.5,55514.87060546875
0.8,0.7,60449.614940491054
0.8,0.9,55934.19549760299
0.8,0.1,53755.743909599376
0.8,0.3,64497.01927298554
0.8,0.5,59666.49751777586
0.8,0.7,62841.7479338843
0.8,0.9,58376.905866638685
0.8,0.1,57451.71809295907
0.8,0.3,61252.25486172763
0.8,0.5,53675.32119066223
0.8,0.7,60812.13015868636
0.8,0.9,53635.323506686625
0.8,0.1,57272.68410478071
0.8,0.3,71817.50132359628
0.8,0.5,59565.723786157025
0.8,0.7,54553.96355366856
0.8,0.9,64129.944508625376
0.8,0.1,57178.33043323864
0.8,0.3,54287.69843285931
0.8,0.5,65560.75588564534
0.8,0.7,63119.92381198347
0.8,0.9,59976.13094035504
0.8,0.1,62087.133312887396
0.8,0.3,58928.76511349512
0.8,0.5,58759.06799470602
0.8,0.7,57430.49598468977
0.8,0.9,56460.55322063856
0.8,0.1,52940.31368341458
0.8,0.3,60772.08439194861
0.8,0.5,58576.39555926363
0.8,0.7,59758.899992632905
0.8,0.9,55610.419503204095
0.8,0.1,56151.3009955288
0.8,0.3,64543.11957644628
0.8,0.5,59017.74359122788
0.8,0.7,66984.23088842975
0.8,0.9,55200.70641596281
0.8,0.1,59034.84156872458
0.8,0.3,58075.675557568764
0.8,0.5,56996.61281460848
0.8,0.7,61360.002036102545
0.8,0.9,101356.5978845013
0.8,0.1,55320.057447459316
0.8,0.3,59338.955501396245
0.8,0.5,60020.13586628811
0.8,0.7,59076.89507412998
0.8,0.9,62437.198347107435
0.8,0.1,66335.71064551236
0.8,0.3,53258.94195577449
0.8,0.5,54811.95409379439
0.8,0.7,59558.19202221075
0.8,0.9,62158.56381553461
0.8,0.1,57946.06920226546
0.8,0.3,56476.445610129624
0.8,0.5,82538.24267073702
0.8,0.7,57071.355246501334
0.8,0.9,57861.5294451753
0.8,0.1,56442.03314511638
0.8,0.3,59376.2298553719
0.8,0.5,67486.48726433367
0.8,0.7,66301.23719526306
0.8,0.9,60477.81184525923
0.8,0.1,57625.36089062399
0.8,0.3,61636.85333100626
0.8,0.5,768030.979974012
0.8,0.7,58668.5084228112
0.8,0.9,58539.41003217964
0.8,0.1,58711.469579432465
0.8,0.3,56348.88286875323
0.8,0.5,68012.46126234827
0.8,0.7,62900.904099907995
0.8,0.9,54971.3707007643
0.8,0.1,62619.09210356405
0.8,0.3,58419.11401932141
0.8,0.5,57748.86718619354
0.8,0.7,57014.994447137506
0.8,0.9,58388.70617655604
0.8,0.1,59638.18533122417
0.8,0.3,60141.01106719718
0.8,0.5,55906.19714830478
0.8,0.7,64927.97489185176
0.8,0.9,62760.18180113232
0.8,0.1,57449.72551717837
0.8,0.3,58815.330112556905
0.8,0.5,56482.75117957438
0.8,0.7,54799.57302335882
0.8,0.9,64354.5004317859
0.8,0.1,54756.00256816051
0.8,0.3,61829.04856178977
0.8,0.5,66981.58078883652
0.8,0.7,60694.37575639205
0.8,0.9,64713.53580998192
0.8,0.1,56509.83243099497
0.8,0.3,92492.23579037249
0.8,0.5,372134.9607040986
0.8,0.7,57894.42520822572
0.8,0.9,56894.88180224207
0.8,0.1,60020.319521565085
0.8,0.3,53503.042987413646
0.8,0.5,65948.35208709969
0.8,0.7,55829.72427194673
0.8,0.9,5781987.668143935
0.8,0.1,57943.84142561984
0.8,0.3,56163.450746343944
0.8,0.5,63204.97242631393
0.8,0.7,65295.098640999284
0.8,0.9,61337.00413626679
0.8,0.1,61861.551876162695
0.8,0.3,55548.06944388398
0.8,0.5,58217.536177201706
0.8,0.7,67711.75809497676
0.8,0.9,61342.36837898697
0.8,0.1,188383.51378428054
0.8,0.3,58322.14569696178
0.8,0.5,62516.0381697524
0.8,0.7,58501.775441834
0.8,0.9,51832.85000316967
0.8,0.1,62553.01188621836
0.8,0.3,75608.68358874612
0.8,0.5,53836.0150292767
0.8,0.7,61444.84117946152
0.8,0.9,60374.62683404465
