proportion_train,proportion_test,value
None,0.1,39088.062266387
None,0.1,35993.19910878231
None,0.1,32171.550582179985
None,0.1,27990.48184745379
None,0.1,37474.41353598578
None,0.3,41763.4713545785
None,0.1,32910.86820859688
None,0.3,45171.80284437329
None,0.1,36143.861743879155
None,0.3,33268.98717284451
None,0.1,29825.989165229978
None,0.3,67400.93640254943
None,0.1,38845.937173427315
None,0.3,32319.387473400213
None,0.1,26239.727155034045
None,0.5,44319.53174415014
None,0.3,38519.376712164325
None,0.5,42951.42534812967
None,0.3,42846.46617682319
None,0.5,41859.3315372858
None,0.3,36350.23506129343
None,0.5,37999.653967032864
None,0.1,34966.70382559279
None,0.3,37471.34692941705
None,0.5,38857.82485010649
None,0.1,20961.821655237636
None,0.3,29679.317161976367
None,0.7,42444.388191157566
None,0.1,38623.32174428057
None,0.5,38889.2778833208
None,0.7,37217.70029052734
None,0.1,39558.018420303284
None,0.5,32923.42873720334
None,0.7,40658.96915544652
None,0.1,36928.9770959124
None,0.1,38875.76235441625
None,0.1,38896.141200644124
None,0.5,51310.48947238496
None,0.7,62882.72266907311
None,0.1,31096.467308446434
None,0.1,27386.343076984595
None,0.3,42069.45441602313
None,0.5,33829.803823457674
None,0.7,50833.31920073706
None,0.1,35563.22412531857
None,0.1,35555.1833962773
None,0.3,36804.920486537514
None,0.5,38231.13212857243
None,0.9,79151.81580799825
None,0.1,37599.32987786546
None,0.1,35562.4087249665
None,0.3,34530.784743118915
None,0.7,40603.54610045685
None,0.9,71744.087242694
None,0.1,38982.36910666143
None,0.1,49822.172784594695
None,0.3,62161.88296181482
None,0.7,44592.487798918264
None,0.9,53523.37985000617
None,0.3,33853.1054913282
None,0.3,60722.41542997613
None,0.3,35576.846941417665
None,0.7,42817.94885384173
None,0.9,58277.84980493996
None,0.3,31235.07722954238
None,0.3,38441.53330862302
None,0.5,36349.942247172585
None,0.7,37644.59036448533
None,0.9,54951.13769832818
None,0.3,29176.09821089092
None,0.3,46360.214312368
None,0.5,52116.201492226974
None,0.7,48790.398046430804
None,0.1,38416.05805652398
None,0.3,35531.323187733484
None,0.3,33154.61593312334
None,0.5,35783.16303843255
None,0.9,49977.21013250671
None,0.1,30596.77813026964
None,0.3,41548.322308005074
None,0.3,45821.426859516745
None,0.5,37330.83076010815
None,0.9,120077.48761655476
None,0.1,36239.860394922674
None,0.5,42066.13969468771
None,0.5,33898.832499669596
None,0.5,37114.966642224805
None,0.9,44251.59045740238
None,0.1,34305.81397694894
None,0.5,37361.55603407568
None,0.5,41095.42894130634
None,0.7,46107.61345681308
None,0.9,55912.14984669584
None,0.1,34454.823552350965
None,0.5,41419.781947948766
None,0.5,44608.03686861953
None,0.7,57164.23241021149
None,0.9,50007.7332860458
None,0.3,37066.679617241076
None,0.5,43581.16365460924
None,0.5,38674.97179879914
None,0.7,49076.08399580495
None,0.3,38626.029344087394
None,0.5,42521.3453937726
None,0.5,42535.72325772605
None,0.7,48941.402997266596
None,0.3,50415.006035382015
None,0.7,41577.4782105211
None,0.7,43795.218724052495
None,0.7,46180.5623898123
None,0.3,40313.86628394802
None,0.7,47482.16825765918
None,0.7,49911.43364496972
None,0.9,41688.46136765047
None,0.3,33971.53976882856
None,0.7,55604.8046875
None,0.7,36439.41525540903
None,0.9,49987.735537190085
None,0.5,44712.686073769815
None,0.7,40986.33889606886
None,0.7,46901.405694765446
None,0.9,46732.9146666686
None,0.5,48355.39754250867
None,0.7,44842.05187600638
None,0.7,37408.38577258528
None,0.9,61581.403947322404
None,0.5,42585.74136180672
None,0.9,79001.63166396969
None,0.9,61849.44653804936
None,0.9,51144.10428836068
None,0.5,46544.78264796044
None,0.9,47699.53050309489
None,0.9,69148.71719662612
None,0.5,46485.8106545535
None,0.9,73282.75670280015
None,0.9,48743.207779342556
None,0.7,37235.15838282782
None,0.9,63486.45143130972
None,0.9,70680.68044109074
None,0.7,36992.07169057547
None,0.9,58384.13343258945
None,0.9,64107.162198324804
None,0.7,49574.30036921991
None,0.7,39676.5443618311
None,0.7,43776.572014201614
None,0.9,50884.9635788998
None,0.9,89888.52361666445
None,0.9,42975.95208737617
None,0.9,41976.835361077174
None,0.9,61131.19073502943
