proportion_train,proportion_test,value
0.8,0.1,31027.250814618783
0.8,0.1,24093.233592661505
0.8,0.3,27977.536771620093
0.8,0.3,28410.957001339044
0.8,0.1,29972.03272188792
0.8,0.1,22834.176748299076
0.8,0.1,25320.27405136115
0.8,0.1,23809.781189124842
0.8,0.5,24720.667996233642
0.8,0.5,26028.907207669654
0.8,0.3,24070.55558244189
0.8,0.3,24297.73519351056
0.8,0.3,30046.617830629613
0.8,0.3,31596.33424324985
0.8,0.7,27522.406803968363
0.8,0.7,29084.473430900474
0.8,0.5,28771.528982473017
0.8,0.5,24535.029946700095
0.8,0.5,30724.96917659734
0.8,0.5,29873.03808599772
0.8,0.7,22853.047119667426
0.8,0.9,29698.30682488795
0.8,0.7,28462.58441558227
0.8,0.7,24048.372113031925
0.8,0.9,25594.781362006375
0.8,0.7,23916.20768289899
0.8,0.9,28530.843476783353
0.8,0.9,24002.974428703816
0.8,0.9,26371.02968210996
0.8,0.9,26092.134522305194
0.8,0.1,27392.450153513048
0.8,0.1,23861.648049285184
0.8,0.3,26763.031754710504
0.8,0.3,28062.436086265247
0.8,0.1,24253.434343433903
0.8,0.1,28084.732694356517
0.8,0.1,25878.301813653812
0.8,0.1,25720.65140455633
0.8,0.5,30738.283694540725
0.8,0.5,26717.303181049774
0.8,0.3,28196.20287592596
0.8,0.3,28240.517155413883
0.8,0.3,23347.913312559052
0.8,0.3,23406.700296331812
0.8,0.7,23827.534718281786
0.8,0.5,27121.337383666556
0.8,0.7,30160.13003046269
0.8,0.5,25702.749788574478
0.8,0.5,27724.291157185016
0.8,0.5,26359.197226348893
0.8,0.9,28491.12478328865
0.8,0.7,29426.043641457603
0.8,0.7,30248.916525658507
0.8,0.7,23613.950270655387
0.8,0.7,25245.759010596703
0.8,0.9,27793.84601571204
0.8,0.9,31541.03686041409
0.8,0.9,27339.81355679399
0.8,0.9,26888.442579528535
0.8,0.1,28513.07998144249
0.8,0.9,29541.245054711417
0.8,0.1,28582.68124407121
0.8,0.3,23666.973226461007
0.8,0.3,24152.24498792827
0.8,0.1,22482.734590580654
0.8,0.1,20527.173190033365
0.8,0.5,28246.48801741496
0.8,0.1,25168.647826748733
0.8,0.1,22245.8538469032
0.8,0.5,25355.829304214283
0.8,0.3,21664.964386993168
0.8,0.3,25610.340431740537
0.8,0.3,31255.836205419604
0.8,0.3,25779.921589224577
0.8,0.7,24620.387002429652
0.8,0.5,32989.83151906605
0.8,0.5,26472.430429507916
0.8,0.5,27981.256279609064
0.8,0.5,26865.07678234563
0.8,0.7,23691.305253938535
0.8,0.9,28169.499020754207
0.8,0.7,26492.31171216201
0.8,0.7,27405.799650042678
0.8,0.7,25973.46216211093
0.8,0.7,29070.990791337157
0.8,0.9,26759.336642023907
0.8,0.9,28934.89249516275
0.8,0.1,25491.07744409952
0.8,0.9,27145.007083176137
0.8,0.9,23945.76814855359
0.8,0.9,26224.700764738784
0.8,0.3,24601.320942737246
0.8,0.1,27084.795907310196
0.8,0.1,27072.831067954638
0.8,0.3,26474.935773428628
0.8,0.5,29273.216681856586
0.8,0.1,25042.616351592966
0.8,0.1,28753.289972184826
0.8,0.1,23694.13720393092
0.8,0.3,26739.396886419312
0.8,0.3,33648.634472292404
0.8,0.3,24494.27708117497
0.8,0.3,24139.316393097575
0.8,0.5,25452.39622493998
0.8,0.7,28799.590735246173
0.8,0.5,19823.91736180875
0.8,0.5,27791.109076387886
0.8,0.5,28147.16862764878
0.8,0.5,25070.046415942164
0.8,0.7,26719.1065475679
0.8,0.9,24473.83708380474
0.8,0.7,23296.264060066642
0.8,0.7,25350.025585334442
0.8,0.7,22973.24487092738
0.8,0.7,22262.649907786967
0.8,0.9,25807.199514475033
0.8,0.9,23070.479254836642
0.8,0.1,26386.530344680777
0.8,0.9,28279.486320940206
0.8,0.9,24521.80323780569
0.8,0.9,29395.94723619449
0.8,0.3,24062.57172119311
0.8,0.1,31383.3280598123
0.8,0.1,29183.50089757089
0.8,0.5,23736.922661559143
0.8,0.1,23677.017562061104
0.8,0.3,25853.207317485874
0.8,0.1,29209.057694413557
0.8,0.3,22501.90401263891
0.8,0.1,26032.659187686088
0.8,0.3,21901.83020192085
0.8,0.3,30252.57446399248
0.8,0.7,28332.787145238766
0.8,0.3,30689.7155231183
0.8,0.5,24939.352131061358
0.8,0.5,25165.4064614759
0.8,0.5,22217.619822014676
0.8,0.5,23646.84914914938
0.8,0.5,28522.510851190622
0.8,0.7,26666.401705223052
0.8,0.7,28014.940791555364
0.8,0.9,29580.486991123005
0.8,0.7,22787.778798881904
0.8,0.7,23756.268571190092
0.8,0.7,25759.599380838186
0.8,0.9,22376.021693301216
0.8,0.9,30084.81004910874
0.8,0.1,25422.622226042917
0.8,0.9,26621.595896660772
0.8,0.9,24949.784795111005
0.8,0.9,33443.95658927536
0.8,0.3,30519.32575452936
0.8,0.1,21949.62128332621
0.8,0.5,27479.44296134699
0.8,0.3,34011.758848303
0.8,0.7,24447.55396468628
0.8,0.5,22086.496801717614
0.8,0.9,26107.581165069318
0.8,0.7,30689.894945145556
0.8,0.9,32684.70932627192
0.8,0.1,22384.59325801677
0.8,0.3,24408.83007649079
0.8,0.5,37416.46236972821
0.8,0.1,22753.95369511437
0.8,0.3,29053.521937903028
