proportion_train,proportion_test,value
0.8,0.1,99170.71121087075
0.8,0.3,93556.9037161207
0.8,0.5,106122.95660869326
0.8,0.7,100512.76474531156
0.8,0.9,98649.70385917705
0.8,0.1,90503.7131429162
0.8,0.3,102518.81397442073
0.8,0.5,94481.00670122642
0.8,0.7,100383.958120883
0.8,0.9,95408.84976578702
0.8,0.1,105852.08098536666
0.8,0.3,95141.12000308893
0.8,0.5,102802.34851433606
0.8,0.7,105893.10743186637
0.8,0.9,94398.29085891477
0.8,0.1,97864.78741478444
0.8,0.3,87875.26243787074
0.8,0.5,115396.79714924043
0.8,0.7,93271.12090544612
0.8,0.9,100557.55034084743
0.8,0.1,103172.79564341759
0.8,0.3,105281.06396216888
0.8,0.5,102236.0587204751
0.8,0.1,112789.31973302041
0.8,0.3,106401.44151014736
0.8,0.5,92307.2278779436
0.8,0.7,94552.45320644182
0.8,0.9,99850.30811230862
0.8,0.1,102289.65829131915
0.8,0.3,99821.5065930292
0.8,0.5,113174.48498682106
0.8,0.7,101356.81946518375
0.8,0.9,111643.91888612881
0.8,0.1,111468.49117091688
0.8,0.3,94469.65687053018
0.8,0.5,101618.58905625225
0.8,0.7,88100.0622887533
0.8,0.9,106503.55085149442
0.8,0.1,116105.14965008543
0.8,0.3,99111.63946347775
0.8,0.5,89128.39001713917
0.8,0.7,101964.72892702937
0.8,0.9,101506.27231889583
0.8,0.1,110678.69916940632
0.8,0.3,111028.66064777467
0.8,0.5,108577.51980233353
0.8,0.7,92411.91202331727
0.8,0.1,103743.08981560009
0.8,0.3,99759.15026857278
0.8,0.5,99951.98008298775
0.8,0.7,101987.6751268492
0.8,0.9,101345.21827321754
0.8,0.1,94516.8953685113
0.8,0.3,97527.3667657283
0.8,0.5,103704.75731722817
0.8,0.7,108811.92072105309
0.8,0.9,98627.4250132237
0.8,0.1,95995.72546520917
0.8,0.3,101665.08159978996
0.8,0.5,103078.41292176725
0.8,0.7,88832.91625619448
0.8,0.9,94706.12264450484
0.8,0.1,107160.67295669623
0.8,0.3,100251.36199568717
0.8,0.5,92881.00396296266
0.8,0.7,99845.33080537367
0.8,0.9,109821.07011090493
0.8,0.1,105465.5015246077
0.8,0.3,95672.35307861475
0.8,0.5,99658.6321939706
0.8,0.7,100010.37779248318
0.8,0.9,100019.3729072279
0.8,0.1,83257.33887915929
0.8,0.3,107118.43736100562
0.8,0.1,95582.02739655075
0.8,0.3,100327.46357194133
0.8,0.5,98883.40718755678
0.8,0.7,105774.69376868835
0.8,0.9,116498.0151748677
0.8,0.1,96068.09087521848
0.8,0.3,105429.50680587893
0.8,0.5,101111.39667930776
0.8,0.7,97366.81200405316
0.8,0.9,89005.93786535054
0.8,0.1,98828.03658360547
0.8,0.3,99290.73707260872
0.8,0.5,105978.74119680983
0.8,0.7,102375.63350447545
0.8,0.9,101905.18512676787
0.8,0.1,99526.83330208198
0.8,0.3,94326.69733343608
0.8,0.5,108638.05374323539
0.8,0.7,101116.1727974886
0.8,0.9,96246.16875728208
0.8,0.1,95489.04305496004
0.8,0.3,104108.82872198497
0.8,0.5,91050.70136429141
0.8,0.7,106252.68915568943
0.8,0.9,105482.32375419443
0.8,0.1,99228.41061690362
0.8,0.3,98161.38633758936
0.8,0.5,99596.47445522218
0.8,0.7,105105.03604364656
0.8,0.1,94770.58071667877
0.8,0.3,90759.08251734368
0.8,0.5,108225.1418168408
0.8,0.7,96137.57319747756
0.8,0.9,88890.59704492669
0.8,0.1,107625.01807516615
0.8,0.3,114201.35545479943
0.8,0.5,101250.61433986617
0.8,0.7,96749.89166087662
0.8,0.9,108798.64213365936
0.8,0.1,95423.92620494206
0.8,0.3,108353.80052654799
0.8,0.5,101870.97338174937
0.8,0.7,98232.81312265413
0.8,0.9,104577.25684297236
0.8,0.1,100605.32585281428
0.8,0.3,113486.16892126358
0.8,0.5,96430.83905617897
0.8,0.7,89216.8185023914
0.8,0.9,104666.46615755247
0.8,0.1,104521.70258557751
0.8,0.3,98757.44123810441
0.8,0.5,99454.82242540612
0.8,0.7,103771.37134890587
0.8,0.9,114259.54249579334
0.8,0.1,93942.26042247661
0.8,0.1,96177.99375141163
0.8,0.3,105855.23481393483
0.8,0.5,107534.15880999216
0.8,0.7,103974.4683598577
0.8,0.9,104547.14389256593
0.8,0.1,93702.14920095149
0.8,0.3,103294.77223164028
0.8,0.5,112245.54465197425
0.8,0.7,89117.85068620493
0.8,0.9,97482.38633786836
0.8,0.1,100603.59914568496
0.8,0.3,101493.73885946797
0.8,0.5,101842.68307245249
0.8,0.7,90557.6139996035
0.8,0.9,117660.45711142558
0.8,0.1,116039.28692515475
0.8,0.3,85365.56814576252
0.8,0.5,115500.00528286671
0.8,0.7,97815.72931947664
0.8,0.9,106319.93560324803
0.8,0.1,112787.58883623181
0.8,0.3,100748.81600897208
0.8,0.5,100321.28948439755
0.8,0.7,93028.94049517147
0.8,0.9,89426.22548887266
0.8,0.1,109872.30712747824
0.8,0.3,96960.86623503831
0.8,0.5,113289.49000429727
0.8,0.7,88900.00918956686
0.8,0.9,100599.91983874129
0.8,0.1,94398.03358981527
0.8,0.3,93123.77341141224
0.8,0.5,101897.59387011293
0.8,0.7,94999.36321694973
0.8,0.9,99029.82508992564
