proportion_train,proportion_test,value
0.8,0.1,96237.79491936986
0.8,0.3,101866.34255417786
0.8,0.5,102053.33528774811
0.8,0.7,102784.8315412186
0.8,0.9,96880.23328128326
0.8,0.1,101971.37494346872
0.8,0.3,99420.29879888197
0.8,0.5,102479.55974493122
0.8,0.7,101992.13605124044
0.8,0.9,97762.08526177106
0.8,0.1,94132.4605960219
0.8,0.3,109947.51282150758
0.8,0.5,110891.36626323621
0.8,0.7,101848.48349318068
0.8,0.9,94759.12422621906
0.8,0.1,94428.45017494554
0.8,0.3,106210.87910087951
0.8,0.5,110025.14266802439
0.8,0.7,94807.04782985293
0.8,0.9,99384.63357736911
0.8,0.1,96606.3527801713
0.8,0.3,95650.0399988681
0.8,0.5,90363.0170033166
0.8,0.7,101758.19409852137
0.8,0.9,98680.45206348426
0.8,0.1,106565.3664965974
0.8,0.3,96610.31264690224
0.8,0.5,97594.05774927104
0.8,0.7,101660.21370181584
0.8,0.9,99756.12663648096
0.8,0.1,108119.70081302406
0.8,0.3,98787.05545991192
0.8,0.5,101518.3380215395
0.8,0.7,102469.37336077055
0.8,0.9,94770.10120665106
0.8,0.1,110222.76180662101
0.8,0.3,99412.56099701593
0.8,0.5,100230.75694739196
0.8,0.7,103564.29720826646
0.8,0.9,92502.45843383594
0.8,0.1,104731.80444403287
0.8,0.3,104011.2934585025
0.8,0.5,101695.41961590988
0.8,0.7,93456.09115986702
0.8,0.9,90798.32118712286
0.8,0.1,116851.65778604469
0.8,0.3,106611.11325028786
0.8,0.5,87290.40192787125
0.8,0.1,97068.27361154823
0.8,0.3,105410.22921243956
0.8,0.5,90963.10583607065
0.8,0.7,96733.30478615896
0.8,0.9,95053.16393132084
0.8,0.1,100432.16587932757
0.8,0.3,101963.43373767816
0.8,0.5,98464.5744039003
0.8,0.7,106079.96674015981
0.8,0.9,96061.67432081593
0.8,0.1,111533.86655549337
0.8,0.3,99443.90317228083
0.8,0.5,102506.54528858076
0.8,0.7,108264.71444395649
0.8,0.9,102203.6197075333
0.8,0.1,99832.14643572188
0.8,0.3,94825.54684759659
0.8,0.5,101957.99214973058
0.8,0.7,113770.40558801562
0.8,0.9,87691.15500917274
0.8,0.1,103997.76475629852
0.8,0.3,97895.62581746721
0.8,0.5,99753.5425726395
0.8,0.7,106637.9707395425
0.8,0.9,98959.18465675467
0.8,0.1,103263.4636600426
0.8,0.3,105477.32962181336
0.8,0.5,105038.78040495403
0.8,0.7,102075.47858055042
0.8,0.9,95281.41917005848
0.8,0.1,99577.06698796469
0.8,0.3,96737.95153968128
0.8,0.5,102178.1257435359
0.8,0.7,104429.67570770184
0.8,0.1,99910.64061795032
0.8,0.3,103622.88226427925
0.8,0.5,100026.29560964355
0.8,0.7,95602.7791161571
0.8,0.9,92716.66108642712
0.8,0.1,104162.6645501226
0.8,0.3,95638.36285633035
0.8,0.5,98188.50333837849
0.8,0.7,92507.3171110796
0.8,0.9,103456.45747758595
0.8,0.1,101806.27079135341
0.8,0.3,109691.829123873
0.8,0.5,111169.4008161835
0.8,0.7,95833.12996268827
0.8,0.9,102122.65545675842
0.8,0.1,103111.50190341934
0.8,0.3,103837.56410994177
0.8,0.5,101701.53445153689
0.8,0.7,108042.69283189184
0.8,0.9,97364.34932929027
0.8,0.1,90594.5140965854
0.8,0.3,94126.0766624953
0.8,0.5,105958.54657568045
0.8,0.7,104388.39753129098
0.8,0.9,103372.29403470406
0.8,0.1,100356.37495443912
0.8,0.3,105435.25280982345
0.8,0.5,96964.33127251666
0.8,0.7,96053.65287181865
0.8,0.9,98365.04593062273
0.8,0.1,106790.18480035408
0.8,0.3,101953.41355825902
0.8,0.5,102534.55437660206
0.8,0.7,95477.6806847035
0.8,0.9,98152.71935940735
0.8,0.1,101084.38908982718
0.8,0.3,102524.5304736185
0.8,0.5,97053.12162330984
0.8,0.7,100757.67743953239
0.8,0.9,104716.42820699723
0.8,0.1,94309.96415086664
0.8,0.3,106296.12318666249
0.8,0.5,107373.06078512111
0.8,0.7,103449.52181500885
0.8,0.9,103435.96469829224
0.8,0.1,96965.4701121662
0.8,0.3,98339.92012774119
0.8,0.5,96752.30233767921
0.8,0.7,105537.48515181083
0.8,0.9,101658.48866735482
0.8,0.1,91884.48305982792
0.8,0.3,95064.00014201156
0.8,0.5,101928.53871906332
0.8,0.7,109258.68137209714
0.8,0.9,103295.62034225522
0.8,0.1,96688.37835529515
0.8,0.3,105732.04872469507
0.8,0.5,99016.51501846033
0.8,0.7,98962.90096439507
0.8,0.9,96308.63212464465
0.8,0.1,104240.08087416632
0.8,0.3,99050.30876113004
0.8,0.5,87999.51008844722
0.8,0.7,107967.87156632604
0.8,0.9,108150.13532674784
0.8,0.1,103048.31230221831
0.8,0.3,105083.05059227085
0.8,0.5,100555.66769067869
0.8,0.7,111578.4592784981
0.8,0.9,103655.23411017717
