proportion_train,proportion_test,value
0.8,0.1,27265.227715753703
0.8,0.3,25843.83811566926
0.8,0.5,23181.982833645
0.8,0.7,23234.852001442916
0.8,0.9,28244.889046438184
0.8,0.1,25430.89092606737
0.8,0.3,21707.912442292076
0.8,0.5,31283.480140388703
0.8,0.7,29261.217456616807
0.8,0.9,24232.516098699278
0.8,0.1,26993.812984533186
0.8,0.3,26885.893981614936
0.8,0.5,24269.373677758264
0.8,0.7,29161.131765478865
0.8,0.9,25021.203739229037
0.8,0.1,23029.244716560275
0.8,0.3,23998.09792806014
0.8,0.5,26647.61742446304
0.8,0.7,26840.659531542056
0.8,0.9,25574.372758811656
0.8,0.1,29740.915766566566
0.8,0.3,25638.41797902706
0.8,0.5,24941.00325089937
0.8,0.7,24136.80533875966
0.8,0.9,27488.363686109496
0.8,0.1,25215.285730620606
0.8,0.3,23829.847979338574
0.8,0.5,25656.03277045242
0.8,0.7,21531.362377358124
0.8,0.9,26185.966249721092
0.8,0.1,23835.585652596277
0.8,0.3,23698.245744878597
0.8,0.5,29335.467643444084
0.8,0.7,22943.657425080935
0.8,0.9,29714.96725828861
0.8,0.1,23481.54618993832
0.8,0.3,22414.17786913017
0.8,0.5,23851.22690395178
0.8,0.7,22987.732779554797
0.8,0.9,26506.280033665615
0.8,0.1,26342.334970504515
0.8,0.3,30719.77126177726
0.8,0.5,28532.386822154494
0.8,0.7,20626.58810330095
0.8,0.9,26713.53575243525
0.8,0.1,28618.894060214836
0.8,0.3,25063.44423670449
0.8,0.5,28467.623580252257
0.8,0.7,23404.18631275113
0.8,0.9,32053.00275676734
0.8,0.1,30590.74869653954
0.8,0.3,24765.386745148957
0.8,0.5,22975.882217612267
0.8,0.7,25458.997111478777
0.8,0.9,26449.166291869133
0.8,0.1,28522.235798119847
0.8,0.3,32838.46205646158
0.8,0.5,25099.49555872736
0.8,0.7,28474.170861142553
0.8,0.9,24954.775590977202
0.8,0.1,23868.575292735804
0.8,0.3,27518.459845984533
0.8,0.5,24000.09150333674
0.8,0.7,24807.598793006324
0.8,0.9,22901.293794186593
0.8,0.1,23101.698420581084
0.8,0.3,26878.349320863766
0.8,0.5,26924.828690619364
0.8,0.7,24738.980296794933
0.8,0.9,25006.82752804917
0.8,0.1,25863.81487863839
0.8,0.3,27336.92589622065
0.8,0.5,27057.62119820734
0.8,0.7,26656.67680754943
0.8,0.9,27643.402716787314
0.8,0.1,20310.294620350418
0.8,0.3,23543.129819491733
0.8,0.5,25751.650077872455
0.8,0.7,26094.24544779714
0.8,0.9,30565.201656201065
0.8,0.1,22935.390126012204
0.8,0.3,22320.550577011567
0.8,0.5,26941.391122853893
0.8,0.7,26053.0652084795
0.8,0.9,23460.989461290214
0.8,0.1,24427.462135435533
0.8,0.3,28910.415783174034
0.8,0.5,23673.55599369099
0.8,0.7,26433.11240145785
0.8,0.9,23839.144827345986
0.8,0.1,22807.998446589423
0.8,0.3,23201.089561751312
0.8,0.5,25588.30143706142
0.8,0.7,26794.22166593306
0.8,0.9,24324.087229921555
0.8,0.1,29598.436705254055
0.8,0.1,26847.760170468686
0.8,0.3,30733.501874321137
0.8,0.3,23683.834756747034
0.8,0.5,25715.702853275223
0.8,0.5,26939.66164259765
0.8,0.7,27088.732102762773
0.8,0.7,26328.21137487938
0.8,0.9,27437.188379023315
0.8,0.9,24917.230390124747
0.8,0.1,29591.36094102705
0.8,0.1,21066.265973383935
0.8,0.3,28359.84693398992
0.8,0.3,28260.452145210264
0.8,0.5,24311.540429540615
0.8,0.5,28471.163080909122
0.8,0.7,27801.583398240044
0.8,0.7,24610.556607743838
0.8,0.9,30547.119053671195
0.8,0.9,25289.33889740718
0.8,0.1,23653.939392129847
0.8,0.1,22536.827968189224
0.8,0.1,29055.49530397456
0.8,0.1,24092.1105520575
0.8,0.1,28366.214195285593
0.8,0.3,29502.615055948372
0.8,0.3,26596.21240032738
0.8,0.3,27614.860810947164
0.8,0.3,23071.802569701147
0.8,0.3,25924.62024841304
0.8,0.5,29699.791440008765
0.8,0.5,29374.198488152557
0.8,0.5,27312.653916115505
0.8,0.5,25894.235593073096
0.8,0.5,25427.361804647717
0.8,0.7,25804.21951288414
0.8,0.7,25888.801518731918
0.8,0.7,25964.491016358115
0.8,0.7,27580.68001401043
0.8,0.7,26880.720271547118
0.8,0.9,25637.89306167086
0.8,0.9,27015.687706931538
0.8,0.9,30635.1035805143
0.8,0.9,28846.33714338851
0.8,0.9,25910.875103247185
0.8,0.1,26738.066547364073
0.8,0.1,22504.975371398195
0.8,0.1,22247.929773204443
0.8,0.1,24047.103430311836
0.8,0.1,23427.18700611251
0.8,0.3,27426.708875659642
0.8,0.3,27509.775401774197
0.8,0.3,23997.536439942858
0.8,0.3,29239.812579877405
0.8,0.3,25879.670030545156
0.8,0.5,25091.56342953419
0.8,0.5,24546.98397262751
0.8,0.5,22129.918747450767
0.8,0.5,28270.701922182
0.8,0.5,25629.817973941183
0.8,0.7,24538.92404722989
0.8,0.7,29025.66939381283
0.8,0.7,25270.61580908627
0.8,0.7,28521.060354356643
0.8,0.7,29940.934225337536
0.8,0.9,25334.893794959753
0.8,0.9,24316.384444934996
0.8,0.9,28234.241301906943
0.8,0.9,30004.21740483946
0.8,0.9,27615.687429853126
0.8,0.1,22800.759514176378
0.8,0.1,25298.66173788077
0.8,0.1,25512.635747394113
0.8,0.1,23617.70288470268
