proportion_train,proportion_test,value
0.8,0.1,24032.498825301915
0.8,0.3,26558.55141579728
0.8,0.5,23671.135707296315
0.8,0.7,26586.153580962942
0.8,0.9,29353.47524557674
0.8,0.1,24149.670719492842
0.8,0.3,21224.68035286524
0.8,0.5,27055.828857682056
0.8,0.7,28544.194182949253
0.8,0.9,28465.31664383429
0.8,0.1,23753.81956403835
0.8,0.3,26424.4349513208
0.8,0.5,25584.486053157725
0.8,0.7,26975.984748721043
0.8,0.9,27370.976504153783
0.8,0.1,28268.98167266123
0.8,0.3,28625.525075313995
0.8,0.5,26099.387142627213
0.8,0.7,25921.76539178712
0.8,0.9,26307.8685853482
0.8,0.1,24227.26644415732
0.8,0.3,21573.084388074363
0.8,0.5,23273.378476173515
0.8,0.7,29032.541995050706
0.8,0.9,31086.640301735344
0.8,0.1,27105.688388411512
0.8,0.3,28700.91897274794
0.8,0.5,28159.253541381815
0.8,0.7,25768.48429173618
0.8,0.9,27916.631135101306
0.8,0.1,23028.188036273707
0.8,0.3,27315.33739695778
0.8,0.5,25035.485364396445
0.8,0.7,28251.66415432651
0.8,0.9,24832.919838294438
0.8,0.1,21622.516802755614
0.8,0.3,24096.073901494645
0.8,0.5,26612.818528504802
0.8,0.7,24679.039235761495
0.8,0.9,24161.344774935482
0.8,0.1,25913.4813375919
0.8,0.3,26660.57656208089
0.8,0.5,22578.91948740576
0.8,0.7,26919.323718146323
0.8,0.9,29675.89725566853
0.8,0.1,24138.2714931663
0.8,0.3,23948.75180478227
0.8,0.5,24256.835264683345
0.8,0.7,23161.22115950697
0.8,0.9,24593.851067918462
0.8,0.1,25406.036918864287
0.8,0.3,28342.309479219683
0.8,0.5,27810.371020936174
0.8,0.7,23042.108411526424
0.8,0.9,28862.33575066872
0.8,0.1,28677.61514281212
0.8,0.3,29081.841326757025
0.8,0.5,29869.36406477344
0.8,0.7,26973.163643043612
0.8,0.9,29673.040832958057
0.8,0.1,26905.78657203932
0.8,0.3,21561.714549173612
0.8,0.5,28821.694265310707
0.8,0.7,34771.86029789205
0.8,0.9,30639.292344920872
0.8,0.1,25566.133965425015
0.8,0.3,25729.316208125038
0.8,0.5,30419.882130889466
0.8,0.7,28068.85096245433
0.8,0.9,27035.655555497255
0.8,0.1,26644.064224882313
0.8,0.3,22851.46912720247
0.8,0.5,22646.366783573678
0.8,0.7,28159.714640523907
0.8,0.9,27675.891308291848
0.8,0.1,25727.870998707793
0.8,0.3,25616.309688958343
0.8,0.5,24469.295345932143
0.8,0.7,23657.951876587515
0.8,0.9,25380.683587284933
0.8,0.1,22479.235046665424
0.8,0.3,22800.43445270365
0.8,0.5,24379.144943530442
0.8,0.7,28827.325374961616
0.8,0.9,27830.36203442035
0.8,0.1,26055.409431431755
0.8,0.3,25353.75564738262
0.8,0.5,27050.834668524025
0.8,0.7,26873.139071877416
0.8,0.9,24433.959320455077
0.8,0.1,31045.542673140437
0.8,0.3,27718.941236630166
0.8,0.5,22481.409967418072
0.8,0.7,26831.851812254543
0.8,0.9,20131.839169062725
0.8,0.1,30663.31736241404
0.8,0.3,23290.359665970303
0.8,0.5,26342.460544759044
0.8,0.7,24161.52426470869
0.8,0.9,26810.367441761122
0.8,0.1,28174.73456223378
0.8,0.3,25398.754770648568
0.8,0.5,23687.6860268391
0.8,0.7,26838.306476220565
0.8,0.9,24653.685226958587
0.8,0.1,24067.508871650454
0.8,0.3,29021.49117125377
0.8,0.5,23819.5925400599
0.8,0.7,26959.464746971713
0.8,0.9,22232.84072550309
0.8,0.1,25573.312698851554
0.8,0.3,30324.098924346432
0.8,0.5,26330.17939269053
0.8,0.7,28619.38890592084
0.8,0.9,30366.715054332264
0.8,0.1,24562.053049659193
0.8,0.3,22883.835156672372
0.8,0.5,23807.514173997635
0.8,0.7,31642.54171314737
0.8,0.1,23543.75031663686
0.8,0.3,24900.293916579125
0.8,0.9,28865.474423572967
0.8,0.5,24753.181234421925
0.8,0.1,29272.873287155508
0.8,0.7,25876.117878731253
0.8,0.3,30037.374753071133
0.8,0.5,21073.17664373054
0.8,0.9,26218.373752164705
0.8,0.7,26014.2494046662
0.8,0.1,25593.84377758147
0.8,0.3,24430.148657206195
0.8,0.9,25979.898833633724
0.8,0.5,25709.193860316205
0.8,0.1,33516.51926674022
0.8,0.7,26804.24765855116
0.8,0.3,30674.276662933204
0.8,0.9,26113.208398014016
0.8,0.5,25286.654970438354
0.8,0.7,26551.645080921844
0.8,0.1,28860.07624632642
0.8,0.3,23935.65138867541
0.8,0.9,26283.603430133902
0.8,0.5,25876.57200728811
0.8,0.1,27157.64064967317
0.8,0.7,26591.53304459753
0.8,0.3,25413.39553270766
0.8,0.9,24694.885301098526
0.8,0.5,23518.664403598545
0.8,0.7,27584.496470076465
0.8,0.1,24468.031844665846
0.8,0.3,26789.89279657714
0.8,0.9,27562.718740492102
0.8,0.5,21037.378828304012
0.8,0.1,30523.184572995724
