proportion_train,proportion_test,value
0.8,0.1,22753.612177642688
0.8,0.1,24869.83589292145
0.8,0.3,27018.022673741685
0.8,0.3,22408.628893624507
0.8,0.1,23747.50554849481
0.8,0.1,23221.990386248242
0.8,0.1,26304.70036372698
0.8,0.1,28113.326846655014
0.8,0.3,21177.237531820192
0.8,0.3,26164.683467238727
0.8,0.3,21388.758474844002
0.8,0.3,27855.2885488623
0.8,0.5,22488.57975743867
0.8,0.5,29712.276448411216
0.8,0.5,24495.759401369527
0.8,0.5,24478.58172076858
0.8,0.5,30126.58514153803
0.8,0.5,30369.580291312428
0.8,0.7,23096.42844867101
0.8,0.7,27014.773207025428
0.8,0.7,31150.635412026862
0.8,0.7,23838.536739902644
0.8,0.7,23932.779545367575
0.8,0.7,26958.970617859064
0.8,0.9,25600.625028901402
0.8,0.9,24937.844929666233
0.8,0.9,26074.60526760477
0.8,0.9,24588.345411218215
0.8,0.9,26610.971493323006
0.8,0.9,27723.225648294832
0.8,0.1,26585.39901799446
0.8,0.1,25277.655186507
0.8,0.3,24525.740112910997
0.8,0.3,28855.810933415298
0.8,0.1,24972.61305651952
0.8,0.1,22665.324689803332
0.8,0.1,26656.390336343855
0.8,0.1,27453.66442199628
0.8,0.3,30814.067646764037
0.8,0.3,24754.892560702177
0.8,0.3,26565.650198958458
0.8,0.3,28921.550133935925
0.8,0.5,24309.265406571656
0.8,0.5,26153.81087713263
0.8,0.5,26400.81819657349
0.8,0.5,22247.77522279623
0.8,0.5,26152.436644058685
0.8,0.5,24609.86183859891
0.8,0.7,21869.701393302086
0.8,0.7,27548.57574641261
0.8,0.7,25118.235844926556
0.8,0.7,25986.24773909843
0.8,0.7,35957.11471442487
0.8,0.7,26802.146739906453
0.8,0.9,25874.463158409915
0.8,0.9,26927.876061534207
0.8,0.9,26412.862727569616
0.8,0.9,28196.44464360243
0.8,0.9,23700.35229484022
0.8,0.9,25719.81047736892
0.8,0.1,26068.45623279148
0.8,0.1,24205.18395539959
0.8,0.1,28552.317505270206
0.8,0.3,26691.515521880385
0.8,0.3,23003.181521698276
0.8,0.1,29252.25140330612
0.8,0.1,24589.603445470537
0.8,0.1,28504.75711819442
0.8,0.3,30118.8684907319
0.8,0.3,28161.324009323405
0.8,0.3,23427.7024857952
0.8,0.3,24727.151469852855
0.8,0.5,28547.06832597012
0.8,0.5,27151.818399043448
0.8,0.5,26721.988280970374
0.8,0.5,27692.62360446479
0.8,0.5,23213.63684741664
0.8,0.5,27227.749933536208
0.8,0.7,24463.424835033387
0.8,0.7,32882.185805451896
0.8,0.7,26209.52844229603
0.8,0.7,32662.80108050171
0.8,0.7,22039.229439494735
0.8,0.7,25347.245230078275
0.8,0.9,25717.691569433217
0.8,0.9,23511.872085808904
0.8,0.9,25673.156090162884
0.8,0.9,28526.802097613123
0.8,0.9,29124.111004765055
0.8,0.9,22947.70332538403
0.8,0.1,25603.686918903008
0.8,0.1,27627.467631558808
0.8,0.1,23587.30763778115
0.8,0.3,25179.737145085066
0.8,0.3,29761.077996632543
0.8,0.1,23990.631500186933
0.8,0.1,27027.01815324642
0.8,0.3,26474.24903972609
0.8,0.1,30782.011409081173
0.8,0.3,26803.288787291916
0.8,0.5,32042.674701162472
0.8,0.5,27400.146122882248
0.8,0.3,26063.72391598151
0.8,0.3,28400.88227406721
0.8,0.5,24949.69283002921
0.8,0.5,24479.430894308658
0.8,0.5,25928.802018155635
0.8,0.5,27301.10163005059
0.8,0.7,25450.136924786606
0.8,0.7,29400.0310791944
0.8,0.7,28806.337224090297
0.8,0.7,27965.87606981185
0.8,0.7,28169.034910618288
0.8,0.7,26360.13778457126
0.8,0.9,28699.895704404396
0.8,0.9,30100.35652474731
0.8,0.9,34018.41184877717
0.8,0.9,25949.987763565146
0.8,0.9,27118.589551403016
0.8,0.9,23331.06509596858
0.8,0.1,28526.36994949367
0.8,0.1,26899.22466937495
0.8,0.1,26315.317779193618
0.8,0.3,29567.422449755173
0.8,0.1,32244.388951488116
0.8,0.3,25523.608305186597
0.8,0.3,26659.633298213674
0.8,0.1,29637.251037217546
0.8,0.1,23459.641653101
0.8,0.3,32855.469494394994
0.8,0.5,24121.226184906194
0.8,0.3,24779.807234107215
0.8,0.3,27172.27422288994
0.8,0.5,20755.927048403995
0.8,0.5,27373.826129728644
0.8,0.5,26148.55394743313
0.8,0.5,27773.092301094963
0.8,0.7,26394.18995742426
0.8,0.5,28513.75411986818
0.8,0.7,27093.96184927676
0.8,0.7,24021.298093157355
0.8,0.7,29920.02379552448
0.8,0.7,22955.58269261943
0.8,0.7,28314.001840339635
0.8,0.9,23427.694747763366
0.8,0.9,25361.526458523473
0.8,0.9,23128.229200437974
0.8,0.9,26939.4165548224
0.8,0.9,23320.590199120878
0.8,0.9,27578.035084261173
0.8,0.1,27430.137380572887
0.8,0.3,26753.03615506557
0.8,0.1,26844.003013346395
0.8,0.3,24978.7446484497
0.8,0.5,28019.715216894747
0.8,0.5,24855.40249336381
0.8,0.7,22315.148920168376
0.8,0.7,22677.730280401185
0.8,0.9,27195.645281754038
0.8,0.9,25017.47090184638
0.8,0.1,23403.355895703236
0.8,0.3,31684.926933306284
0.8,0.1,25354.135378859308
0.8,0.5,26783.069277939565
0.8,0.3,26095.153388569848
0.8,0.5,25231.89540775553
0.8,0.7,27341.906846240137
0.8,0.7,28470.52467557262
0.8,0.9,24285.585672855068
0.8,0.9,25634.37426966205
0.8,0.1,28832.31524911282
0.8,0.3,25702.63397648784
0.8,0.1,25485.41651194968
