proportion_train,proportion_test,value
None,0.1,9353.341775412087
None,0.1,9873.378327772352
None,0.1,7815.273160188094
None,0.1,9300.550007921584
None,0.1,9192.184812515501
None,0.1,7723.808927974599
None,0.1,9233.234726034629
None,0.1,9668.486958488089
None,0.1,8889.314167442122
None,0.1,8914.95329513945
None,0.1,8045.673312279486
None,0.1,9148.47014406894
None,0.1,8715.314766925314
None,0.3,10380.236689066716
None,0.1,8464.813223233787
None,0.1,9223.754446476063
None,0.1,8908.208751738384
None,0.1,9575.542182374396
None,0.3,9239.960039293444
None,0.1,9415.692207972208
None,0.1,9448.170483785962
None,0.1,9293.419802388185
None,0.1,8137.038192030023
None,0.1,8257.200245539347
None,0.3,8711.956547092746
None,0.1,9333.901137901992
None,0.1,8839.986206687176
None,0.1,8739.118422487949
None,0.3,8164.288756464569
None,0.1,9362.376350285456
None,0.3,9381.70184809184
None,0.3,8989.123267764136
None,0.1,8879.62886766819
None,0.1,9145.82829140111
None,0.3,7276.136332976513
None,0.3,8734.549619587418
None,0.3,8730.150303912986
None,0.3,9113.161863515075
None,0.1,8837.060763888889
None,0.3,9675.2335347642
None,0.3,10083.78046322565
None,0.3,9557.981813430786
None,0.5,8001.011283947173
None,0.3,9341.27449809641
None,0.1,9084.725372149493
None,0.3,8641.862570800782
None,0.3,8634.845731992978
None,0.3,8999.100037434895
None,0.5,10179.39095508809
None,0.3,9154.899433857685
None,0.3,8310.007521893902
None,0.3,9257.26182047526
None,0.3,10599.688268091772
None,0.3,7808.2853969276375
None,0.5,8767.966022719685
None,0.3,8843.265673828126
None,0.3,8205.201275424299
None,0.3,9623.937860317888
None,0.5,10780.592897901348
None,0.3,9653.027482874253
None,0.5,11520.448447672527
None,0.5,5825.37812260219
None,0.3,10688.517030458193
None,0.3,9091.574299568965
None,0.5,10016.726526377153
None,0.5,7678.864178692853
None,0.5,11397.490169270834
None,0.5,8251.390946097996
None,0.3,7215.465858609069
None,0.5,10375.45744820927
None,0.5,11991.744083905462
None,0.5,7851.903473196678
None,0.7,7516.44141671317
None,0.5,9398.382638913776
None,0.3,9532.529273664448
None,0.5,8140.008180082514
None,0.5,6148.646402293238
None,0.5,10085.40662673424
None,0.7,9875.740093231201
None,0.5,7976.025573180603
None,0.5,8240.932109704177
None,0.5,12371.689648198146
None,0.5,8630.075821200284
None,0.5,7275.179174580705
None,0.7,7935.249842788234
None,0.5,7141.7667812131485
None,0.5,7626.453699840199
None,0.5,9145.890637330334
None,0.7,15928.538381576538
None,0.5,8979.902812267484
None,0.7,10149.929881376378
None,0.7,4945.25428087958
None,0.5,9176.683196289063
None,0.5,6448.11016619647
None,0.7,6098.23282623291
None,0.7,12700.203170072115
None,0.7,7411.524382720122
None,0.7,6257.019910407789
None,0.5,6874.10571875939
None,0.7,12809.41853279903
None,0.7,5114.266351699829
None,0.7,8166.638686866091
None,0.9,6709.093155570652
None,0.7,7029.01879695012
None,0.5,10488.453133296041
None,0.7,11059.759853108724
None,0.7,6588.350776538514
None,0.7,8921.42891751803
None,0.9,20315.005432128906
None,0.7,10914.131756849692
None,0.7,10087.775421142578
None,0.7,4779.499490061114
None,0.7,8253.54454251803
None,0.7,9938.279057716836
None,0.9,5760.6085205078125
None,0.7,8711.412441037735
None,0.7,8349.957531538166
None,0.7,13696.562788165984
None,0.9,16567.34093656994
None,0.7,9365.062600272042
None,0.9,33060.20314941406
None,0.9,5479.699523925781
None,0.7,8418.796344179096
None,0.7,10177.749143600464
None,0.9,9794.768591839334
None,0.9,17592.475830078125
None,0.9,3116.58425394694
None,0.9,5786.2135400390625
None,0.7,6819.18133965854
None,0.9,12985.466548374721
None,0.9,1680.1672668457031
None,0.9,15301.218343098959
None,0.9,3544.5121681906962
None,0.7,12205.684513700182
None,0.9,23352.363103230793
None,0.9,9694.329642159599
None,0.9,3886.237308625252
None,0.9,13576.50855255127
None,0.9,2538.9687765370245
None,0.9,5719.6433795431385
None,0.9,2450.9686279296875
None,0.9,9048.012803819445
None,0.9,13474.115456973805
None,0.9,19302.526123046875
None,0.9,7766.427632649739
None,0.9,4395.983082738416
None,0.9,9600.056820824033
None,0.9,18778.188039679277
None,0.9,8659.967737833658
None,0.9,6590.409124755859
