proportion_train,proportion_test,value
0.8,0.1,38928.06976556878
0.8,0.3,26619.64923339843
0.8,0.5,35121.617070614775
0.8,0.7,35046.19616526983
0.8,0.9,37741.47791664455
0.8,0.1,54389.95543426514
0.8,0.3,44312.84042446082
0.8,0.5,47517.95332552085
0.8,0.7,36811.827931542335
0.8,0.9,38077.011689206396
0.8,0.1,31130.243375822374
0.8,0.3,34932.52388607837
0.8,0.5,40845.648266671335
0.8,0.7,37908.92288074069
0.8,0.9,39109.11600752574
0.8,0.1,36418.07853908963
0.8,0.3,38422.60472017471
0.8,0.5,33107.03904381062
0.8,0.7,38484.10224492254
0.8,0.9,39188.56539394691
0.8,0.1,43123.0096592882
0.8,0.3,39249.900617855295
0.8,0.5,34223.264990834025
0.8,0.1,27134.791717269
0.8,0.3,33581.478337302695
0.8,0.5,37828.21613905898
0.8,0.7,36959.79236143774
0.8,0.9,39630.017329885384
0.8,0.1,22567.836077050786
0.8,0.3,45436.6441003011
0.8,0.5,37272.7311678711
0.8,0.7,35000.41956015962
0.8,0.9,39921.89222208441
0.8,0.1,21653.533352966308
0.8,0.3,46250.871023224856
0.8,0.5,41339.713973982245
0.8,0.7,35703.597089241994
0.8,0.9,40362.33892507823
0.8,0.1,40133.852887369794
0.8,0.3,30126.659742990265
0.8,0.5,33095.085151367195
0.8,0.7,39109.67652332203
0.8,0.9,39146.97216217362
0.8,0.1,24579.761907348635
0.8,0.3,30067.468254356976
0.8,0.5,41743.24831540688
0.8,0.7,38413.6755149695
0.8,0.1,40913.315404036686
0.8,0.3,31886.746492327005
0.8,0.5,44036.1218891781
0.8,0.7,41297.7592126988
0.8,0.9,38711.37290280535
0.8,0.1,19938.74919157609
0.8,0.3,32243.001711006164
0.8,0.5,40533.221220300424
0.8,0.7,39856.61749496363
0.8,0.9,37530.02579324742
0.8,0.1,61146.94512295809
0.8,0.3,37952.20964895148
0.8,0.5,36649.05576749142
0.8,0.7,37333.72426459419
0.8,0.9,39097.487597617495
0.8,0.1,41534.120111653625
0.8,0.3,38802.46345571664
0.8,0.5,34030.19313373766
0.8,0.7,33900.082341374575
0.8,0.9,39887.50297051038
0.8,0.1,32485.293305451774
0.8,0.3,31040.345305930387
0.8,0.5,40028.2502855761
0.8,0.7,32388.364170719396
0.8,0.9,39251.83187869546
0.8,0.1,49299.37100553384
0.8,0.3,34703.02340698243
0.8,0.1,14923.313199303662
0.8,0.3,43859.04930465919
0.8,0.5,36542.40298685508
0.8,0.7,35825.37124183968
0.8,0.9,37085.2146203805
0.8,0.1,51997.84904030538
0.8,0.3,30457.17039031983
0.8,0.5,31809.679566004135
0.8,0.7,35204.26583761115
0.8,0.9,39200.14036254883
0.8,0.1,35333.82682404892
0.8,0.3,32619.104280375814
0.8,0.5,40393.331023119084
0.8,0.7,41594.298202339065
0.8,0.9,39118.61968715668
0.8,0.1,23615.301674804694
0.8,0.3,36257.72068242939
0.8,0.5,41884.04216570174
0.8,0.7,39925.59873828477
0.8,0.9,38860.06025222296
0.8,0.1,28592.208742675786
0.8,0.3,45812.2449500558
0.8,0.5,35284.70431441789
0.8,0.7,39381.000471466265
0.8,0.9,36801.85179704564
0.8,0.1,35626.712070312504
0.8,0.3,40071.568617603734
0.8,0.5,38437.71484228516
0.8,0.7,40430.35889231571
0.8,0.1,43714.73343372692
0.8,0.3,38621.069959677414
0.8,0.5,36399.833448430334
0.8,0.7,41671.89946895975
0.8,0.9,40119.80517757521
0.8,0.1,27459.999171645224
0.8,0.3,46893.53829512532
0.8,0.5,45696.94632302025
0.8,0.7,36420.38299273039
0.8,0.9,36821.27140366575
0.8,0.1,21368.555621582036
0.8,0.3,32368.30359333684
0.8,0.5,31777.055810473637
0.8,0.7,40709.86302814127
0.8,0.9,38857.61953037057
0.8,0.1,38531.17246500652
0.8,0.3,32133.774228665865
0.8,0.5,39215.18557131254
0.8,0.7,40570.98817371715
0.8,0.9,39660.07006187976
0.8,0.1,29925.992872792114
0.8,0.3,41125.0791563895
0.8,0.5,33829.248683181315
0.8,0.7,40090.056756696424
0.8,0.9,39993.872602603995
0.8,0.1,33631.48274228051
0.8,0.1,32324.727122740747
0.8,0.3,44680.66884950835
0.8,0.5,39179.16345136372
0.8,0.7,39934.533636695814
0.8,0.9,36585.9600529899
0.8,0.1,25967.379308894233
0.8,0.3,37609.47145176218
0.8,0.5,39170.77574486657
0.8,0.7,41454.99575087698
0.8,0.9,38055.064023019724
0.8,0.1,38427.40971862793
0.8,0.3,35883.59722016433
0.8,0.5,43196.24256996233
0.8,0.7,41255.679599421564
0.8,0.9,39415.99698101775
0.8,0.1,72936.02012746711
0.8,0.3,40126.819291606706
0.8,0.5,33722.31117201064
0.8,0.7,39347.95236087448
0.8,0.9,38063.53912258149
0.8,0.1,40803.259928792315
0.8,0.3,43298.88492812648
0.8,0.5,43031.08731445313
0.8,0.7,38722.77953974406
0.8,0.9,36868.441761943104
0.8,0.1,74791.55967486213
0.8,0.3,40911.477966392784
0.8,0.5,42702.833047901775
0.8,0.7,39155.30111471828
0.8,0.9,39328.74612456962
0.8,0.1,64969.657493631115
0.8,0.3,38910.049831129814
0.8,0.5,35348.25836914063
0.8,0.7,39672.86441706731
0.8,0.9,37757.99635971325
