proportion_train,proportion_test,value
0.8,0.1,113834.61798301697
0.8,0.3,253922.88471868518
0.8,0.5,278004.3742936932
0.8,0.7,259534.0830806612
0.8,0.9,263708.2734357522
0.8,0.1,303118.36985180667
0.8,0.3,251442.04706706302
0.8,0.5,248975.78465658243
0.8,0.7,266815.15753332985
0.8,0.9,267539.73805460706
0.8,0.1,254137.46918633356
0.8,0.3,259930.1955534752
0.8,0.5,262499.81017084257
0.8,0.7,261415.97024070512
0.8,0.9,266383.37974605436
0.8,0.1,273977.04859082034
0.8,0.3,254027.18493672687
0.8,0.5,267041.0449457486
0.8,0.7,256366.6878591999
0.8,0.9,263299.9466717501
0.8,0.1,207349.95521508192
0.8,0.3,272693.11825565796
0.8,0.5,262873.4078913754
0.8,0.7,265051.45761387737
0.8,0.9,269952.7063908669
0.8,0.1,294284.1527706106
0.8,0.3,278421.8243251139
0.8,0.5,245214.6366795585
0.8,0.7,272164.6325570739
0.8,0.9,266775.8679896507
0.8,0.1,252756.7069836426
0.8,0.3,257244.70449210273
0.8,0.5,262702.84497055836
0.8,0.7,254885.7831229148
0.8,0.9,259238.59407905172
0.8,0.1,256450.30756483297
0.8,0.3,240831.4215610125
0.8,0.5,270303.87721631065
0.8,0.7,267075.21641940734
0.8,0.9,267934.18947881064
0.8,0.1,275089.30211005034
0.8,0.3,276975.69504367776
0.8,0.5,257943.22260075694
0.8,0.7,265035.10651100223
0.8,0.9,265569.0432944025
0.8,0.1,255094.39489118307
0.8,0.3,281556.7719665206
0.8,0.5,261863.05064118598
0.8,0.1,163035.69227322668
0.8,0.3,281341.75221147493
0.8,0.5,274309.5572899603
0.8,0.7,266036.976501593
0.8,0.9,266937.1304320043
0.8,0.1,315678.52963602275
0.8,0.3,286933.06219208793
0.8,0.5,255593.52965561565
0.8,0.7,257910.41867530017
0.8,0.9,264832.5910229492
0.8,0.1,278952.7580910528
0.8,0.3,270446.6205039613
0.8,0.5,252935.24366292974
0.8,0.7,259087.2506926587
0.8,0.9,261364.0626921534
0.8,0.1,257994.1743515778
0.8,0.3,283228.82584887365
0.8,0.5,264354.04051153234
0.8,0.7,255464.66641239665
0.8,0.9,260972.45651060643
0.8,0.1,257563.48390034994
0.8,0.3,253867.57873110706
0.8,0.5,256871.1490849768
0.8,0.7,266933.4043982672
0.8,0.9,267297.32641021523
0.8,0.1,295209.03900753346
0.8,0.3,248712.0473559747
0.8,0.5,264353.34381609637
0.8,0.7,263414.61643476004
0.8,0.9,264565.59053141833
0.8,0.1,271416.0902297974
0.8,0.3,267117.6474265392
0.8,0.5,265980.4394074402
0.8,0.7,264006.30021471984
0.8,0.1,163694.73203732644
0.8,0.3,251010.339328276
0.8,0.5,257045.69593026512
0.8,0.7,262003.80987978255
0.8,0.9,262637.5530149262
0.8,0.1,274685.0186414063
0.8,0.3,261360.90807999735
0.8,0.5,260451.06847090874
0.8,0.7,261341.3667176403
0.8,0.9,261523.51150185682
0.8,0.1,282230.853347168
0.8,0.3,262579.89129243314
0.8,0.5,262573.49070366233
0.8,0.7,267144.16406525206
0.8,0.9,267403.91157111444
0.8,0.1,297627.15566269297
0.8,0.3,268348.4649347962
0.8,0.5,266008.9316420173
0.8,0.7,257760.20270076688
0.8,0.9,268167.8075475105
0.8,0.1,260518.31257355222
0.8,0.3,265654.12864751945
0.8,0.5,261743.80521736396
0.8,0.7,263090.2037969663
0.8,0.9,263570.2535712869
0.8,0.1,273917.44614741113
0.8,0.3,249902.1629445251
0.8,0.5,253413.6796838632
0.8,0.7,265901.1320236412
0.8,0.9,258379.9267438403
0.8,0.1,266783.9205543551
0.8,0.3,252637.75836393706
0.8,0.5,270650.9221357191
0.8,0.7,276370.48848703183
0.8,0.9,265998.69084503176
0.8,0.1,146234.077411232
0.8,0.3,258571.9237993632
0.8,0.5,268093.7903387348
0.8,0.7,263278.0818931059
0.8,0.9,261394.44815519077
0.8,0.1,283152.6059163412
0.8,0.3,255501.9886928953
0.8,0.5,266924.7006505002
0.8,0.7,279204.3590432665
0.8,0.9,268295.99535616406
0.8,0.1,265926.460972355
0.8,0.3,278534.1442222724
0.8,0.5,258485.32529526475
0.8,0.7,269813.82303081616
0.8,0.9,267451.4440229561
0.8,0.1,271079.8159640566
0.8,0.3,269335.62531587644
0.8,0.5,266078.7693960319
0.8,0.7,275549.75197152613
0.8,0.9,268513.91442579153
0.8,0.1,234667.43506596406
0.8,0.3,259200.56803059325
0.8,0.5,259875.48678248355
0.8,0.7,263878.0237684429
0.8,0.9,263681.10720741376
0.8,0.1,261009.98858106532
0.8,0.3,249331.05905877973
0.8,0.5,262834.5281517016
0.8,0.7,265264.6326287127
0.8,0.9,261806.95037269735
0.8,0.1,289596.3988249291
0.8,0.3,267336.97968420864
0.8,0.5,269692.99357371696
0.8,0.7,270889.6175887677
0.8,0.9,262119.120602384
