proportion_train,proportion_test,value
0.8,0.1,15320.608883620043
0.8,0.3,37953.999407734125
0.8,0.5,38472.33682071462
0.8,0.7,32840.949199006456
0.8,0.9,37396.56040532622
0.8,0.1,22815.359837805707
0.8,0.3,29345.898605116556
0.8,0.5,36277.90397714379
0.8,0.7,36054.2891266233
0.8,0.9,33724.59414755588
0.8,0.1,29345.795592817827
0.8,0.3,44916.85191426596
0.8,0.5,36952.465591155415
0.8,0.7,40642.47970841282
0.8,0.9,34239.827323696525
0.8,0.1,46536.53240656926
0.8,0.3,38133.15737555804
0.8,0.5,30688.814387709677
0.8,0.7,37368.09528673896
0.8,0.9,35956.99185140844
0.8,0.1,53725.419475097675
0.8,0.3,41548.15227510579
0.8,0.5,47366.498148522
0.8,0.7,39581.26756877425
0.8,0.9,34364.45599002919
0.8,0.1,29415.334546061196
0.8,0.3,32350.175337785993
0.8,0.5,38862.141994928315
0.8,0.7,33501.056180263426
0.8,0.9,34919.11974921472
0.8,0.1,29864.694567638584
0.8,0.3,26753.19663111911
0.8,0.5,38656.75578283239
0.8,0.7,33745.78764180223
0.8,0.9,35836.03154718689
0.8,0.1,38333.78108048149
0.8,0.3,35054.896370626106
0.8,0.5,28984.085201427013
0.8,0.7,38167.58159072977
0.8,0.9,34091.95612760079
0.8,0.1,46243.44440161133
0.8,0.3,28733.208615187556
0.8,0.5,39335.14149448939
0.8,0.7,39359.66497265972
0.8,0.9,36105.65877657531
0.8,0.1,18098.28390820312
0.8,0.3,38329.9544899584
0.8,0.5,35547.3366705987
0.8,0.7,32884.88782843695
0.8,0.9,35338.58442381514
0.8,0.1,25303.28535644531
0.8,0.3,31708.208235257065
0.8,0.5,48387.99783466227
0.8,0.7,36322.49475039451
0.8,0.9,35099.91626186576
0.8,0.1,36185.17752054149
0.8,0.3,31459.303791015624
0.8,0.5,36302.86777551269
0.8,0.7,35603.77922255987
0.8,0.9,34297.366844260774
0.8,0.1,26045.520438701926
0.8,0.3,40723.39912533409
0.8,0.5,29845.076203034394
0.8,0.7,35373.25942779949
0.8,0.9,34362.6472820982
0.8,0.1,32334.524294002764
0.8,0.3,42615.623257304156
0.8,0.5,27599.97345743076
0.8,0.7,32751.185363241424
0.8,0.9,34076.490232463206
0.8,0.1,27202.98350423177
0.8,0.3,43069.32456716764
0.8,0.5,35584.86396845186
0.8,0.7,31368.55777408522
0.8,0.9,34467.836828965934
0.8,0.1,45057.47754258898
0.8,0.3,27171.878764803445
0.8,0.5,28571.783193982188
0.8,0.7,36192.35892198696
0.8,0.9,35572.97892458768
0.8,0.1,45958.96141459147
0.8,0.3,33244.80384575738
0.8,0.5,32034.920807729864
0.8,0.7,33564.62965009765
0.8,0.9,33051.90566168708
0.8,0.1,28554.331361337143
0.8,0.3,42277.04153961181
0.8,0.5,37055.81780874576
0.8,0.7,42599.27656301788
0.8,0.9,34968.97006803123
0.8,0.1,36967.45875366211
0.8,0.3,26346.87551925224
0.8,0.5,38611.484227416986
0.8,0.7,38160.19540793679
0.8,0.9,34854.68906901908
0.8,0.1,26436.775456653944
0.8,0.1,64539.57543986002
0.8,0.3,14178.336005067646
0.8,0.3,37636.836553889094
0.8,0.5,32972.94425407565
0.8,0.5,31071.854182899882
0.8,0.7,34601.97400657705
0.8,0.7,31697.006686192104
0.8,0.9,36922.762508500644
0.8,0.9,38501.30258054057
0.8,0.1,40647.08301460598
0.8,0.1,25025.247434590656
0.8,0.3,41503.74742040095
0.8,0.3,39492.458341941834
0.8,0.5,35538.12682695497
0.8,0.5,43988.92730664544
0.8,0.7,41714.71144271956
0.8,0.7,40142.9240874176
0.8,0.9,34762.18815522383
0.8,0.9,36527.611177920386
0.8,0.1,46305.263446983925
0.8,0.1,15606.296724076703
0.8,0.1,26034.034264308382
0.8,0.1,10578.76393548263
0.8,0.1,23751.11098632812
0.8,0.3,26884.554498454992
0.8,0.3,37012.38160254584
0.8,0.3,25149.73113494873
0.8,0.3,36729.54250018219
0.8,0.3,31088.18754107307
0.8,0.5,28981.105625713994
0.8,0.5,37872.70481350735
0.8,0.5,31886.79682451669
0.8,0.5,28459.314272707543
0.8,0.5,33249.78142087562
0.8,0.7,35423.64670379638
0.8,0.7,31708.931159271633
0.8,0.7,40106.21167054559
0.8,0.7,37740.779125926056
0.8,0.7,32830.747533074464
0.8,0.9,34958.73781386925
0.8,0.9,31237.203566867705
0.8,0.9,35546.28497673034
0.8,0.9,37202.983574685684
0.8,0.9,36314.75765879474
0.8,0.1,28951.829683283016
0.8,0.1,39463.21234183176
0.8,0.1,55312.06393310546
0.8,0.1,28336.61414996603
0.8,0.1,41973.89407884681
0.8,0.3,36727.534952799484
0.8,0.3,27522.034052653
0.8,0.3,33027.050615543856
0.8,0.3,21837.293654146637
0.8,0.3,43950.294357330844
0.8,0.5,30148.088822544647
0.8,0.5,31326.620236766576
0.8,0.5,37815.55316120606
0.8,0.5,32906.1468177266
0.8,0.5,41046.275660444764
0.8,0.7,41018.808075265064
0.8,0.7,36299.4415226863
0.8,0.7,38360.572059352904
0.8,0.7,34421.13811920385
0.8,0.7,35682.148383770844
0.8,0.9,36646.22873168946
0.8,0.9,35796.88827228546
0.8,0.9,36550.358294601436
0.8,0.9,33035.67503778241
0.8,0.9,31895.119747474233
0.8,0.1,28220.45023701172
0.8,0.1,34322.40093865646
0.8,0.1,26903.832695312496
0.8,0.1,31446.113413202187
