proportion_train,proportion_test,value
0.8,0.1,58345.018186148896
0.8,0.3,46754.36132575487
0.8,0.5,48785.86608786935
0.8,0.7,55234.060172962505
0.8,0.9,49945.98928757888
0.8,0.1,52173.36488960913
0.8,0.3,41798.328653474935
0.8,0.5,43446.35134416927
0.8,0.7,50659.58296555453
0.8,0.9,51059.35744490329
0.8,0.1,44412.33229296876
0.8,0.3,62070.148217407244
0.8,0.5,52956.615848063964
0.8,0.7,52027.26440732429
0.8,0.9,45135.28182736008
0.8,0.1,31823.89739700576
0.8,0.3,48776.69872927497
0.8,0.5,45365.91343535084
0.8,0.7,43119.16305593582
0.8,0.9,49259.85065005395
0.8,0.1,41630.757194134254
0.8,0.3,59066.82937615135
0.8,0.5,50573.2620875045
0.8,0.7,52467.81388416585
0.8,0.9,50983.581555486635
0.8,0.1,36523.74739252264
0.8,0.3,47802.578934408775
0.8,0.5,57578.33744798719
0.8,0.7,50000.02310434571
0.8,0.9,48555.26659789897
0.8,0.1,38854.97830453055
0.8,0.3,53484.063036931904
0.8,0.5,61484.05725743318
0.8,0.7,53376.658984640904
0.8,0.9,50388.16840166953
0.8,0.1,60363.20204856873
0.8,0.3,48674.122828088824
0.8,0.5,47822.094841690705
0.8,0.7,51555.47902102021
0.8,0.9,48173.74808011646
0.8,0.1,31229.28962786357
0.8,0.3,60834.92211909883
0.8,0.5,45504.19696231266
0.8,0.7,51486.852387174986
0.8,0.9,48761.75760257601
0.8,0.1,76554.92701076198
0.8,0.3,58296.032308345406
0.8,0.5,38566.19511089046
0.8,0.7,48444.08713159909
0.8,0.9,46287.63253202478
0.8,0.1,33067.38938997396
0.8,0.3,55552.145380554204
0.8,0.5,52248.95058400595
0.8,0.7,43691.73698531668
0.8,0.9,50921.14665103574
0.8,0.1,71117.00618981934
0.8,0.3,33507.16907594402
0.8,0.5,58959.38346521837
0.8,0.7,47215.20201026604
0.8,0.9,49653.33179847562
0.8,0.1,39089.23067838033
0.8,0.3,52461.611637532544
0.8,0.5,60894.036862926885
0.8,0.7,58313.08188296858
0.8,0.9,50551.53062684801
0.8,0.1,45199.049004531495
0.8,0.3,55060.99585799727
0.8,0.5,42731.435153865015
0.8,0.7,46690.99365306383
0.8,0.9,52263.35150533418
0.8,0.1,53812.70272141231
0.8,0.3,50619.72373139253
0.8,0.5,52073.6705935592
0.8,0.7,49552.676087831445
0.8,0.9,54734.05593793379
0.8,0.1,50688.47801682692
0.8,0.3,51334.52390794441
0.8,0.5,43345.54801706088
0.8,0.7,50814.033806278116
0.8,0.9,52247.21313345274
0.8,0.1,58580.49547706017
0.8,0.3,47632.08848203038
0.8,0.5,52478.721076204936
0.8,0.7,53934.40876028723
0.8,0.9,50831.53310941343
0.8,0.1,35406.061903711954
0.8,0.3,55350.79188441685
0.8,0.5,50154.6667266398
0.8,0.7,57386.522527301975
0.8,0.9,51060.764011905616
0.8,0.1,73480.49382754372
0.8,0.3,42365.70196978251
0.8,0.5,71582.78652836241
0.8,0.7,57493.33062380722
0.8,0.9,50117.415053012985
0.8,0.1,70713.25462011718
0.8,0.3,70762.70957953038
0.8,0.5,53359.23649266583
0.8,0.7,49394.007683283024
0.8,0.9,53847.63359619692
0.8,0.1,81653.28437566267
0.8,0.3,58996.827041015626
0.8,0.5,53547.287811553324
0.8,0.7,48406.92505133979
0.8,0.9,53404.6681187577
0.8,0.1,34876.54977819224
0.8,0.3,57184.61537510728
0.8,0.5,65456.800065979776
0.8,0.7,49940.589316616424
0.8,0.9,54563.291470355325
0.8,0.1,77212.86245355374
0.8,0.3,55874.03915869754
0.8,0.5,49030.943895770666
0.8,0.7,52227.9966201565
0.8,0.9,49410.514728906586
0.8,0.1,73940.58005366733
0.8,0.3,47552.09184628592
0.8,0.5,62475.85834534452
0.8,0.7,55888.921546426565
0.8,0.1,56295.40635447664
0.8,0.3,49452.12782306088
0.8,0.9,56791.17662129582
0.8,0.5,60290.20681881539
0.8,0.1,30532.92996120877
0.8,0.7,52356.79761478807
0.8,0.3,69329.45998846315
0.8,0.5,47883.530831983015
0.8,0.9,52576.605311867606
0.8,0.7,57498.508228286875
0.8,0.1,18152.090310621992
0.8,0.3,55437.18221581637
0.8,0.9,50424.8565983008
0.8,0.5,55910.80339831493
0.8,0.1,42513.61690142314
0.8,0.7,51241.56371629361
0.8,0.3,35127.47526851109
0.8,0.9,49580.648784267876
0.8,0.5,53810.99515574005
0.8,0.7,51860.95116395978
0.8,0.1,42961.38193902879
0.8,0.3,46318.47899552219
0.8,0.9,51223.635525710684
0.8,0.5,48516.043635159804
0.8,0.1,63692.08320283204
0.8,0.7,48158.82793983105
0.8,0.3,32679.313729858397
0.8,0.9,51162.39440112721
0.8,0.5,56901.93581138642
0.8,0.7,53911.57354560307
0.8,0.1,47894.59079031808
0.8,0.3,53337.65240208632
0.8,0.9,50045.332355831546
0.8,0.5,42251.8517175244
0.8,0.1,75984.64940202984
