proportion_train,proportion_test,value
None,0.1,38261.57373114498
None,0.1,39238.974078949825
None,0.1,38791.0973475551
None,0.1,36993.93318364512
None,0.1,40210.49985076541
None,0.3,40536.995059132416
None,0.1,40051.48543695796
None,0.3,43594.91803346732
None,0.1,40373.04701033947
None,0.3,36833.55540387809
None,0.1,39738.9218670494
None,0.3,39041.34078317172
None,0.1,39810.329971907566
None,0.3,39303.57112303713
None,0.1,39564.41316409603
None,0.5,35282.747970378834
None,0.3,38051.80045354306
None,0.5,41038.338467225985
None,0.3,38363.53726249822
None,0.5,38323.66464343191
None,0.3,36187.589393691655
None,0.1,38728.949065491244
None,0.5,37247.404202947866
None,0.3,40227.19380165098
None,0.1,39822.04979893412
None,0.5,42005.943238883854
None,0.3,37988.316428304184
None,0.1,38032.66098377796
None,0.7,38892.609561335325
None,0.1,38848.04517411752
None,0.1,37882.479958357806
None,0.5,39910.23248039724
None,0.1,40423.31592651574
None,0.7,34281.167039575936
None,0.1,39450.895543421786
None,0.1,38247.08141322948
None,0.5,36828.06897694818
None,0.1,38142.60838443525
None,0.7,36480.90710523062
None,0.1,37955.247667192925
None,0.1,36652.50826467609
None,0.5,39311.18256729699
None,0.3,35281.67562661461
None,0.7,37061.13354863147
None,0.1,40174.820178018854
None,0.1,39018.085194316984
None,0.5,35555.99755230781
None,0.3,37029.688079909414
None,0.7,41563.47105060664
None,0.1,37631.562726307035
None,0.1,39484.862671669136
None,0.5,34423.10604713894
None,0.3,36406.12418744058
None,0.9,36091.74857704242
None,0.3,37156.828201032935
None,0.3,39715.493558569644
None,0.7,42837.8392047245
None,0.3,39762.55485268555
None,0.9,59407.254755528076
None,0.3,38622.11723329702
None,0.3,38347.179585301754
None,0.7,37433.89023740934
None,0.3,42099.975280757855
None,0.9,22116.48213572185
None,0.1,37853.836963613605
None,0.3,38303.184794397675
None,0.3,39287.50738101575
None,0.7,35741.25032179543
None,0.5,45337.84891778695
None,0.9,47795.401816885926
None,0.1,40931.21705897238
None,0.3,37001.441099276
None,0.3,41504.38533512945
None,0.7,47017.485880295455
None,0.5,42111.23091528997
None,0.9,40924.73258225147
None,0.1,38938.28885350125
None,0.3,39473.0556723789
None,0.3,36947.38951110337
None,0.7,36434.26465942653
None,0.5,37023.94312705241
None,0.1,40232.92947972491
None,0.5,43922.43170273267
None,0.5,34394.559350779426
None,0.9,31450.789193361285
None,0.5,40346.499975508435
None,0.1,39277.945661483565
None,0.5,35331.037058650414
None,0.5,41644.70361174551
None,0.9,26497.32722862511
None,0.5,42618.50649974676
None,0.3,36302.10341098422
None,0.5,36921.328862221126
None,0.5,34651.402551888896
None,0.9,41681.31615673148
None,0.7,29455.27915967857
None,0.3,42118.63588049274
None,0.5,32237.830100238996
None,0.5,40024.556602003424
None,0.9,27194.072323668624
None,0.7,39431.75427958798
None,0.3,39796.40054589649
None,0.5,33773.72469370011
None,0.5,39776.27336638344
None,0.9,33024.069595965804
None,0.7,35717.64920603478
None,0.3,42483.08253359793
None,0.7,32573.8044081671
None,0.7,32092.63628253127
None,0.7,38098.695485381664
None,0.3,41769.17746956765
None,0.7,50870.24960426184
None,0.7,41134.17224577103
None,0.7,41420.8094994565
None,0.5,36657.12365067916
None,0.7,41601.58914044831
None,0.7,38978.653803965164
None,0.9,40072.69079295688
None,0.5,42380.91107322548
None,0.7,38250.59885608618
None,0.7,44066.73671339494
None,0.9,28713.243764684885
None,0.5,32319.635923233127
None,0.7,33311.247589786435
None,0.7,38509.377820469424
None,0.9,34149.34580176544
None,0.5,34418.447688770815
None,0.9,35988.31889319277
None,0.9,34862.026326670086
None,0.9,32558.817868843078
None,0.5,39941.86605619999
None,0.9,51076.53815656488
None,0.9,35136.618282296564
None,0.9,28084.10927773185
None,0.7,27323.300341346443
None,0.9,33871.81567554737
None,0.9,32934.639257682975
None,0.7,34366.94435138335
None,0.9,25897.761209930788
None,0.9,41835.22074715087
None,0.7,31110.411615649347
None,0.9,51907.85855876274
None,0.9,32393.18865882265
None,0.7,46047.27132481675
None,0.7,38094.24147058031
None,0.9,43123.04903985022
None,0.9,44946.930205386685
None,0.9,42233.81501857025
None,0.9,31701.788057863196
None,0.9,30934.83440422578
