proportion_train,proportion_test,value
None,0.1,13011.163226605138
None,0.1,24234.95790467965
None,0.1,26478.052404212707
None,0.1,13871.089059659847
None,0.1,51686.92203067418
None,0.1,11897.291487579801
None,0.1,14320.02394375332
None,0.1,36421.38199467464
None,0.1,43583.099614931445
None,0.1,10586.914249453917
None,0.1,33489.075750811215
None,0.1,7422.309050098137
None,0.1,44121.757842344334
None,0.1,48576.50727416432
None,0.1,37678.512939213455
None,0.1,26761.013945873066
None,0.1,4435.361481563011
None,0.1,21829.733437308245
None,0.1,23838.629418539997
None,0.1,19759.90301964193
None,0.1,19044.404137484646
None,0.1,16478.805827127555
None,0.1,17385.611998080727
None,0.1,8611.189220720928
None,0.1,15105.537815176032
None,0.3,48314.116019729016
None,0.1,19137.121167092646
None,0.1,14412.481553861542
None,0.1,25372.59963121091
None,0.1,40060.816195946616
None,0.3,16935.557684526153
None,0.3,14894.045412491449
None,0.3,23495.877906586473
None,0.1,42524.84510040499
None,0.3,20330.411929075664
None,0.3,30515.107084368505
None,0.3,20609.497829755717
None,0.3,21243.076158846667
None,0.3,11621.546889128946
None,0.3,28416.86379514245
None,0.3,27904.873510569938
None,0.3,27470.053933292325
None,0.3,19527.95550503611
None,0.3,16113.358456061333
None,0.3,24753.84388103434
None,0.3,20711.489552512638
None,0.3,35553.20076539469
None,0.3,18147.807369814393
None,0.3,21551.493127585585
None,0.3,26195.704236478457
None,0.3,16905.991196118197
None,0.3,32395.98744961731
None,0.3,13276.180937112067
None,0.3,22129.821438326377
None,0.5,35510.52355661168
None,0.3,8354.71108178582
None,0.3,23129.92227339664
None,0.3,19287.222932985183
None,0.5,19303.866359709784
None,0.5,27893.502201069514
None,0.3,15995.330691747942
None,0.3,16413.514298574555
None,0.5,30545.082790036
None,0.3,17133.511510421282
None,0.5,30270.265639475554
None,0.5,21581.198478382274
None,0.5,15957.514931729555
None,0.5,35448.184727744265
None,0.5,12675.2863973654
None,0.5,29685.127351022144
None,0.5,21957.227033632706
None,0.5,18003.49032207252
None,0.5,23731.73286473042
None,0.5,24195.863026730138
None,0.5,29934.02148588217
None,0.5,32115.65767639213
None,0.5,29358.46794064286
None,0.5,21524.247139862113
None,0.5,21859.061189831016
None,0.5,27502.631204780257
None,0.5,23477.51202100184
None,0.5,19803.561465976018
None,0.7,24735.450424317514
None,0.5,22499.422821651635
None,0.5,32302.853731119147
None,0.5,37604.69586259076
None,0.5,19111.09599776087
None,0.7,27761.871197835273
None,0.7,27925.080323187438
None,0.5,20045.889972457364
None,0.5,16427.254727016287
None,0.7,29434.874057234236
None,0.5,22715.101109853993
None,0.7,33936.58285834733
None,0.7,21784.41032517596
None,0.5,14649.078888129732
None,0.7,24166.140614635366
None,0.7,16759.272527758498
None,0.7,24630.687426360644
None,0.7,32813.40592390151
None,0.7,32215.55705132307
None,0.7,28211.95999741498
None,0.7,27024.019814810646
None,0.7,20599.4029822617
None,0.7,22846.82614992974
None,0.7,24061.693528901327
None,0.7,25000.50186989733
None,0.7,31348.172598982408
None,0.7,27129.76307453625
None,0.7,23585.043444959916
None,0.7,30945.676838474497
None,0.7,24043.450482807195
None,0.9,24376.045625068444
None,0.7,24362.48438930143
None,0.7,27368.98070905285
None,0.7,18524.274644045578
None,0.7,30012.88123974652
None,0.9,30312.86781677732
None,0.9,27222.35380639934
None,0.7,22961.53358108371
None,0.7,30504.984894761703
None,0.9,28715.95644502497
None,0.7,21113.517455394685
None,0.9,27946.104606629142
None,0.9,28967.658511687772
None,0.9,28209.629954944732
None,0.9,20743.31613338513
None,0.7,21167.238313948896
None,0.9,25735.915712474773
None,0.9,22932.622821319477
None,0.9,24899.017630808234
None,0.9,27286.51470487956
None,0.9,28911.48033716808
None,0.9,30952.002327153485
None,0.9,21643.71500349083
None,0.9,30024.51014460252
None,0.9,31600.128498137794
None,0.9,30855.46592058319
None,0.9,31311.936583396233
None,0.9,29122.116654619498
None,0.9,26130.618352302514
None,0.9,23910.385513451
None,0.9,31493.1321742247
None,0.9,18397.870997901304
None,0.9,30160.81961577216
None,0.9,28545.86862134682
None,0.9,28569.200122932132
None,0.9,24953.01383174086
None,0.9,27772.934817215366
None,0.9,31839.085913733787
