proportion_train,proportion_test,value
0.8,0.1,29830.22178406936
0.8,0.3,13958.521313965484
0.8,0.5,20084.51509665928
0.8,0.7,25039.432410686863
0.8,0.9,25782.593652162122
0.8,0.1,42105.19509535292
0.8,0.3,26271.04057119485
0.8,0.5,13275.210642078331
0.8,0.7,28064.574323546487
0.8,0.9,28414.51430100697
0.8,0.1,20657.27917241726
0.8,0.3,17921.613725815005
0.8,0.5,21198.438151043505
0.8,0.7,28220.123350083453
0.8,0.9,31701.042523324817
0.8,0.1,15694.221531355204
0.8,0.3,12246.005314893962
0.8,0.5,25246.974475527557
0.8,0.7,29858.02808920644
0.8,0.9,31076.13575193812
0.8,0.1,7862.602256503298
0.8,0.3,17390.20944484451
0.8,0.5,23867.897220387295
0.8,0.1,12268.741489762242
0.8,0.3,11492.629219358909
0.8,0.5,20282.973700182152
0.8,0.7,28790.14999608372
0.8,0.9,29375.26373220641
0.8,0.1,15340.789028806917
0.8,0.3,27209.819977650066
0.8,0.5,19293.63726461739
0.8,0.7,25944.601776527277
0.8,0.9,28788.33058756252
0.8,0.1,19861.00355434049
0.8,0.3,26725.976241802313
0.8,0.5,19319.890314808894
0.8,0.7,23078.198243196784
0.8,0.9,32799.31918611384
0.8,0.1,8500.649346392025
0.8,0.3,15054.220183510583
0.8,0.5,20106.498396579744
0.8,0.7,33146.042940615625
0.8,0.9,28339.56486634928
0.8,0.1,18434.420383252476
0.8,0.3,16723.57429524384
0.8,0.5,23771.872676019437
0.8,0.7,24440.463264431484
0.8,0.1,6671.544805095231
0.8,0.3,22734.156907124612
0.8,0.5,17111.67003673643
0.8,0.7,26828.17981648552
0.8,0.9,27036.632238494785
0.8,0.1,16664.635634651062
0.8,0.3,23054.078420789454
0.8,0.5,27321.79930306572
0.8,0.7,21511.073223343978
0.8,0.9,28382.724193074682
0.8,0.1,28831.68825819554
0.8,0.3,21141.714456739148
0.8,0.5,23694.180200068673
0.8,0.7,22509.857378685138
0.8,0.9,27145.911115083552
0.8,0.1,23509.25480017902
0.8,0.3,22294.34027113753
0.8,0.5,21094.532154431185
0.8,0.7,29143.473958865594
0.8,0.9,25434.089895211207
0.8,0.1,11927.019808474312
0.8,0.3,24946.545949572504
0.8,0.5,23471.71347299001
0.8,0.7,23694.511645075807
0.8,0.9,31144.496717098475
0.8,0.1,36699.05964191738
0.8,0.3,23851.870835752143
0.8,0.1,12595.710981803457
0.8,0.3,31115.82028560566
0.8,0.5,19237.965268443517
0.8,0.7,31373.66447304184
0.8,0.9,37336.545028042696
0.8,0.1,11650.993723657552
0.8,0.3,30346.694954491326
0.8,0.5,20329.629826712106
0.8,0.7,28462.491453385537
0.8,0.9,24205.921236485883
0.8,0.1,50513.36849181183
0.8,0.3,19411.585316003693
0.8,0.5,17195.376360411403
0.8,0.7,29091.876066373447
0.8,0.9,29026.590013980214
0.8,0.1,18140.57960748452
0.8,0.3,28974.400951183317
0.8,0.5,14780.39013727809
0.8,0.7,25848.98343455255
0.8,0.9,22100.219832431394
0.8,0.1,19944.477268964165
0.8,0.3,24351.117969176106
0.8,0.5,25788.196718238843
0.8,0.7,27485.91699677537
0.8,0.9,34823.94948761425
0.8,0.1,8401.49749299015
0.8,0.3,17257.857608457063
0.8,0.5,15497.753398478371
0.8,0.7,18814.638625302552
0.8,0.1,38867.21858508465
0.8,0.3,32936.51346083075
0.8,0.5,17620.125717204242
0.8,0.7,22314.072521521353
0.8,0.9,27870.629861296
0.8,0.1,9632.604115161346
0.8,0.3,14537.427448430872
0.8,0.5,19697.623734769913
0.8,0.7,27917.86880357512
0.8,0.9,29329.954545166525
0.8,0.1,21963.543907903546
0.8,0.3,16344.92237805323
0.8,0.5,18177.72215888712
0.8,0.7,25708.019200861923
0.8,0.9,24118.095510159503
0.8,0.1,39014.198718248874
0.8,0.3,23587.368842691234
0.8,0.5,19334.56548538059
0.8,0.7,25890.456608372166
0.8,0.9,30076.865915960567
0.8,0.1,9349.525721161628
0.8,0.3,14899.753147561338
0.8,0.5,18114.07611169936
0.8,0.7,26304.38845767666
0.8,0.9,28156.187686757603
0.8,0.1,15794.178239930565
0.8,0.1,30401.473988905556
0.8,0.3,22983.886937557247
0.8,0.5,26309.537538813645
0.8,0.7,25353.666769560503
0.8,0.9,27484.22732958456
0.8,0.1,26962.275762428122
0.8,0.3,18963.317631305155
0.8,0.5,25290.023182078323
0.8,0.7,29683.630769515206
0.8,0.9,29959.67934515934
0.8,0.1,18286.590651920982
0.8,0.3,29375.71681301922
0.8,0.5,24103.1355036592
0.8,0.7,24263.913129134588
0.8,0.9,35558.07094919387
0.8,0.1,15064.719053294286
0.8,0.3,22519.935000050562
0.8,0.5,24492.06675290676
0.8,0.7,22600.43438637305
0.8,0.9,28230.67250197643
0.8,0.1,49909.9452445145
0.8,0.3,28520.410373664825
0.8,0.5,21573.513527705967
0.8,0.7,26756.93019614452
0.8,0.9,26396.139907687455
0.8,0.1,14730.76552200482
0.8,0.3,16758.934352018012
0.8,0.5,19080.353485509175
0.8,0.7,25044.736652689502
0.8,0.9,32113.835696286485
0.8,0.1,10230.006342502113
0.8,0.3,24123.509908991276
0.8,0.5,22265.04330108063
0.8,0.7,23972.87314251215
0.8,0.9,31078.683459192325
