proportion_train,proportion_test,value
0.8,0.1,56279.25457860394
0.8,0.3,39889.34808692161
0.8,0.5,44670.56404732841
0.8,0.7,41498.86376308016
0.8,0.9,52938.61532096301
0.8,0.1,31956.838579991596
0.8,0.3,25075.07768452272
0.8,0.5,49291.688889457895
0.8,0.7,53780.71346891376
0.8,0.9,54141.00011656995
0.8,0.1,29286.62171026901
0.8,0.3,44451.904116944934
0.8,0.5,50144.6718170038
0.8,0.7,44064.32314722411
0.8,0.9,61635.40688413218
0.8,0.1,47019.17054275624
0.8,0.3,47556.005593214606
0.8,0.5,39358.31146662018
0.8,0.7,45871.604299051
0.8,0.9,47263.75135378071
0.8,0.1,32072.858046731093
0.8,0.3,38369.88560313415
0.8,0.5,53900.17079540094
0.8,0.7,42093.30653646885
0.8,0.9,58527.77570615667
0.8,0.1,53810.78430367431
0.8,0.3,40794.773941824664
0.8,0.5,45488.563065987226
0.8,0.7,42443.088357810746
0.8,0.9,49884.070500919974
0.8,0.1,42202.68077060393
0.8,0.3,39869.547518251624
0.8,0.5,46020.14517978912
0.8,0.7,43647.83739717991
0.8,0.9,55747.99802587751
0.8,0.1,34459.85895142912
0.8,0.3,43081.24219814147
0.8,0.5,45824.29720426198
0.8,0.7,41125.625613959965
0.8,0.9,56438.22705508892
0.8,0.1,65755.873555931
0.8,0.3,34120.712920734724
0.8,0.5,43830.09139804429
0.8,0.7,49050.08973122655
0.8,0.9,44188.50350703427
0.8,0.1,29868.511823339624
0.8,0.3,31875.029220955093
0.8,0.5,46087.908025229786
0.8,0.1,46945.15721276041
0.8,0.3,37301.164120594396
0.8,0.5,47170.617215254584
0.8,0.7,60353.32712836152
0.8,0.9,53481.66948842151
0.8,0.1,39975.187322694226
0.8,0.3,36492.44197957897
0.8,0.5,40569.68200757018
0.8,0.7,50755.626686230404
0.8,0.9,45254.58584514133
0.8,0.1,34033.66744600438
0.8,0.3,40661.82532931295
0.8,0.5,42511.03375806494
0.8,0.7,38655.933407833654
0.8,0.9,48964.41620570304
0.8,0.1,28694.256237356978
0.8,0.3,58005.59792376624
0.8,0.5,42425.80732060947
0.8,0.7,44421.514237180694
0.8,0.9,46449.595584932045
0.8,0.1,16468.60650846944
0.8,0.3,36304.476978533676
0.8,0.5,45894.89386178072
0.8,0.7,42369.57177102825
0.8,0.9,53171.2021219672
0.8,0.1,41468.77638935063
0.8,0.3,39245.4116452484
0.8,0.5,50170.96729078626
0.8,0.7,51302.787801957704
0.8,0.9,52726.70308232881
0.8,0.1,55129.46685658056
0.8,0.3,44229.140951402274
0.8,0.5,45331.5179461175
0.8,0.7,43847.87134167734
0.8,0.1,30263.15295217412
0.8,0.3,43512.9375059561
0.8,0.5,46711.41036492521
0.8,0.7,41696.1482177958
0.8,0.9,53041.99960971624
0.8,0.1,50669.880908264
0.8,0.3,33782.94665614987
0.8,0.5,37925.27166162539
0.8,0.7,39409.2640223304
0.8,0.9,68867.47906919887
0.8,0.1,24963.405796767558
0.8,0.3,47027.78371676386
0.8,0.5,44651.08402196737
0.8,0.7,45184.794077329716
0.8,0.9,49263.665291646466
0.8,0.1,27495.882782243694
0.8,0.3,55513.20891426021
0.8,0.5,47750.86634775022
0.8,0.7,50163.71717111935
0.8,0.9,56573.27438189247
0.8,0.1,36814.63732018339
0.8,0.3,49595.87760081928
0.8,0.5,38253.74766517694
0.8,0.7,62293.28269959723
0.8,0.9,49201.67615370092
0.8,0.1,71377.01551631354
0.8,0.3,48396.63522600265
0.8,0.5,53418.495444657696
0.8,0.7,43449.70985355606
0.8,0.9,54078.22805480224
0.8,0.1,34600.63545347608
0.8,0.3,46620.41231998689
0.8,0.5,42701.629364729444
0.8,0.7,43766.35246299123
0.8,0.9,52160.54418791329
0.8,0.1,36947.383576627486
0.8,0.3,53108.79736101251
0.8,0.5,43370.40625956495
0.8,0.7,48360.02450418888
0.8,0.9,56178.345547359044
0.8,0.1,38515.15714183351
0.8,0.3,50344.263749100915
0.8,0.5,38076.348174385355
0.8,0.7,39672.680360895625
0.8,0.9,43754.36178017455
0.8,0.1,61361.48827065193
0.8,0.3,39815.307123856786
0.8,0.5,38366.94061953648
0.8,0.7,46233.315447894944
0.8,0.9,58189.31347971045
0.8,0.1,35269.82488293792
0.8,0.3,51843.415623356144
0.8,0.5,47930.083622594444
0.8,0.7,59178.58276629611
0.8,0.9,59712.28407703416
0.8,0.1,41846.03893689614
0.8,0.3,37045.43019778497
0.8,0.5,61101.706400182615
0.8,0.7,45209.50545891633
0.8,0.9,57493.96373952016
0.8,0.1,19983.489601030065
0.8,0.3,40969.183468446034
0.8,0.5,48485.676487451565
0.8,0.7,44501.04809811396
0.8,0.9,50934.98002334775
0.8,0.1,60131.0102049964
0.8,0.3,42768.23202768008
0.8,0.5,47455.54238727156
0.8,0.7,49448.616079660016
0.8,0.9,48933.04676080426
