proportion_train,proportion_test,value
0.8,0.1,17565.337975244114
0.8,0.3,12357.993505601256
0.8,0.5,28885.270652337105
0.8,0.7,27712.014667652336
0.8,0.9,30201.50862462525
0.8,0.1,29152.929364070773
0.8,0.3,19414.132866981483
0.8,0.5,31506.615088465183
0.8,0.7,19110.10076571674
0.8,0.9,27626.192794234626
0.8,0.1,42207.6370158264
0.8,0.3,17230.570004408648
0.8,0.5,17414.485832846174
0.8,0.7,28119.056320474127
0.8,0.9,23823.6419560108
0.8,0.1,15768.697437079667
0.8,0.3,22234.44650831944
0.8,0.5,15002.872286348376
0.8,0.7,26371.708263517008
0.8,0.9,25570.23830546745
0.8,0.1,12871.649106567635
0.8,0.3,26452.18490093097
0.8,0.5,19463.038660939234
0.8,0.7,31766.92398874327
0.8,0.9,28480.564842025924
0.8,0.1,38351.7618018973
0.8,0.3,23761.388700560758
0.8,0.5,24000.543735021718
0.8,0.7,17975.94375742807
0.8,0.9,30786.882711959468
0.8,0.1,10775.227385656222
0.8,0.3,13776.507224460956
0.8,0.5,23994.17561187944
0.8,0.7,27922.703091048246
0.8,0.9,26000.18055637274
0.8,0.1,11363.812627823798
0.8,0.3,15470.882723833402
0.8,0.5,13977.629846671583
0.8,0.7,25724.037081581155
0.8,0.9,27133.214641732655
0.8,0.1,36684.803840296634
0.8,0.3,23339.691764564704
0.8,0.5,23156.70875467564
0.8,0.7,21187.67574066665
0.8,0.9,26034.06728832645
0.8,0.1,23155.387624981482
0.8,0.3,21581.767753267268
0.8,0.5,28472.265758205976
0.8,0.7,25164.27247223315
0.8,0.9,28261.522362925753
0.8,0.1,19115.648343301673
0.8,0.3,15055.470378285067
0.8,0.5,12601.878863491616
0.8,0.7,19245.676922451705
0.8,0.9,30825.11807085149
0.8,0.1,36567.044102947475
0.8,0.3,19961.510561535884
0.8,0.5,18615.41079402449
0.8,0.7,22836.945513202307
0.8,0.9,21305.22955062556
0.8,0.1,7034.876961254733
0.8,0.3,27297.75266937236
0.8,0.5,20005.851847265698
0.8,0.7,26086.820037892376
0.8,0.9,26875.455403908647
0.8,0.1,15637.168327415351
0.8,0.3,22573.521235305092
0.8,0.5,24095.238431190668
0.8,0.7,20690.444276804825
0.8,0.9,27242.60231248817
0.8,0.1,12624.251401878231
0.8,0.3,33330.960374650975
0.8,0.5,19316.30566818723
0.8,0.7,24584.343119800054
0.8,0.9,28272.709204804432
0.8,0.1,40623.913646498004
0.8,0.3,16773.76561464501
0.8,0.5,15808.458038329929
0.8,0.7,23251.59556004521
0.8,0.9,21431.78038491179
0.8,0.1,22428.188810003667
0.8,0.3,20406.620175904347
0.8,0.5,19588.04664987935
0.8,0.7,22978.952922641445
0.8,0.9,25296.632798345352
0.8,0.1,13987.078955136672
0.8,0.3,23475.30293477248
0.8,0.5,17950.693827703784
0.8,0.7,29173.23486231768
0.8,0.9,25393.51243064417
0.8,0.1,29194.90438064836
0.8,0.3,16389.26665592061
0.8,0.5,29552.592388354384
0.8,0.7,26078.971629253036
0.8,0.9,31928.8983781384
0.8,0.1,12673.974560467386
0.8,0.1,14558.769916243884
0.8,0.3,24785.18215159455
0.8,0.3,23200.599000911578
0.8,0.5,25898.43329590916
0.8,0.5,21546.236054832334
0.8,0.7,17855.69210957931
0.8,0.7,28046.10822642878
0.8,0.9,26552.006175855502
0.8,0.9,23487.678220323418
0.8,0.1,31332.57831283
0.8,0.1,21334.04199411883
0.8,0.3,15506.629813252692
0.8,0.3,20455.798770630354
0.8,0.5,24424.426863091856
0.8,0.5,22698.880165801995
0.8,0.7,24435.522934156255
0.8,0.7,21846.411724428002
0.8,0.9,20653.877458341114
0.8,0.9,25622.44613952747
0.8,0.1,38184.759810739895
0.8,0.1,14204.105000371852
0.8,0.1,5962.477637896789
0.8,0.1,12681.390834488975
0.8,0.1,17991.547779791097
0.8,0.3,12229.500450063406
0.8,0.3,16256.860325056705
0.8,0.3,21577.00538566113
0.8,0.3,34712.83389669858
0.8,0.3,31334.1943522896
0.8,0.5,18035.092099086018
0.8,0.5,20774.133233388326
0.8,0.5,24937.93008579658
0.8,0.5,26264.06598052926
0.8,0.5,21360.667344925845
0.8,0.7,23201.806155944774
0.8,0.7,22551.43075891177
0.8,0.7,29706.18610862998
0.8,0.7,25821.68538779167
0.8,0.7,21470.71672992749
0.8,0.9,26182.839780473685
0.8,0.9,29164.967040789485
0.8,0.9,28409.130157017287
0.8,0.9,25734.744204437124
0.8,0.9,26670.11129643195
0.8,0.1,15946.657349511539
0.8,0.1,22129.002812215313
0.8,0.1,13904.131999235604
0.8,0.1,17130.02867452668
0.8,0.1,12596.866515972928
0.8,0.3,23300.221514184905
0.8,0.3,17288.240752150847
0.8,0.3,31827.498331267358
0.8,0.3,17336.899700095233
0.8,0.3,12479.582685917732
0.8,0.5,19690.74884744055
0.8,0.5,23701.844593330774
0.8,0.5,19620.099452335482
0.8,0.5,25843.069721540396
0.8,0.5,22136.894788525766
0.8,0.7,28350.053939113604
0.8,0.7,25528.83274030695
0.8,0.7,18934.994428550766
0.8,0.7,25498.897823403222
0.8,0.7,21898.43065458883
0.8,0.9,27746.15266725159
0.8,0.9,26914.693003984303
0.8,0.9,27347.05138128207
0.8,0.9,31587.19297615077
0.8,0.9,28939.769559976037
0.8,0.1,13929.604346721784
0.8,0.1,8779.932394214737
0.8,0.1,14966.365578227284
0.8,0.1,33809.569693290265
