proportion_train,proportion_test,value
0.8,0.1,16953.622254107224
0.8,0.3,36259.287075881984
0.8,0.5,41848.52527894734
0.8,0.7,39935.868644017144
0.8,0.9,52170.240472387035
0.8,0.1,38275.872291991654
0.8,0.3,61477.57511527322
0.8,0.5,43378.20029381099
0.8,0.7,44843.7913317978
0.8,0.9,47594.980557812676
0.8,0.1,47000.81621670821
0.8,0.3,45755.873732789834
0.8,0.5,41275.98989712951
0.8,0.7,41939.004212525
0.8,0.9,51041.09823772524
0.8,0.1,32389.037140901088
0.8,0.3,48148.914450364304
0.8,0.5,44496.7237356373
0.8,0.7,43734.348260415536
0.8,0.9,50309.73427174747
0.8,0.1,35930.879991964044
0.8,0.3,28444.253923917764
0.8,0.5,47277.20559933033
0.8,0.7,49667.85287525424
0.8,0.9,42978.83762580676
0.8,0.1,28056.900549970083
0.8,0.3,42312.3669238328
0.8,0.5,44811.14193728646
0.8,0.7,42482.74855239167
0.8,0.9,52762.438330026605
0.8,0.1,25865.46554102779
0.8,0.3,32047.135423585118
0.8,0.5,44821.76423572566
0.8,0.7,44074.75420965198
0.8,0.9,46750.51417304409
0.8,0.1,20335.80500769817
0.8,0.3,39078.87534735916
0.8,0.5,41821.76090097308
0.8,0.7,54680.43452567682
0.8,0.9,52549.97585545573
0.8,0.1,47286.24991664326
0.8,0.3,44618.741866284145
0.8,0.5,46775.24361028122
0.8,0.7,45415.0601516153
0.8,0.9,53598.64159974126
0.8,0.1,59768.97962356119
0.8,0.3,44316.19100256976
0.8,0.5,50259.28750520265
0.8,0.7,45976.11597199953
0.8,0.9,45732.21298304314
0.8,0.1,33252.99822117757
0.8,0.3,44489.57638108074
0.8,0.5,49451.58873739599
0.8,0.7,49575.577818260506
0.8,0.9,51580.234557967415
0.8,0.1,35918.59718766971
0.8,0.3,31541.657761027243
0.8,0.5,51236.750681453
0.8,0.7,38689.41779224426
0.8,0.9,44848.36559152595
0.8,0.1,45312.308456417435
0.8,0.3,40640.57450162026
0.8,0.5,36432.73857554674
0.8,0.7,49947.66458616736
0.8,0.9,43680.543713399304
0.8,0.1,75605.27160306349
0.8,0.3,49469.04386563486
0.8,0.5,38744.51885295173
0.8,0.7,51907.909553815145
0.8,0.9,45835.63348353506
0.8,0.1,32294.182030901127
0.8,0.3,47567.28049669532
0.8,0.5,40192.00316659614
0.8,0.7,43124.56559751683
0.8,0.9,45374.01495370117
0.8,0.1,59347.183701402355
0.8,0.3,38472.97539814104
0.8,0.5,43011.52851365747
0.8,0.7,44182.24464643348
0.8,0.9,45800.347725274965
0.8,0.1,18308.392409900047
0.8,0.3,42716.90316146885
0.8,0.5,51695.404998299586
0.8,0.7,42381.775528721366
0.8,0.9,47408.908657114334
0.8,0.1,41761.04730065248
0.8,0.3,41529.39402532916
0.8,0.5,42724.55770800202
0.8,0.7,42076.10458445847
0.8,0.9,55486.94076080627
0.8,0.1,28825.499056526627
0.8,0.3,48984.369122548174
0.8,0.5,43464.4509647367
0.8,0.7,41150.35098119205
0.8,0.9,53944.15720640033
0.8,0.1,17208.1687822939
0.8,0.3,49165.90228272745
0.8,0.5,39942.4011087766
0.8,0.7,50308.12233157136
0.8,0.9,41426.14246095543
0.8,0.1,31756.476419284816
0.8,0.3,41318.518309924424
0.8,0.5,42455.23133463757
0.8,0.7,51654.207141042265
0.8,0.9,47267.27167089829
0.8,0.1,39104.07562977361
0.8,0.3,45845.500361522434
0.8,0.5,43365.36592184742
0.8,0.7,46681.67237104218
0.8,0.9,45631.13189386243
0.8,0.1,40158.476014881904
0.8,0.3,64514.27352419989
0.8,0.5,39103.14752295932
0.8,0.7,50385.097477770265
0.8,0.9,50845.196632322586
0.8,0.1,57023.64492744378
0.8,0.3,46261.79075798505
0.8,0.5,47218.497085277326
0.8,0.7,47637.36354793734
0.8,0.1,23881.73679273426
0.8,0.3,42544.07900423246
0.8,0.9,54134.32992714538
0.8,0.5,51842.78667418493
0.8,0.1,57505.30003120425
0.8,0.7,42925.37190888532
0.8,0.3,54512.71297235024
0.8,0.5,41067.21615291671
0.8,0.9,44200.6217014126
0.8,0.7,33532.372347820936
0.8,0.1,35692.05062199726
0.8,0.3,49359.14055286501
0.8,0.9,58126.021965191125
0.8,0.5,40169.103157465324
0.8,0.1,56715.30049155858
0.8,0.7,49122.31796682255
0.8,0.3,32795.90943409793
0.8,0.9,46036.26418594036
0.8,0.5,40383.39254548653
0.8,0.7,44048.38979340028
0.8,0.1,60244.02975274079
0.8,0.3,48366.875227659235
0.8,0.9,47120.22130536198
0.8,0.5,42925.599700646264
0.8,0.1,51390.850632171365
0.8,0.7,37898.2969085084
0.8,0.3,49362.982773325464
0.8,0.9,52975.874791603455
0.8,0.5,38550.90591636018
0.8,0.7,44903.29132288638
0.8,0.1,44659.6794338542
0.8,0.3,44740.06205481423
0.8,0.9,56675.47583435035
0.8,0.5,45429.87168258271
0.8,0.1,39789.82124427795
