proportion_train,proportion_test,value
None,0.1,31112.911292197015
None,0.1,25180.619463218864
None,0.1,54862.42009966773
None,0.1,52848.915082810054
None,0.1,26623.04604744884
None,0.1,30682.81424632485
None,0.1,49389.11869074959
None,0.1,53581.593073238015
None,0.1,65125.79691080565
None,0.1,59793.824656631405
None,0.1,49887.594353864784
None,0.1,55091.08067497644
None,0.1,19068.03497913674
None,0.1,38130.59093103905
None,0.1,25697.121224309853
None,0.1,31531.679404425762
None,0.1,24883.14757677717
None,0.1,32263.112907939332
None,0.1,36197.300279939685
None,0.1,37417.8756988961
None,0.1,16809.145163161298
None,0.1,63652.26768720056
None,0.1,12490.359400268115
None,0.1,48336.468061769076
None,0.1,34000.06019398562
None,0.1,105134.95753621336
None,0.1,28178.449970580747
None,0.1,44169.72132598873
None,0.1,54179.459404426416
None,0.1,78159.07769384747
None,0.3,61979.42209167064
None,0.3,47873.66507261581
None,0.3,40674.24549271059
None,0.3,53920.91119305557
None,0.3,35468.16420659514
None,0.3,33690.366841505034
None,0.3,60964.077453562604
None,0.3,46046.42928366554
None,0.3,56644.85737821532
None,0.3,37173.771771796455
None,0.3,44942.019932274634
None,0.3,82429.18911339247
None,0.3,41843.80115598219
None,0.3,38804.75461235509
None,0.3,37311.16315850553
None,0.3,54179.30921926885
None,0.3,41593.24348475629
None,0.3,44296.937607979424
None,0.3,52703.885615282925
None,0.3,53563.501084698284
None,0.3,38011.063699779974
None,0.3,35041.29937162676
None,0.3,56501.00554018998
None,0.3,46684.71986413391
None,0.3,60466.23026623845
None,0.3,50269.32212733
None,0.3,60047.19354299792
None,0.3,47440.62453155283
None,0.5,53071.50191528135
None,0.3,63435.65177408699
None,0.3,34987.98641834828
None,0.5,44437.70049816305
None,0.5,61890.7943030348
None,0.5,54568.94872285149
None,0.5,41036.937035303206
None,0.5,41156.95906993726
None,0.5,51505.369725950324
None,0.5,51128.20118189906
None,0.5,47345.27975325103
None,0.5,51758.582496469666
None,0.5,40486.42783163338
None,0.5,45898.17700930054
None,0.5,52474.200088550424
None,0.5,50259.29959360152
None,0.5,43875.33931842793
None,0.5,37326.46758894998
None,0.5,38312.46508592852
None,0.5,41340.13927118155
None,0.5,45116.49932375152
None,0.5,45940.449611124386
None,0.5,40608.84221373437
None,0.5,54493.23688189185
None,0.5,45794.09138475451
None,0.5,46826.42001439551
None,0.5,39765.65119716117
None,0.5,47074.87230920994
None,0.5,65238.97353958897
None,0.5,37687.875941227
None,0.7,45728.927981532215
None,0.7,53222.56078869108
None,0.7,40293.67761141453
None,0.5,34795.24607797198
None,0.5,36149.34955850376
None,0.7,51013.226830146115
None,0.7,52282.43401192078
None,0.7,46846.619181013666
None,0.7,58672.583706039615
None,0.7,46534.016781904895
None,0.7,46584.07286806511
None,0.7,51907.41013008565
None,0.7,46327.424246397066
None,0.7,46261.55302973417
None,0.7,52834.1117997859
None,0.7,50596.34613668724
None,0.7,42425.39767667889
None,0.7,41185.238064867684
None,0.7,44848.69296700148
None,0.7,46096.197931872994
None,0.7,62181.62860841415
None,0.7,54074.73963210125
None,0.7,59263.063440977094
None,0.7,55745.162047108955
None,0.7,61819.27947858696
None,0.7,43819.737226702484
None,0.7,51015.17374692798
None,0.7,56419.0323805038
None,0.9,57245.17120390943
None,0.9,54568.397596773764
None,0.9,45059.80092727309
None,0.7,41285.25364397185
None,0.7,48606.698744081004
None,0.7,50353.16907890258
None,0.9,53649.833280416846
None,0.9,45094.37611899846
None,0.9,50099.04653125553
None,0.9,48539.24600460391
None,0.7,40298.093102799896
None,0.9,51276.03932865732
None,0.9,47413.91097206719
None,0.9,52657.87956216124
None,0.9,52461.33982237154
None,0.9,54649.971004019324
None,0.9,52780.55204736263
None,0.9,55491.14337274437
None,0.9,51898.05994576828
None,0.9,51074.443674953356
None,0.9,53334.97313423112
None,0.9,52576.880467721974
None,0.9,50385.12644470604
None,0.9,54310.10762455685
None,0.9,56261.03273200298
None,0.9,53715.87722848916
None,0.9,47906.735073586824
None,0.9,55735.10743060534
None,0.9,49473.03112010809
None,0.9,49521.86150452084
None,0.9,52765.72869366657
None,0.9,56433.745365704446
None,0.9,46890.64124261444
None,0.9,53256.953793807406
