proportion_train,proportion_test,value
0.8,0.1,24222.776994128657
0.8,0.1,30662.479224359548
0.8,0.3,28889.926680903613
0.8,0.3,30552.18602391856
0.8,0.1,25135.53594224246
0.8,0.1,30567.218650491603
0.8,0.1,25609.687842273655
0.8,0.1,24320.245629185003
0.8,0.5,25638.21998665309
0.8,0.5,28967.79028538538
0.8,0.3,29150.905101695997
0.8,0.3,25262.708315004955
0.8,0.3,30108.066264005436
0.8,0.3,31114.65542616715
0.8,0.7,28393.613054818816
0.8,0.7,29014.627833923154
0.8,0.5,21290.632900629626
0.8,0.5,27760.448943080668
0.8,0.5,26147.017733024677
0.8,0.5,27815.35475669221
0.8,0.7,24373.908906292872
0.8,0.9,26995.893541194975
0.8,0.7,32363.373656447326
0.8,0.7,23250.91340783794
0.8,0.9,28750.11940342548
0.8,0.7,25746.46026923983
0.8,0.9,24623.7448946203
0.8,0.9,23801.609374827764
0.8,0.9,32517.75791256939
0.8,0.9,24353.11171459787
0.8,0.1,24727.816052786737
0.8,0.1,28587.3120234416
0.8,0.3,24569.544793978697
0.8,0.3,23339.213413114405
0.8,0.1,26271.238501564527
0.8,0.1,24550.510978597275
0.8,0.1,27740.892873880584
0.8,0.1,27549.521320182957
0.8,0.5,27818.92980473836
0.8,0.5,29805.284440876207
0.8,0.3,24801.90754305202
0.8,0.3,21275.30200917622
0.8,0.3,24536.299405828948
0.8,0.3,26209.772295876763
0.8,0.7,26567.719011452475
0.8,0.5,25284.059616539376
0.8,0.7,29637.827136948283
0.8,0.5,24266.106671664642
0.8,0.5,21145.49365429297
0.8,0.5,24210.159944430994
0.8,0.9,26256.097630956705
0.8,0.7,26726.92749411825
0.8,0.7,29518.62727997159
0.8,0.7,25877.45865068736
0.8,0.7,25117.944169871196
0.8,0.9,28100.422198141136
0.8,0.9,24079.282050837817
0.8,0.9,26883.047747490393
0.8,0.9,26880.463718794563
0.8,0.1,27006.784830206925
0.8,0.9,25039.015171976924
0.8,0.1,28441.941555383757
0.8,0.3,25851.665848276996
0.8,0.3,29157.11692446885
0.8,0.1,25787.496270767424
0.8,0.1,28964.505166373125
0.8,0.5,30478.30607088372
0.8,0.1,30853.72316070853
0.8,0.1,26229.951935626472
0.8,0.5,26494.754305709088
0.8,0.3,26599.31377979346
0.8,0.3,27791.744792201443
0.8,0.3,23934.89657742607
0.8,0.3,29065.661092163777
0.8,0.7,28410.354905212807
0.8,0.5,27910.356218640514
0.8,0.5,29825.812059013562
0.8,0.5,22827.470986968146
0.8,0.5,23989.691666022267
0.8,0.7,26004.86147548391
0.8,0.9,24577.002936884095
0.8,0.7,26626.158389337103
0.8,0.7,22476.55010353316
0.8,0.7,27491.570341376584
0.8,0.7,27616.940422477353
0.8,0.9,27891.910187192127
0.8,0.9,21650.398071058095
0.8,0.1,32002.775599051052
0.8,0.9,24083.266127702846
0.8,0.9,27031.455746127758
0.8,0.9,27476.836156334255
0.8,0.3,25180.486982610586
0.8,0.1,24734.292133299634
0.8,0.1,32872.711509779074
0.8,0.5,26303.8266907348
0.8,0.3,26449.622602817642
0.8,0.1,23092.08338479857
0.8,0.1,30564.568249872136
0.8,0.1,26105.168120208902
0.8,0.3,20944.940067352036
0.8,0.3,22942.535893521144
0.8,0.3,31070.1277492601
0.8,0.3,26243.430396160562
0.8,0.5,30526.479365407016
0.8,0.7,29244.2337492716
0.8,0.5,26023.95932692061
0.8,0.5,28030.13822316586
0.8,0.5,21794.373155093064
0.8,0.5,24063.570586015492
0.8,0.7,30261.059125425225
0.8,0.9,26494.590233644256
0.8,0.7,27224.620754194842
0.8,0.7,22665.08799415328
0.8,0.7,28257.90851800504
0.8,0.7,26164.184322614048
0.8,0.9,23965.859057892107
0.8,0.9,28303.58099009261
0.8,0.1,27859.060416391494
0.8,0.9,21875.57516673911
0.8,0.9,24491.158099367574
0.8,0.9,30071.3090321773
0.8,0.3,30484.551132500204
0.8,0.1,27557.461120422653
0.8,0.1,30819.15746627657
0.8,0.5,29817.6991079255
0.8,0.1,29646.4603221063
0.8,0.3,25017.759449318266
0.8,0.1,29439.732084836596
0.8,0.3,23547.096710278918
0.8,0.1,25214.46653766313
0.8,0.3,25014.847247016307
0.8,0.3,25271.29109608858
0.8,0.7,28796.711962015277
0.8,0.3,28778.11095701177
0.8,0.5,26154.50388490701
0.8,0.5,29198.96991842148
0.8,0.5,28517.90616108891
0.8,0.5,30207.615144552194
0.8,0.5,27510.141767506993
0.8,0.7,32374.814400271498
0.8,0.7,27356.509279707305
0.8,0.9,27855.13408552167
0.8,0.7,22665.51525204396
0.8,0.7,31968.933934468576
0.8,0.7,26897.96271956204
0.8,0.9,28681.164008568972
0.8,0.9,29732.223676850448
0.8,0.1,24649.544574895615
0.8,0.9,24102.42427103425
0.8,0.9,24841.65725535421
0.8,0.9,26160.88126303523
0.8,0.3,22372.827330123393
0.8,0.1,26789.574696705058
0.8,0.5,26134.659587333455
0.8,0.3,29690.24844989636
0.8,0.7,26932.97083510948
0.8,0.5,25396.872699525637
0.8,0.9,28666.535442413206
0.8,0.7,26245.63489773059
0.8,0.1,25823.31474251172
0.8,0.9,26746.24059167351
0.8,0.3,22789.70831085067
0.8,0.5,23844.057702069436
0.8,0.1,27158.579725383344
0.8,0.3,26012.353409180192
