proportion_train,proportion_test,value
0.8,0.1,111423.80375472437
0.8,0.3,110791.2621901781
0.8,0.5,99318.95398220008
0.8,0.7,106403.74853094952
0.8,0.9,87071.10402828883
0.8,0.1,103771.77095653117
0.8,0.3,108660.53451764716
0.8,0.5,84891.0534244526
0.8,0.7,97134.60234423
0.8,0.9,97637.93002471705
0.8,0.1,106140.55364570976
0.8,0.3,99542.12750342264
0.8,0.5,96290.78872007428
0.8,0.7,103473.58526622354
0.8,0.9,98402.788072406
0.8,0.1,107329.3272250099
0.8,0.3,111121.12215942524
0.8,0.5,102857.66540317374
0.8,0.7,102782.00433588872
0.8,0.9,91237.29232800806
0.8,0.1,98631.78116011937
0.8,0.3,114590.68701685975
0.8,0.5,93799.22935309341
0.8,0.1,108287.57187256923
0.8,0.3,102145.52465558703
0.8,0.5,98432.13786764615
0.8,0.7,101522.89121346027
0.8,0.9,98876.0636921017
0.8,0.1,105167.94528508278
0.8,0.3,102938.07893595408
0.8,0.5,111564.06373339331
0.8,0.7,109420.88439744234
0.8,0.9,105440.56094506147
0.8,0.1,104384.34693843426
0.8,0.3,104284.6907098237
0.8,0.5,96033.98174925525
0.8,0.7,99935.44227071272
0.8,0.9,109099.52826914737
0.8,0.1,93541.07358240351
0.8,0.3,113292.79950472905
0.8,0.5,109689.53799729818
0.8,0.7,94957.10392047565
0.8,0.9,101270.69181212368
0.8,0.1,108259.33208186041
0.8,0.3,113358.85073574712
0.8,0.5,90726.88983918293
0.8,0.7,101378.07337695088
0.8,0.1,99768.62134172332
0.8,0.3,100382.05611795548
0.8,0.5,98054.94771455452
0.8,0.7,114874.3346656372
0.8,0.9,103402.29803155431
0.8,0.1,91987.67430655436
0.8,0.3,105118.8994832251
0.8,0.5,98736.3563246304
0.8,0.7,100158.6756797623
0.8,0.9,88492.80124496615
0.8,0.1,93229.91560608789
0.8,0.3,103459.04784305872
0.8,0.5,95127.38489195504
0.8,0.7,102235.35780425408
0.8,0.9,98278.53117551742
0.8,0.1,101615.02827961651
0.8,0.3,97774.0108416689
0.8,0.5,102837.85155764663
0.8,0.7,111758.64494327529
0.8,0.9,100988.66420286478
0.8,0.1,100512.32662500361
0.8,0.3,103486.17133581656
0.8,0.5,103435.30833761359
0.8,0.7,94847.55115055549
0.8,0.9,108375.29543647711
0.8,0.1,103131.93614840512
0.8,0.3,92974.81369166456
0.8,0.1,107050.03362333744
0.8,0.3,101854.1415273218
0.8,0.5,104483.55621942019
0.8,0.7,98808.63356819551
0.8,0.9,112736.37606095815
0.8,0.1,105039.97141383949
0.8,0.3,106610.41217737985
0.8,0.5,94948.19505864901
0.8,0.7,97851.34687985656
0.8,0.9,100391.86845561968
0.8,0.1,99132.84718132867
0.8,0.3,94541.06464383774
0.8,0.5,101505.49345715367
0.8,0.7,100221.49502323654
0.8,0.9,97869.82125889692
0.8,0.1,98426.54582257858
0.8,0.3,94344.50804081254
0.8,0.5,98925.18155704204
0.8,0.7,99627.20080200564
0.8,0.9,109045.22738392378
0.8,0.1,103464.52112440877
0.8,0.3,94910.30721994706
0.8,0.5,103251.41005375392
0.8,0.7,93726.35814089655
0.8,0.9,106980.41591313531
0.8,0.1,98044.56487039245
0.8,0.3,101190.77231630658
0.8,0.5,93131.24358405397
0.8,0.7,96120.02281544197
0.8,0.1,94119.80110565429
0.8,0.3,104572.56338578502
0.8,0.5,103298.14704425076
0.8,0.7,87600.14685316978
0.8,0.9,98673.27451601115
0.8,0.1,104345.49998135972
0.8,0.3,107243.07814522533
0.8,0.5,99054.40185599713
0.8,0.7,100634.92854844691
0.8,0.9,102516.084214892
0.8,0.1,94989.98216122537
0.8,0.3,105069.5408634564
0.8,0.5,115566.15443380036
0.8,0.7,99987.5587433726
0.8,0.9,92187.7710980299
0.8,0.1,108569.0148105145
0.8,0.3,95162.59540068633
0.8,0.5,103170.27543996894
0.8,0.7,95105.33102042205
0.8,0.9,139538.5251024067
0.8,0.1,97434.63911932173
0.8,0.3,93028.32601388756
0.8,0.5,94481.37340603817
0.8,0.7,104359.91117561994
0.8,0.9,106853.15868965829
0.8,0.1,102529.74711734703
0.8,0.1,96611.92794153943
0.8,0.3,110431.50088461705
0.8,0.5,96223.58902486159
0.8,0.7,109884.71391125482
0.8,0.9,103207.38392876124
0.8,0.1,103620.56772260123
0.8,0.3,102310.58179176616
0.8,0.5,99173.91455468479
0.8,0.7,101983.5560422894
0.8,0.9,97402.49653762726
0.8,0.1,112280.3487309628
0.8,0.3,99066.6099979865
0.8,0.5,111404.28859435918
0.8,0.7,84112.3686060634
0.8,0.9,108960.09812366123
0.8,0.1,109737.55110082416
0.8,0.3,110919.30006904944
0.8,0.5,100302.86951276424
0.8,0.7,95323.04633575852
0.8,0.9,102310.0228189043
0.8,0.1,100753.78033276294
0.8,0.3,98880.64701714428
0.8,0.5,99418.49658725387
0.8,0.7,117175.340726983
0.8,0.9,103942.14831426465
0.8,0.1,100970.25143890265
0.8,0.3,99994.11539015753
0.8,0.5,101395.60171536703
0.8,0.7,95422.43178415373
0.8,0.9,93440.37017137298
0.8,0.1,83658.22859621639
0.8,0.3,98143.78404066915
0.8,0.5,88955.12448578984
0.8,0.7,97727.06755895753
0.8,0.9,97559.7379389171
