proportion_train,proportion_test,value
0.8,0.1,100278.05941094215
0.8,0.3,101603.71000559244
0.8,0.5,98988.97333317995
0.8,0.7,106298.4846452942
0.8,0.9,95067.12305470686
0.8,0.1,105401.21929606237
0.8,0.3,105790.79725349497
0.8,0.5,98365.84427012385
0.8,0.7,88659.2645972994
0.8,0.9,103345.58320404316
0.8,0.1,102587.81035791432
0.8,0.3,91223.3913662187
0.8,0.5,109219.05671311617
0.8,0.7,100893.31511988035
0.8,0.9,111382.18162440805
0.8,0.1,102818.90796713265
0.8,0.3,97548.59433852043
0.8,0.5,114168.44903230113
0.8,0.7,103694.32113114026
0.8,0.9,111513.68959010138
0.8,0.1,109256.74831879252
0.8,0.3,98900.32284397208
0.8,0.5,98406.40517721108
0.8,0.7,105977.54428679428
0.8,0.9,110771.2906079755
0.8,0.1,85163.32614573854
0.8,0.3,109084.75864914365
0.8,0.5,113175.60594799333
0.8,0.7,110875.94458369979
0.8,0.9,101571.99520192563
0.8,0.1,94953.32812526879
0.8,0.3,103247.47585443575
0.8,0.5,106991.45852595594
0.8,0.7,110916.63659654689
0.8,0.9,112761.62383496066
0.8,0.1,104201.67696479091
0.8,0.3,93915.98161777151
0.8,0.5,104093.29988322314
0.8,0.7,101011.58788105511
0.8,0.9,94295.51137479155
0.8,0.1,123267.29256693163
0.8,0.3,105132.17303374675
0.8,0.5,115087.27718331688
0.8,0.7,96033.35365325233
0.8,0.9,88008.89239395293
0.8,0.1,105794.58607477497
0.8,0.3,104895.23050259882
0.8,0.5,109584.47647749557
0.8,0.1,103141.31612711506
0.8,0.3,109675.97720616452
0.8,0.5,101957.8975795613
0.8,0.7,110331.57475619733
0.8,0.9,99145.97603497935
0.8,0.1,90021.03786797685
0.8,0.3,97668.08800869346
0.8,0.5,99381.25747113136
0.8,0.7,111454.3141951941
0.8,0.9,98260.15764070944
0.8,0.1,95833.15154171629
0.8,0.3,97637.88644716912
0.8,0.5,107314.23985344877
0.8,0.7,105983.43936862177
0.8,0.9,107831.29043005266
0.8,0.1,97807.45781029241
0.8,0.3,104980.3736228531
0.8,0.5,99011.40138413936
0.8,0.7,102845.37656503479
0.8,0.9,103409.19887479144
0.8,0.1,101925.49784387162
0.8,0.3,108361.95464224197
0.8,0.5,102161.0165533095
0.8,0.7,104578.80189593174
0.8,0.9,104143.440859446
0.8,0.1,105348.00043989327
0.8,0.3,103797.87938888553
0.8,0.5,94651.75900875515
0.8,0.7,104349.67354528722
0.8,0.9,99249.77586458722
0.8,0.1,106993.66118844684
0.8,0.3,107805.01965255382
0.8,0.5,106838.68256301768
0.8,0.7,98161.67865434369
0.8,0.1,103637.25848500461
0.8,0.3,94958.23185609138
0.8,0.5,113040.71521052247
0.8,0.7,102257.73788394216
0.8,0.9,114521.40406044028
0.8,0.1,93649.13043910236
0.8,0.3,89259.23312226876
0.8,0.5,103292.61649035651
0.8,0.7,108006.97711888097
0.8,0.9,103168.90339708012
0.8,0.1,100309.96544896583
0.8,0.3,101240.99526876002
0.8,0.5,89670.61971290396
0.8,0.7,104121.66436966782
0.8,0.9,97365.38321951857
0.8,0.1,99293.46344200571
0.8,0.3,112146.5392824389
0.8,0.5,109906.43417601612
0.8,0.7,94919.86060948943
0.8,0.9,97212.56806498447
0.8,0.1,104467.75919639162
0.8,0.3,95694.86849536898
0.8,0.5,105335.2654043944
0.8,0.7,103759.01456476451
0.8,0.9,99596.25757025408
0.8,0.1,96733.85716404891
0.8,0.3,101560.3677270036
0.8,0.5,108686.26864704919
0.8,0.7,102197.21502056946
0.8,0.9,121542.50262844509
0.8,0.1,105469.44847962409
0.8,0.3,96925.42013446112
0.8,0.5,94455.62527667587
0.8,0.7,103225.12349934716
0.8,0.9,93875.72966645818
0.8,0.1,85663.10633360081
0.8,0.3,103879.94602832054
0.8,0.5,96408.60365711118
0.8,0.7,104001.9965697614
0.8,0.9,110948.32530846442
0.8,0.1,96131.48375315459
0.8,0.3,104341.0150219873
0.8,0.5,102142.26223976922
0.8,0.7,100271.99474125018
0.8,0.9,104335.3883724181
0.8,0.1,115433.04861331788
0.8,0.3,99121.30844396212
0.8,0.5,104405.65251778811
0.8,0.7,106270.51836536478
0.8,0.9,96691.64640668973
0.8,0.1,102065.335679577
0.8,0.3,107817.24617438516
0.8,0.5,106261.28329842474
0.8,0.7,107758.49695277648
0.8,0.9,98396.8553074811
0.8,0.1,91072.36813793059
0.8,0.3,90105.00255038755
0.8,0.5,92174.0234878787
0.8,0.7,101033.82238599536
0.8,0.9,102399.77070107238
0.8,0.1,99008.323012527
0.8,0.3,98442.19325822653
0.8,0.5,104597.83935014403
0.8,0.7,102021.99632176626
0.8,0.9,106194.26715719719
0.8,0.1,83904.7422822382
0.8,0.3,102585.57573115679
0.8,0.5,97633.7422393917
0.8,0.7,114398.53686111831
0.8,0.9,107585.83988228372
