proportion_train,proportion_test,value
0.8,0.1,31793.641344800566
0.8,0.3,23583.33787726493
0.8,0.5,26192.078492140758
0.8,0.7,28224.421538900035
0.8,0.9,23008.659999908392
0.8,0.1,23655.185847946726
0.8,0.3,27288.64499463127
0.8,0.5,29949.773518142123
0.8,0.7,27602.449368167283
0.8,0.9,28351.785642813786
0.8,0.1,29420.43817852043
0.8,0.3,25545.73600124594
0.8,0.5,27325.349748471013
0.8,0.7,25339.63041052524
0.8,0.9,25753.639639909394
0.8,0.1,29335.50841992417
0.8,0.3,31516.789163697962
0.8,0.5,27633.656860123687
0.8,0.7,25041.41991252764
0.8,0.9,29508.35010153607
0.8,0.1,26937.71519245445
0.8,0.3,22811.339385188807
0.8,0.5,28319.568118800085
0.8,0.7,25585.136049057914
0.8,0.9,25864.295022280592
0.8,0.1,28097.28990847498
0.8,0.3,21810.377971494683
0.8,0.5,29898.71291932941
0.8,0.7,27609.003648209182
0.8,0.9,24643.194612285573
0.8,0.1,24320.391194281543
0.8,0.3,23877.023156270287
0.8,0.5,26324.447172929453
0.8,0.7,23803.335389953932
0.8,0.9,24524.70264999009
0.8,0.1,25336.052450365336
0.8,0.3,28934.81539242643
0.8,0.5,22529.40819245402
0.8,0.7,25112.16047412851
0.8,0.9,34863.73466913314
0.8,0.1,23963.42106736709
0.8,0.3,29691.61616254103
0.8,0.5,29833.180913491356
0.8,0.7,25374.645282081612
0.8,0.9,26504.44222715439
0.8,0.1,30655.053444044865
0.8,0.3,30834.10253977136
0.8,0.5,22628.482711605215
0.8,0.7,29425.01510854334
0.8,0.9,26218.872229859076
0.8,0.1,20777.01523451694
0.8,0.3,22408.751968568384
0.8,0.5,25593.465065476656
0.8,0.7,25072.661639379032
0.8,0.9,31531.809543976837
0.8,0.1,27200.951163948284
0.8,0.3,29351.773341522072
0.8,0.5,29112.187988747795
0.8,0.7,23381.795479217028
0.8,0.9,26394.173897732326
0.8,0.1,23082.738451434656
0.8,0.3,24929.74127669849
0.8,0.5,26347.653612660095
0.8,0.7,27918.636733353727
0.8,0.9,26597.843462518504
0.8,0.1,26455.449085137352
0.8,0.3,26800.731701662946
0.8,0.5,23250.46484980751
0.8,0.7,24398.21987328628
0.8,0.9,33472.3837598491
0.8,0.1,32035.160645876444
0.8,0.3,24141.77670376615
0.8,0.5,25906.3326857096
0.8,0.7,28622.209998612183
0.8,0.9,26995.13863309101
0.8,0.1,28626.48720093352
0.8,0.3,25836.086336385353
0.8,0.5,31919.552535488463
0.8,0.7,24153.74008718028
0.8,0.9,28186.389863435175
0.8,0.1,27443.14573140262
0.8,0.3,24996.557807523106
0.8,0.5,24913.700011182726
0.8,0.7,27550.98308037979
0.8,0.9,29474.472091158317
0.8,0.1,28927.527084006775
0.8,0.3,24628.108695284678
0.8,0.5,29138.67360577603
0.8,0.7,27719.116450146117
0.8,0.9,27040.389008447757
0.8,0.1,28976.444462971795
0.8,0.3,27224.155993229397
0.8,0.5,21092.1594206966
0.8,0.7,23405.512088853888
0.8,0.9,26394.232625169767
0.8,0.1,28830.10375349754
0.8,0.1,28952.793943585715
0.8,0.3,21896.947257401127
0.8,0.3,26104.767524300518
0.8,0.5,22182.94033143211
0.8,0.5,27298.38991950657
0.8,0.7,26259.28831574578
0.8,0.7,26530.149963237312
0.8,0.9,24873.234693041228
0.8,0.9,29680.73070506017
0.8,0.1,28023.487353819954
0.8,0.1,25453.3878328364
0.8,0.3,34112.338392111786
0.8,0.3,28101.17305348024
0.8,0.5,31570.14094499716
0.8,0.5,30472.005517632653
0.8,0.7,29924.140253699727
0.8,0.7,26872.12495477944
0.8,0.9,22962.867582561135
0.8,0.9,25518.849310600348
0.8,0.1,25895.542870189925
0.8,0.1,26752.15131542053
0.8,0.1,25452.1096396261
0.8,0.1,24340.826726266005
0.8,0.1,24052.68441039056
0.8,0.3,29193.75312738519
0.8,0.3,27965.92892996492
0.8,0.3,24482.415684169184
0.8,0.3,27316.320701672397
0.8,0.3,30716.36441416489
0.8,0.5,24774.712582196866
0.8,0.5,26117.70042245751
0.8,0.5,22662.961467388497
0.8,0.5,23791.63536078184
0.8,0.5,22158.8982397723
0.8,0.7,27546.22734492257
0.8,0.7,25593.62264279822
0.8,0.7,23847.628954187832
0.8,0.7,29788.018606088153
0.8,0.7,32399.083926725958
0.8,0.9,25799.473656333692
0.8,0.9,26349.914563413025
0.8,0.9,28693.093876988685
0.8,0.9,28602.403866994093
0.8,0.9,28965.490600961526
0.8,0.1,25223.869036076696
0.8,0.1,25304.982962403607
0.8,0.1,23785.9560956394
0.8,0.1,25630.11187409676
0.8,0.1,25475.606289488067
0.8,0.3,22541.309781488344
0.8,0.3,23139.834758281133
0.8,0.3,27892.72694742918
0.8,0.3,26543.058394992328
0.8,0.3,30402.241443973
0.8,0.5,26117.31637547723
0.8,0.5,29585.719695103213
0.8,0.5,31635.1957812027
0.8,0.5,28435.00052754704
0.8,0.5,28516.190891251958
0.8,0.7,23337.085615603337
0.8,0.7,27332.489543107255
0.8,0.7,28008.727863838503
0.8,0.7,28533.33356009693
0.8,0.7,27992.285183346616
0.8,0.9,25110.94619280674
0.8,0.9,25231.241036715306
0.8,0.9,22049.605656630916
0.8,0.9,27246.692559465082
0.8,0.9,25267.00417951891
0.8,0.1,29999.016785310236
0.8,0.1,26747.458086076374
0.8,0.1,30629.49488447358
0.8,0.1,29409.112194948048
