proportion_train,proportion_test,value
0.8,0.1,26207.321405113173
0.8,0.3,28109.36802339787
0.8,0.5,23292.42211062026
0.8,0.7,29385.280171978065
0.8,0.9,27279.256403386582
0.8,0.1,25675.186377139464
0.8,0.3,24851.73929893455
0.8,0.5,25611.99398865184
0.8,0.7,25525.463500792535
0.8,0.9,26297.718364160966
0.8,0.1,29043.999616152672
0.8,0.3,21425.564104368106
0.8,0.5,23275.753288124328
0.8,0.7,31651.467747295697
0.8,0.9,24672.359336836846
0.8,0.1,24656.606769969025
0.8,0.3,28170.675372238697
0.8,0.5,31022.283917149052
0.8,0.7,22250.838350925755
0.8,0.9,26564.47832840047
0.8,0.1,30303.13083290878
0.8,0.3,31942.263277407495
0.8,0.5,30066.738465897022
0.8,0.7,29702.665563593284
0.8,0.9,26414.325734011465
0.8,0.1,25953.568019818496
0.8,0.3,30040.353072251924
0.8,0.5,29371.327168421776
0.8,0.7,23760.48192170434
0.8,0.9,27316.78326658026
0.8,0.1,27887.405295174525
0.8,0.3,27147.38080355723
0.8,0.5,27081.646790995605
0.8,0.7,26533.86241384923
0.8,0.9,28001.06071801556
0.8,0.1,27429.49092892909
0.8,0.3,21992.630330215696
0.8,0.5,26303.304937040826
0.8,0.7,24153.334114807618
0.8,0.9,25129.417030856242
0.8,0.1,23695.322671889688
0.8,0.3,25269.988193514622
0.8,0.5,36146.60003731857
0.8,0.7,22572.493203111415
0.8,0.9,23950.26432499527
0.8,0.1,23762.261495363255
0.8,0.3,27389.26148605397
0.8,0.5,21672.746638233104
0.8,0.7,27030.675723797976
0.8,0.9,26127.559169795823
0.8,0.1,24440.78429187341
0.8,0.3,23102.311484979655
0.8,0.5,25804.63213656772
0.8,0.7,28130.75886992941
0.8,0.9,23586.45024105894
0.8,0.1,25214.154431514908
0.8,0.3,24551.966617581424
0.8,0.5,25859.93830332683
0.8,0.7,27014.20355098652
0.8,0.9,27489.22679439024
0.8,0.1,26315.582806784892
0.8,0.3,30243.712801437385
0.8,0.5,24760.65027637609
0.8,0.7,30720.11699664318
0.8,0.9,24717.739991252733
0.8,0.1,31354.86291817617
0.8,0.3,25768.79965961287
0.8,0.5,26849.349111080333
0.8,0.7,24686.287001195185
0.8,0.9,23787.240029474066
0.8,0.1,25026.878081215225
0.8,0.3,27376.234070349612
0.8,0.5,23141.08672552844
0.8,0.7,31400.306583526974
0.8,0.9,22044.457061602134
0.8,0.1,26180.175365210915
0.8,0.3,25706.89588146411
0.8,0.5,31690.411144867176
0.8,0.7,24510.882840595652
0.8,0.9,29180.455622324185
0.8,0.1,25083.9715454059
0.8,0.3,23526.879100946655
0.8,0.5,27322.68359126596
0.8,0.7,29244.22732991616
0.8,0.9,26948.984764401266
0.8,0.1,29269.69509989698
0.8,0.3,25083.98344255483
0.8,0.5,23444.765187292574
0.8,0.7,22675.446507841927
0.8,0.9,25357.66155844062
0.8,0.1,26932.26538902408
0.8,0.3,27365.83060589035
0.8,0.5,30311.847503717952
0.8,0.7,25410.442471270642
0.8,0.9,22558.21903752196
0.8,0.1,28682.375661329464
0.8,0.3,30953.087876820948
0.8,0.5,22047.417253320218
0.8,0.7,26465.69103277037
0.8,0.9,27411.687129729493
0.8,0.1,24856.757124204145
0.8,0.3,28178.665599571257
0.8,0.5,25563.610762955137
0.8,0.7,31800.241667310198
0.8,0.9,27262.609000297205
0.8,0.1,28343.51278770347
0.8,0.3,23939.743651278015
0.8,0.5,25970.762602234172
0.8,0.7,28660.144337678717
0.8,0.9,27416.584249773976
0.8,0.1,25522.328781466025
0.8,0.3,23931.552074096973
0.8,0.5,23194.350687865022
0.8,0.7,30730.4035763379
0.8,0.9,26966.4355678566
0.8,0.1,24354.384704705342
0.8,0.3,25588.314023662315
0.8,0.5,28455.03102217261
0.8,0.7,29062.973907717766
0.8,0.1,30983.256429194582
0.8,0.3,23580.30213289316
0.8,0.9,27908.455638821077
0.8,0.5,25616.74935793178
0.8,0.1,21882.866979462837
0.8,0.7,26324.44412244113
0.8,0.3,22475.55049705679
0.8,0.5,21507.32991501046
0.8,0.9,24609.526262442647
0.8,0.7,25032.496280658637
0.8,0.1,28353.164084955737
0.8,0.3,29107.980150846684
0.8,0.9,24500.858304431047
0.8,0.5,35186.20796198757
0.8,0.1,21962.893293093603
0.8,0.7,30123.91245192796
0.8,0.3,25421.887834213412
0.8,0.9,31050.365635051785
0.8,0.5,26119.7244814621
0.8,0.7,26442.859342373387
0.8,0.1,28068.418287469456
0.8,0.3,26618.612641832002
0.8,0.9,31388.51565196187
0.8,0.5,30587.48681436746
0.8,0.1,27367.169140053025
0.8,0.7,24790.011235521368
0.8,0.3,27733.905591788167
0.8,0.9,26907.386723165222
0.8,0.5,26014.564435707325
0.8,0.7,26342.071058323945
0.8,0.1,27124.02723757182
0.8,0.3,28009.643110132536
0.8,0.9,23215.411028661165
0.8,0.5,33155.64959318412
0.8,0.1,29349.56698681675
