proportion_train,proportion_test,value
0.8,0.1,26076.06424529747
0.8,0.1,27594.027073485977
0.8,0.3,26217.44066701663
0.8,0.3,28820.026455567862
0.8,0.1,27599.58545273196
0.8,0.1,24045.1278816443
0.8,0.1,28857.536030528445
0.8,0.1,28518.011719084374
0.8,0.3,26979.129773972836
0.8,0.3,23461.10303464701
0.8,0.3,25992.36177490456
0.8,0.3,28871.52750671472
0.8,0.5,28631.8315472078
0.8,0.5,26256.235047383867
0.8,0.5,28693.703489308144
0.8,0.5,25522.04273249889
0.8,0.5,25472.406924179104
0.8,0.5,24608.78150759185
0.8,0.7,28062.472847385456
0.8,0.7,28497.43190045154
0.8,0.7,29437.986105112574
0.8,0.7,24693.017545260132
0.8,0.7,25242.51340692921
0.8,0.7,30592.477220691846
0.8,0.9,24500.987340221487
0.8,0.9,31106.448816358065
0.8,0.9,24556.799998451137
0.8,0.9,30327.523125227766
0.8,0.9,26490.8864484678
0.8,0.9,27628.638618512643
0.8,0.1,27983.865713142393
0.8,0.1,27871.617777577816
0.8,0.3,29465.153771258752
0.8,0.3,22426.779593676187
0.8,0.1,27129.08955089421
0.8,0.1,24622.457022781677
0.8,0.1,29395.85842745514
0.8,0.1,30547.538999984015
0.8,0.3,26534.13382913802
0.8,0.3,27309.59812910475
0.8,0.3,33171.41411701186
0.8,0.3,29423.21287090966
0.8,0.5,25736.438845162087
0.8,0.5,24862.586653581428
0.8,0.5,22551.70529930982
0.8,0.5,29101.159240664005
0.8,0.5,27549.812653861
0.8,0.5,25288.619869592298
0.8,0.7,33881.722670978415
0.8,0.7,28209.819961702175
0.8,0.7,25728.456163488096
0.8,0.7,23870.679614825964
0.8,0.7,27083.60186919263
0.8,0.7,31042.891045365155
0.8,0.9,28454.01235552788
0.8,0.9,29877.742377767216
0.8,0.9,28138.697985756542
0.8,0.9,30533.186828886664
0.8,0.9,27189.016703652775
0.8,0.9,23769.057197959515
0.8,0.1,22034.73176249805
0.8,0.1,23598.047736482087
0.8,0.1,28079.02451932341
0.8,0.3,25881.01992130926
0.8,0.3,26226.893243051443
0.8,0.1,27081.809754899186
0.8,0.1,29553.24458719926
0.8,0.1,28997.583821735592
0.8,0.3,23307.202948651513
0.8,0.3,28766.48491467585
0.8,0.3,30292.04432772158
0.8,0.3,26773.063490622324
0.8,0.5,25298.27476437441
0.8,0.5,27994.354848710635
0.8,0.5,25765.059150799236
0.8,0.5,24603.74058119246
0.8,0.5,30603.582904445477
0.8,0.5,24402.11300343837
0.8,0.7,27363.896114308733
0.8,0.7,27044.069933386105
0.8,0.7,24002.45503946462
0.8,0.7,25682.119397727703
0.8,0.7,27052.294828633498
0.8,0.7,32432.267748140286
0.8,0.9,23304.86713006335
0.8,0.9,23711.678449900563
0.8,0.9,29255.368572417006
0.8,0.9,26649.82861479253
0.8,0.9,29691.059408816825
0.8,0.9,27676.79326235503
0.8,0.1,27662.863244166307
0.8,0.1,22983.9723176778
0.8,0.1,28155.088119674456
0.8,0.3,24411.72542958024
0.8,0.3,21117.893971843794
0.8,0.1,26736.27340319781
0.8,0.1,29460.40976108613
0.8,0.3,23738.291039507654
0.8,0.1,29615.41094043138
0.8,0.3,28995.339090830632
0.8,0.5,25568.658302286447
0.8,0.5,23141.78334967067
0.8,0.3,28214.146925438778
0.8,0.3,27724.014080909183
0.8,0.5,24589.828991556715
0.8,0.5,30954.81358438654
0.8,0.5,25153.351467913955
0.8,0.5,28595.94049050497
0.8,0.7,29260.954963942575
0.8,0.7,26104.247367473323
0.8,0.7,24151.4817117098
0.8,0.7,25085.024219153096
0.8,0.7,31896.180509543992
0.8,0.7,24748.152402280557
0.8,0.9,22653.516649710742
0.8,0.9,30689.8471905293
0.8,0.9,25313.374314321794
0.8,0.9,27423.554332173888
0.8,0.9,23834.63031873106
0.8,0.9,26613.080255924302
0.8,0.1,23977.078607546166
0.8,0.1,29865.759849326903
0.8,0.1,26025.505042477853
0.8,0.3,27952.80248040362
0.8,0.1,21242.939781319004
0.8,0.3,25978.48873498282
0.8,0.3,23635.16548533853
0.8,0.1,26819.403224036665
0.8,0.1,24751.325978909004
0.8,0.3,26119.264694402795
0.8,0.5,24578.553332277796
0.8,0.3,30652.989170238
0.8,0.3,28192.081313462557
0.8,0.5,24571.539230948616
0.8,0.5,22939.504978564306
0.8,0.5,26201.45084101864
0.8,0.5,22608.34909712095
0.8,0.7,21470.880688186873
0.8,0.5,27783.09674000273
0.8,0.7,26242.552399044238
0.8,0.7,28280.806068390597
0.8,0.7,26000.94173453505
0.8,0.7,29133.217054233934
0.8,0.7,25803.230088107437
0.8,0.9,25671.337127129722
0.8,0.9,27194.650792639142
0.8,0.9,29120.16562328263
0.8,0.9,26458.170032359172
0.8,0.9,29019.135364051544
0.8,0.9,29451.69334532387
0.8,0.1,25507.383205973634
0.8,0.3,29805.944668315136
0.8,0.1,25892.548717771628
0.8,0.3,26476.41535544496
0.8,0.5,24682.040820736995
0.8,0.5,23359.84286973117
0.8,0.7,28644.99515469869
0.8,0.7,29719.634290844264
0.8,0.9,31885.95807822324
0.8,0.9,28358.849551568812
0.8,0.1,23708.86494091253
0.8,0.3,29419.645939542508
0.8,0.1,24469.500264855113
0.8,0.5,29294.569206657034
0.8,0.3,28867.448378486515
0.8,0.5,24741.03391014245
0.8,0.7,26855.060830497412
0.8,0.7,23492.056153432604
0.8,0.9,25709.573209734557
0.8,0.9,24770.31453794247
0.8,0.1,27414.20777720361
0.8,0.3,23028.029961181135
0.8,0.1,27461.237387169083
