proportion_train,proportion_test,value
None,0.1,21893.62482709216
None,0.1,10666.074725874096
None,0.1,14999.847696312518
None,0.1,22062.922075791488
None,0.1,12605.238714415465
None,0.1,37733.09541717867
None,0.1,4929.881166786107
None,0.1,37771.38906669319
None,0.1,50590.31736800083
None,0.1,14860.856609311231
None,0.1,47623.81549801096
None,0.1,47786.94063617757
None,0.1,11354.54116111392
None,0.1,38029.06155246234
None,0.1,26052.27496823835
None,0.1,5861.194157564663
None,0.1,34967.54511611029
None,0.1,4260.460166268225
None,0.1,36054.580587334014
None,0.1,45743.77513927864
None,0.1,25362.60773552886
None,0.1,12450.247014708715
None,0.1,19140.41292254271
None,0.1,28519.368856656518
None,0.1,19227.933983346265
None,0.1,36145.83028267985
None,0.1,16465.443332339713
None,0.1,24213.089070223814
None,0.1,16814.552637806166
None,0.1,17253.230901556028
None,0.3,21883.812534537297
None,0.3,29214.304727556813
None,0.3,45764.11431024218
None,0.3,23680.146776163107
None,0.3,37865.39250481008
None,0.3,30051.50450482484
None,0.3,38220.78064939446
None,0.3,38352.20595370432
None,0.3,23713.19731352698
None,0.3,17164.632872466776
None,0.3,27369.538239015717
None,0.3,45410.49902886064
None,0.3,36836.84898582043
None,0.3,44298.188945818125
None,0.3,28253.94023609158
None,0.3,29311.280391463693
None,0.3,21324.12324787037
None,0.3,27968.64138212829
None,0.3,25931.23036082159
None,0.3,17939.93449566574
None,0.3,27440.691198383465
None,0.3,48298.05133379113
None,0.3,24778.927258596028
None,0.3,15125.653426637438
None,0.3,29476.233258905148
None,0.3,21610.10176251925
None,0.3,24183.350113112978
None,0.3,19258.38258633227
None,0.3,33363.97971883173
None,0.3,47404.26944618209
None,0.5,14221.304992910804
None,0.5,33048.02237911419
None,0.5,28437.00522119125
None,0.5,25498.81813356623
None,0.5,20313.0669245884
None,0.5,31469.221473705125
None,0.5,36157.22337086637
None,0.5,27648.315631761343
None,0.5,27774.931121083337
None,0.5,27576.09886386775
None,0.5,28040.691496155105
None,0.5,37822.86256410162
None,0.5,29179.00285436617
None,0.5,35067.84712234176
None,0.5,32062.396769526546
None,0.5,31165.015106601353
None,0.5,45795.70480316322
None,0.5,26091.607049158978
None,0.5,34695.2766529605
None,0.5,42022.70702616027
None,0.5,27841.14772202541
None,0.5,31318.70238417939
None,0.5,32050.563321618858
None,0.5,25598.9620836235
None,0.5,27758.426131982495
None,0.5,29380.64937921163
None,0.5,22224.3669337374
None,0.5,33575.002417649215
None,0.5,28170.03283353507
None,0.5,36893.45203793672
None,0.7,25648.494668296116
None,0.7,28826.855780469552
None,0.7,28663.921406751477
None,0.7,32279.067772113194
None,0.7,30558.09180221856
None,0.7,32464.50437028265
None,0.7,37071.21317370149
None,0.7,30265.809966830115
None,0.7,25567.63110773068
None,0.7,28148.48988335094
None,0.7,27849.819226465042
None,0.7,29306.445101995534
None,0.7,29192.36227856356
None,0.7,26136.122239679975
None,0.7,27430.571498238205
None,0.7,30220.987540751332
None,0.7,29704.610422568447
None,0.7,32616.166821428047
None,0.7,22133.219144235958
None,0.7,28542.064722360636
None,0.7,25182.17086990833
None,0.7,31345.26916339953
None,0.7,26205.219353778375
None,0.7,25983.40953572852
None,0.7,26499.855540088327
None,0.7,29023.418850412596
None,0.7,25934.055457958995
None,0.7,25875.80386440605
None,0.7,31684.36436560078
None,0.7,27916.168184599752
None,0.9,27685.522424141167
None,0.9,27274.695002989258
None,0.9,30038.8517807323
None,0.9,31465.562517456347
None,0.9,28845.63427296972
None,0.9,32028.641018182218
None,0.9,28126.998033728254
None,0.9,29364.536181540607
None,0.9,32934.248208542434
None,0.9,31187.71491057563
None,0.9,30368.57350528888
None,0.9,31754.17586843226
None,0.9,25426.431223142492
None,0.9,27659.940213600083
None,0.9,27066.014451449486
None,0.9,30088.417690501454
None,0.9,31424.155515726965
None,0.9,31657.43575612689
None,0.9,30286.17812005051
None,0.9,32004.18808517615
None,0.9,29557.216756398917
None,0.9,28382.567391067612
None,0.9,28592.698249967758
None,0.9,25925.266866555718
None,0.9,29574.675560884432
None,0.9,24587.543966197223
None,0.9,26100.71351697648
None,0.9,30801.095883511865
None,0.9,30196.973296675482
None,0.9,31194.451932151813
