proportion_train,proportion_test,value
0.8,0.1,38373.423182780236
0.8,0.3,22247.23307685591
0.8,0.5,36395.36932415061
0.8,0.7,32177.744914883522
0.8,0.9,30139.5889038873
0.8,0.1,20096.923788938537
0.8,0.3,25606.884605695606
0.8,0.5,26722.246065372132
0.8,0.7,25554.62281757565
0.8,0.9,28844.68070554952
0.8,0.1,47060.95207057188
0.8,0.3,29659.40620367006
0.8,0.5,27910.146728641477
0.8,0.7,31920.92891322427
0.8,0.9,32868.21824700459
0.8,0.1,9706.582339782852
0.8,0.3,24874.88032088446
0.8,0.5,26164.38001872932
0.8,0.7,25505.803227067277
0.8,0.9,32220.808789366885
0.8,0.1,5346.643763256793
0.8,0.3,22978.91337421638
0.8,0.5,39476.27810956168
0.8,0.1,16870.81631871794
0.8,0.3,15335.011584360276
0.8,0.5,37422.36754260614
0.8,0.7,27248.494581297415
0.8,0.9,29479.584316670815
0.8,0.1,7341.160909298895
0.8,0.3,23028.399229169416
0.8,0.5,36564.948618584254
0.8,0.7,31713.52726598054
0.8,0.9,30900.71245810719
0.8,0.1,20379.531958059684
0.8,0.3,28651.44078002793
0.8,0.5,44770.07404283323
0.8,0.7,23239.18670245852
0.8,0.9,30385.39856682531
0.8,0.1,42286.1680411518
0.8,0.3,37478.63389406667
0.8,0.5,39234.42027703047
0.8,0.7,29120.397165147726
0.8,0.9,27097.93623706559
0.8,0.1,18619.228247050818
0.8,0.3,31269.147363638018
0.8,0.5,36196.152750472946
0.8,0.1,10219.004924822235
0.8,0.3,32316.19117159471
0.8,0.5,27206.659972026257
0.8,0.7,28538.60666738147
0.8,0.9,33171.687206337934
0.8,0.1,86036.51914293377
0.8,0.3,41718.56399673855
0.8,0.5,31103.089891489173
0.8,0.7,29279.138185152922
0.8,0.9,32857.75559874858
0.8,0.1,10386.670586726204
0.8,0.3,41255.224912995036
0.8,0.5,35643.20146630212
0.8,0.7,36606.008334253
0.8,0.9,32881.807402137245
0.8,0.1,20551.22913045979
0.8,0.3,20788.622332876417
0.8,0.5,24104.57684532979
0.8,0.7,20193.960305921253
0.8,0.9,30536.672153473486
0.8,0.1,24518.31026264664
0.8,0.3,38839.972338335676
0.8,0.5,30425.044969677558
0.8,0.7,29542.57391144765
0.8,0.9,25912.701902417535
0.8,0.1,47562.732331246254
0.8,0.1,38581.95053426606
0.8,0.3,31381.65417896806
0.8,0.5,35912.814975716305
0.8,0.7,30643.281237429273
0.8,0.9,30110.523860295845
0.8,0.1,18156.473666220267
0.8,0.3,46394.584128517046
0.8,0.5,39468.9369792862
0.8,0.7,30400.57701338172
0.8,0.9,28681.71538227475
0.8,0.1,26333.363958996357
0.8,0.3,14798.8348949048
0.8,0.5,25882.379972561328
0.8,0.7,25578.924043252537
0.8,0.9,28170.71319979331
0.8,0.1,25930.983502062798
0.8,0.3,39133.21352308579
0.8,0.5,22877.744875189223
0.8,0.7,26841.841223802963
0.8,0.9,26423.997145163936
0.8,0.1,37318.587618321595
0.8,0.3,40871.863780835185
0.8,0.5,38925.27917891455
0.8,0.7,24130.819012262196
0.8,0.9,27573.976372520512
0.8,0.1,20103.585633361217
0.8,0.3,23537.12307480419
0.8,0.5,24197.681599312364
0.8,0.1,32767.869762053397
0.8,0.3,25605.349314123745
0.8,0.5,22400.304337063633
0.8,0.7,30159.17582340052
0.8,0.9,30192.731954832172
0.8,0.1,27258.874736041897
0.8,0.3,46197.6359623801
0.8,0.5,22668.45734583116
0.8,0.7,35055.34440786538
0.8,0.9,29043.836526169238
0.8,0.1,21076.99200201449
0.8,0.3,30454.77917733817
0.8,0.5,24876.17935283866
0.8,0.7,32238.985523377345
0.8,0.9,25508.798484691477
0.8,0.1,44103.6540196475
0.8,0.3,30004.907696656122
0.8,0.5,28794.399071841588
0.8,0.7,33609.206089790256
0.8,0.9,31266.428459884944
0.8,0.1,28550.780990671825
0.8,0.3,18940.703226177153
0.8,0.5,28101.756947266847
0.8,0.7,27721.985221224142
0.8,0.9,33410.728989089075
0.8,0.1,28609.587971402547
0.8,0.3,32773.38929710387
0.8,0.5,39738.53928198399
0.8,0.7,24405.775270954706
0.8,0.9,32072.704887102584
0.8,0.1,22316.454972040585
0.8,0.3,18653.415311528955
0.8,0.5,23932.951396506607
0.8,0.7,31436.277972829503
0.8,0.9,32012.87146723064
0.8,0.1,38870.763987130485
0.8,0.3,33598.15747708983
0.8,0.5,35018.58734281271
0.8,0.7,30743.65364386261
0.8,0.9,31732.787466102494
0.8,0.1,15340.525233742082
0.8,0.3,31043.7694582212
0.8,0.5,36532.1536474215
0.8,0.7,27864.770376119137
0.8,0.9,28168.947473006814
0.8,0.1,26773.028505633778
0.8,0.3,38748.86491293775
0.8,0.5,29119.97267340865
0.8,0.7,34140.231698139694
0.8,0.9,30944.827658814505
0.8,0.1,23885.588997416635
0.8,0.3,34162.977821527435
0.8,0.5,25832.24589549405
0.8,0.7,25283.46759667796
0.8,0.9,5.519918787325921e+33
0.8,0.1,32247.039557908964
0.8,0.3,24126.701966056797
0.8,0.5,39965.58370051637
0.8,0.7,29452.542595208462
0.8,0.9,32272.278475411844
