proportion_train,proportion_test,value
0.8,0.1,58473.250303479064
0.8,0.3,54894.16998807824
0.8,0.5,47742.1383452571
0.8,0.7,52011.5210087473
0.8,0.9,53899.17164419136
0.8,0.1,88128.97133658653
0.8,0.3,64359.29038228046
0.8,0.5,51013.78208411182
0.8,0.7,53652.27915773453
0.8,0.9,55046.61036894969
0.8,0.1,62971.82308388196
0.8,0.3,55627.21887295713
0.8,0.5,60398.80262626158
0.8,0.7,47064.81653635792
0.8,0.9,50326.393582763805
0.8,0.1,39457.15535373279
0.8,0.3,71080.9929100775
0.8,0.5,39148.93530280249
0.8,0.7,41762.43401645462
0.8,0.1,56403.7432113945
0.8,0.3,53567.0217180903
0.8,0.5,56633.75201332944
0.8,0.7,47827.75057215067
0.8,0.9,54822.40236098994
0.8,0.1,50464.86582677002
0.8,0.3,56481.114483211524
0.8,0.5,61848.16754593284
0.8,0.7,54194.41802277518
0.8,0.9,54432.548621333066
0.8,0.1,39429.76331653012
0.8,0.3,57678.32982305918
0.8,0.5,53134.402351453755
0.8,0.7,58042.57840693286
0.8,0.9,2.9477973067693076e+18
0.8,0.1,57315.56591552853
0.8,0.3,1.502648807528985e+65
0.8,0.5,55046.64588561765
0.8,0.7,60451.83866702395
0.8,0.9,54461.71125504656
0.8,0.1,18963.61095342316
0.8,0.3,59893.897001098645
0.8,0.5,62334.09739897307
0.8,0.7,53940.00207847246
0.8,0.9,55002.36929591525
0.8,0.1,29050.71579006253
0.8,0.3,48417.00257771155
0.8,0.1,70837.12883190882
0.8,0.3,63648.93843557802
0.8,0.5,51573.56044284603
0.8,0.7,54365.95474796121
0.8,0.9,44732.406994621466
0.8,0.1,58123.10339511497
0.8,0.3,43409.32640379209
0.8,0.5,58205.53861460436
0.8,0.7,52328.28657525357
0.8,0.9,1.558995917263983e+24
0.8,0.1,76614.60306091447
0.8,0.3,24414.59275362007
0.8,0.5,60347.03522485659
0.8,0.7,54421.14549637082
0.8,0.9,51190.85593166446
0.8,0.1,58377.39401970473
0.8,0.3,42948.14510197646
0.8,0.5,43094.39730057247
0.8,0.7,49007.25288196049
0.8,0.9,55791.65013313788
0.8,0.1,79909.04280502984
0.8,0.3,56025.15592113859
0.8,0.5,41417.82818342557
0.8,0.7,58990.77941388659
0.8,0.9,53366.09305184679
0.8,0.1,27253.720643320677
0.8,0.3,57637.94891302995
0.8,0.5,69931.27905986189
0.8,0.7,57676.86322412347
0.8,0.9,54072.06415992625
0.8,0.1,122858.53828574285
0.8,0.3,63600.43420743698
0.8,0.5,49743.53750025763
0.8,0.1,56149.54307754605
0.8,0.3,59448.812888859524
0.8,0.5,64442.19095904807
0.8,0.7,62271.63019675814
0.8,0.9,55656.63461100178
0.8,0.1,69027.16567776346
0.8,0.3,48814.95810593266
0.8,0.5,51052.394748594954
0.8,0.7,39228.721162471586
0.8,0.9,53540.125016941085
0.8,0.1,75031.42601685117
0.8,0.3,80070.49532404386
0.8,0.5,56099.38774795064
0.8,0.7,50878.45711850604
0.8,0.9,49568.35749160222
0.8,0.1,84857.82794041552
0.8,0.3,39255.488119312795
0.8,0.5,54430.00467499668
0.8,0.7,53994.2343809931
0.8,0.9,53175.11792583653
0.8,0.1,75433.46183602764
0.8,0.3,66110.91070759126
0.8,0.5,41307.77591337404
0.8,0.7,54706.200836282034
0.8,0.9,49780.93730322319
0.8,0.1,21255.14638763247
0.8,0.3,69005.36193731142
0.8,0.5,51555.160872067456
0.8,0.7,51596.922203015136
0.8,0.9,51411.79499107838
0.8,0.1,76605.69326664771
0.8,0.3,49053.248443066084
0.8,0.5,67248.34375765428
0.8,0.7,50666.459329255274
0.8,0.1,80665.62869600178
0.8,0.3,47180.787062086194
0.8,0.5,41917.35777249947
0.8,0.7,57584.28794795891
0.8,0.9,53049.218430251676
0.8,0.1,50574.3827091193
0.8,0.3,51754.60672445908
0.8,0.5,50069.56909834509
0.8,0.7,53891.30200322758
0.8,0.9,47161.334003714204
0.8,0.1,68348.97471448466
0.8,0.3,54138.787443883666
0.8,0.5,54139.06393543381
0.8,0.7,46531.786393602466
0.8,0.9,48773.513167197314
0.8,0.1,56100.7119814857
0.8,0.3,56386.473390729865
0.8,0.5,49412.275840083785
0.8,0.7,53931.34031331185
0.8,0.9,52518.36305769924
0.8,0.1,110296.8785124032
0.8,0.3,48756.72388233245
0.8,0.5,46504.499262320904
0.8,0.7,51123.32101894549
0.8,0.9,52713.458720590184
0.8,0.1,16830.94638543167
0.8,0.3,60819.683831417235
0.8,0.5,56681.4915802043
0.8,0.7,49546.3861883998
0.8,0.9,49380.239279058114
0.8,0.1,51719.927690562414
0.8,0.3,58026.82419798106
0.8,0.5,50219.11542926985
0.8,0.7,43718.44234770285
0.8,0.9,47285.516538679345
