proportion_train,proportion_test,value
0.8,0.1,25481.471357031583
0.8,0.3,28308.999751884956
0.8,0.5,28401.3096482257
0.8,0.7,27224.73474505369
0.8,0.9,29723.03507026429
0.8,0.1,18548.947658665213
0.8,0.3,37932.22418199159
0.8,0.5,36380.3320893909
0.8,0.7,32752.073692756094
0.8,0.9,29975.579115950964
0.8,0.1,29324.23166139468
0.8,0.3,29972.782570868356
0.8,0.5,21458.22396088085
0.8,0.7,37008.39238310496
0.8,0.9,30236.0069146167
0.8,0.1,21037.962120914002
0.8,0.3,20747.672197630498
0.8,0.5,36161.06068908238
0.8,0.7,32212.57248080989
0.8,0.9,29308.409731347234
0.8,0.1,48685.429618022776
0.8,0.3,30821.15724333983
0.8,0.5,35265.145070524435
0.8,0.7,32144.94576020704
0.8,0.9,32964.86181443489
0.8,0.1,40615.834485889834
0.8,0.3,39392.11001060331
0.8,0.5,37181.910515888514
0.8,0.7,30924.19403974142
0.8,0.9,31142.18588788524
0.8,0.1,12854.155317844346
0.8,0.3,30622.356911881485
0.8,0.5,24476.65300448383
0.8,0.7,33182.507660267234
0.8,0.9,32201.746212418795
0.8,0.1,18719.262065773175
0.8,0.3,38895.55592926547
0.8,0.5,23978.31296270134
0.8,0.7,24571.056296536295
0.8,0.9,31520.94502158651
0.8,0.1,45327.97025714619
0.8,0.3,32521.428815160565
0.8,0.5,31879.39613750715
0.8,0.7,33633.51515296044
0.8,0.9,32178.152070430137
0.8,0.1,48918.78181742468
0.8,0.3,48379.019660977036
0.8,0.5,14280.44713912616
0.8,0.7,35738.456160514594
0.8,0.9,28839.612334742334
0.8,0.1,34820.049171658786
0.8,0.3,25276.361831810715
0.8,0.5,29910.704758775064
0.8,0.7,28517.83043022886
0.8,0.9,31414.283091028858
0.8,0.1,31969.052043015243
0.8,0.3,18116.908824991668
0.8,0.5,20788.07235422625
0.8,0.7,33320.98707358151
0.8,0.9,32425.13395457275
0.8,0.1,19815.546755791278
0.8,0.3,30802.987043479086
0.8,0.5,25876.90698611268
0.8,0.7,34791.4515122924
0.8,0.9,29013.98534577728
0.8,0.1,17990.244618473902
0.8,0.3,23788.56168773994
0.8,0.5,31707.9631349772
0.8,0.7,30463.875732029806
0.8,0.9,30947.115243573822
0.8,0.1,15010.763515967215
0.8,0.3,26301.22585664431
0.8,0.5,26046.03071639637
0.8,0.7,29430.069896969817
0.8,0.9,30367.913315653448
0.8,0.1,19111.909059040005
0.8,0.3,40356.62558209055
0.8,0.5,18785.083206372194
0.8,0.7,26209.968860233017
0.8,0.9,30828.7962735074
0.8,0.1,15286.790743657908
0.8,0.3,41247.62749750691
0.8,0.5,38034.38968660508
0.8,0.7,34574.67512563102
0.8,0.1,10704.838354808373
0.8,0.3,29003.76678578452
0.8,0.5,30239.4494702559
0.8,0.7,25078.54185854752
0.8,0.9,30997.694513937407
0.8,0.1,42529.04528682513
0.8,0.3,24558.058707099797
0.8,0.5,31700.653088821207
0.8,0.7,32783.04581281854
0.8,0.9,31955.982615534784
0.8,0.1,33658.39920957948
0.8,0.1,30226.505384115666
0.8,0.3,23639.535093034137
0.8,0.3,20858.13841240833
0.8,0.5,30717.574131770692
0.8,0.5,26364.045166672342
0.8,0.7,32132.895150540753
0.8,0.7,32447.016768332465
0.8,0.9,30155.80315487425
0.8,0.9,24371.078382012765
0.8,0.1,65397.58075342131
0.8,0.1,10805.952020044877
0.8,0.3,30592.607523167426
0.8,0.3,35179.6298155314
0.8,0.5,23203.45792601099
0.8,0.5,31910.12639185764
0.8,0.7,28070.695748016547
0.8,0.7,30994.82049043889
0.8,0.9,31514.280096145852
0.8,0.9,31053.818686567658
0.8,0.1,54716.23615460669
0.8,0.1,45512.22414944043
0.8,0.1,19597.422469942157
0.8,0.1,16495.42181951484
0.8,0.1,24861.288817474757
0.8,0.3,24590.019286934203
0.8,0.3,17716.193096215226
0.8,0.3,28739.910553353693
0.8,0.3,45403.727970706066
0.8,0.3,22741.993291804734
0.8,0.5,26056.275440884758
0.8,0.5,33120.410436537735
0.8,0.5,26797.183415502823
0.8,0.5,35794.4285127011
0.8,0.5,27345.25310856709
0.8,0.7,24447.918370445735
0.8,0.7,29284.045150104903
0.8,0.7,29698.974354868664
0.8,0.7,29360.941270786647
0.8,0.7,33590.791498278755
0.8,0.9,29515.02226226472
0.8,0.9,32027.755134333733
0.8,0.9,31938.24628083227
0.8,0.9,31096.445458346436
0.8,0.9,27600.87083533469
0.8,0.1,43683.34414371279
0.8,0.1,56344.67885932359
0.8,0.1,31448.24402737284
0.8,0.1,35204.5096413092
0.8,0.1,19526.445642177387
0.8,0.3,26060.020965080683
0.8,0.3,51864.04171634382
0.8,0.3,36112.644554304636
0.8,0.3,28530.540121607104
0.8,0.3,26437.39383429136
0.8,0.5,17960.030902414906
0.8,0.5,34094.80725145385
0.8,0.5,31382.441997840917
0.8,0.5,32509.592338801463
0.8,0.5,30147.88332913475
0.8,0.7,31669.206361610504
0.8,0.7,28003.845618571442
0.8,0.7,34574.27463835656
0.8,0.7,28451.299612674542
0.8,0.7,35353.62471821254
0.8,0.9,30150.269404418174
0.8,0.9,30444.75493873101
0.8,0.9,28707.686518313305
0.8,0.9,33532.99275467634
