proportion_train,proportion_test,value
0.8,0.1,31266.060886911262
0.8,0.3,55215.84336703093
0.8,0.5,64391.37084120202
0.8,0.7,54904.146693338844
0.8,0.9,4.42451118696916e+81
0.8,0.1,61629.25430973905
0.8,0.3,30923.30693108071
0.8,0.5,32244.935276809272
0.8,0.7,53659.32515445572
0.8,0.9,55926.30446125006
0.8,0.1,72331.74032149733
0.8,0.3,48618.624913558524
0.8,0.5,56478.974410407216
0.8,0.7,45626.98180589437
0.8,0.9,52663.46236438963
0.8,0.1,35092.51759875452
0.8,0.3,84500.54310114759
0.8,0.5,43942.059001412694
0.8,0.7,63694.53717499067
0.8,0.9,3374939487242492.5
0.8,0.1,13193.869946977435
0.8,0.3,71326.94502726005
0.8,0.5,43946.13129631567
0.8,0.7,61353.68765444506
0.8,0.9,48400.685905240774
0.8,0.1,38448.1514140376
0.8,0.3,73054.44413974721
0.8,0.5,37096.86622698464
0.8,0.7,58686.20580483819
0.8,0.9,54837.351845287616
0.8,0.1,42336.86025789023
0.8,0.3,58108.43764460854
0.8,0.5,58325.982353549094
0.8,0.7,1.9176881168214693e+52
0.8,0.9,1.0186479216830423e+72
0.8,0.1,91444.06505326965
0.8,0.3,64494.58540164801
0.8,0.5,47414.71831722545
0.8,0.7,47330.83358840995
0.8,0.9,46586.0729471924
0.8,0.1,101927.88453006555
0.8,0.3,57564.95130447805
0.8,0.5,45832.583826272574
0.8,0.7,48692.85471876898
0.8,0.9,50679.162742297834
0.8,0.1,45329.91995817939
0.8,0.3,55983.4117322968
0.8,0.5,58619.388148539656
0.8,0.7,40834.90047663982
0.8,0.9,2.8841220468623262e+54
0.8,0.1,14718.818712578224
0.8,0.3,65192.11864755305
0.8,0.5,55562.32310684867
0.8,0.7,57257.402895466286
0.8,0.9,53019.84293685431
0.8,0.1,69720.96432078263
0.8,0.3,61701.11784058985
0.8,0.5,56109.568985124075
0.8,0.7,51677.098184065675
0.8,0.9,56933.227484965515
0.8,0.1,56345.700883822705
0.8,0.3,67661.01610027543
0.8,0.5,3.2587883997335405e+95
0.8,0.7,49756.98877188506
0.8,0.9,53847.58714979689
0.8,0.1,43228.197421510304
0.8,0.3,50874.67080875772
0.8,0.5,46827.523535118526
0.8,0.7,6.30439197808852e+16
0.8,0.9,51016.27963223274
0.8,0.1,41943.225571266325
0.8,0.3,56556.35642463048
0.8,0.5,56007.44489447399
0.8,0.7,4.81446776149337e+118
0.8,0.9,52012.310591443565
0.8,0.1,68181.77640787748
0.8,0.3,55936.98467540875
0.8,0.5,59104.21265388764
0.8,0.7,42397.59278398882
0.8,0.9,53782.35717778403
0.8,0.1,88702.872265781
0.8,0.3,66305.72174860054
0.8,0.5,59885.78838073777
0.8,0.7,57143.12809922088
0.8,0.9,52046.55169803132
0.8,0.1,14499.204011798607
0.8,0.3,40910.96850948613
0.8,0.5,47121.756779626
0.8,0.7,57724.73772167674
0.8,0.9,8.352273497893725e+83
0.8,0.1,66216.03876675804
0.8,0.3,59175.359551116504
0.8,0.5,68092.67046173979
0.8,0.7,7.118972675974264e+29
0.8,0.9,56507.684671538445
0.8,0.1,94046.44631607966
0.8,0.3,56645.805413060516
0.8,0.5,1.969755822254708e+21
0.8,0.7,50897.892158665054
0.8,0.9,49167.478978616855
0.8,0.1,92540.923115322
0.8,0.3,40210.225697083
0.8,0.5,66862.10664572264
0.8,0.7,50385.34398494944
0.8,0.9,56622.8918431781
0.8,0.1,43894.72566660225
0.8,0.3,58378.49204663528
0.8,0.5,2.3456367045356685e+28
0.8,0.7,55291.70491112725
0.8,0.9,51868.23893984323
0.8,0.1,57935.26152164446
0.8,0.3,70191.39138027062
0.8,0.5,44566.01327986997
0.8,0.7,55725.97612867429
0.8,0.9,45925.241667533424
0.8,0.1,67867.53971807961
0.8,0.3,35561.469680410366
0.8,0.5,40743.909674506394
0.8,0.1,1055764890.1615025
0.8,0.7,75847.95651372607
0.8,0.3,139794.7615685857
0.8,0.9,49378.873645415435
0.8,0.5,59215.670463052986
0.8,0.1,33380.07785612555
0.8,0.3,51117.34714340707
0.8,0.7,56757.67220832027
0.8,0.5,54726.2854778899
0.8,0.9,2.0856857511364864e+58
0.8,0.1,49549.903297301484
0.8,0.7,52920.96772757928
0.8,0.3,35017.159778854555
0.8,0.9,4.512104145617549e+117
0.8,0.5,48962.78157735748
0.8,0.1,63833.456378320174
0.8,0.7,48348.387429941504
0.8,0.3,55374.677814362585
0.8,0.5,45600.372956978135
0.8,0.9,50586.837037544574
0.8,0.1,8120.2538065183
0.8,0.7,46080.71680144212
0.8,0.3,64991.754147894564
0.8,0.9,53372.412480043495
0.8,0.5,70635.32469746642
0.8,0.1,59667.980498911136
0.8,0.7,55209.500791271756
0.8,0.3,42288.742999751725
0.8,0.5,58260.019176204754
0.8,0.9,47664.413110736954
0.8,0.1,72842.69065511049
0.8,0.7,50891.82576107234
0.8,0.3,66014.49641126848
0.8,0.9,49197.437981646115
