proportion_train,proportion_test,value
None,0.1,14012.013361817018
None,0.1,39892.42181982748
None,0.1,44825.75698339383
None,0.1,62575.8343461186
None,0.1,70346.98996362324
None,0.1,39734.1670978568
None,0.1,121322.67122071238
None,0.1,11610.012007822876
None,0.1,56872.0593133968
None,0.1,41261.98177717014
None,0.1,24119.506602460817
None,0.1,41014.43961860338
None,0.1,64174.82672700659
None,0.1,33994.77973498526
None,0.1,10238.183409021036
None,0.1,50860.6499690943
None,0.1,40723.801152052205
None,0.1,63312.95621984071
None,0.1,39837.555809815654
None,0.1,43709.43483116083
None,0.1,49601.609787292204
None,0.1,70978.09421292534
None,0.1,77889.11331458706
None,0.1,52548.27817008731
None,0.1,64593.25101682358
None,0.1,69653.54950245655
None,0.1,42915.97293400804
None,0.1,42952.551241489055
None,0.1,34203.845749329346
None,0.1,70856.82887887555
None,0.3,43734.17915298601
None,0.3,58552.91723579466
None,0.3,50669.03155465198
None,0.3,62441.225678147406
None,0.3,74949.59807878654
None,0.3,43462.13546774815
None,0.3,48766.92729339526
None,0.3,78028.41123088419
None,0.3,64675.3478084798
None,0.3,40359.63681146693
None,0.3,51040.33503544781
None,0.3,51754.947814308645
None,0.3,64943.97297185337
None,0.3,70775.28969365305
None,0.3,52310.601278904454
None,0.3,59158.02614522837
None,0.3,43893.31693838336
None,0.3,38357.53988293831
None,0.3,50988.53429322399
None,0.3,69475.762540352
None,0.3,37654.08008900592
None,0.3,50051.195493251005
None,0.3,56691.981593923294
None,0.3,54895.17177811591
None,0.3,56362.12810307595
None,0.3,58712.39866626469
None,0.3,57413.517359182035
None,0.3,71675.66751106449
None,0.3,58990.068158803006
None,0.3,46018.217162267494
None,0.5,63507.01608275533
None,0.5,42127.16260769728
None,0.5,46984.82934736835
None,0.5,45841.67529677146
None,0.5,54531.628290527064
None,0.5,61366.933731753365
None,0.5,60608.801020291925
None,0.5,44282.22165068449
None,0.5,44969.50228203956
None,0.5,46490.812366775375
None,0.5,48316.92708614193
None,0.5,55427.692310695944
None,0.5,57983.37946105068
None,0.5,52377.37719981647
None,0.5,58331.88306294005
None,0.5,49248.99819980504
None,0.5,59084.11361579603
None,0.5,59008.64941791501
None,0.5,56570.38173279326
None,0.5,61550.891292093234
None,0.5,54638.03430452405
None,0.5,59958.95109047543
None,0.5,53459.31382257034
None,0.5,47870.53676534291
None,0.5,60925.68210366551
None,0.5,50023.87008120561
None,0.5,69996.04008154824
None,0.5,46422.84305191416
None,0.5,60379.98639770088
None,0.5,42175.945443965684
None,0.7,62025.35166953562
None,0.7,47918.301629925496
None,0.7,48124.89719237851
None,0.7,60829.592477664395
None,0.7,53970.45377346749
None,0.7,57435.36550970227
None,0.7,49611.011649130436
None,0.7,51629.994788526696
None,0.7,51862.37497375808
None,0.7,50734.834589780876
None,0.7,54782.609305684986
None,0.7,55983.19797231379
None,0.7,47787.83094689723
None,0.7,47038.73476836782
None,0.7,52916.488719301364
None,0.7,53229.46209078303
None,0.7,51144.21156760714
None,0.7,48368.54096758202
None,0.7,52746.93401647492
None,0.7,60951.404321946444
None,0.7,52914.182038848194
None,0.7,47109.26564495013
None,0.7,59644.04223342755
None,0.7,51195.75803907263
None,0.7,41868.39368777697
None,0.7,60707.57299066348
None,0.7,41507.59957509025
None,0.7,52652.82661141279
None,0.7,49823.57624701014
None,0.7,50530.48251885932
None,0.9,50940.15620945613
None,0.9,51934.16378409822
None,0.9,54812.947116474475
None,0.9,54233.218510111554
None,0.9,55403.06314029917
None,0.9,50484.51472261644
None,0.9,58244.619008188696
None,0.9,56045.1632108835
None,0.9,51392.6431955933
None,0.9,1.61208058106509e+80
None,0.9,51377.8989385298
None,0.9,56226.70361423124
None,0.9,54781.13062350575
None,0.9,52569.34734156726
None,0.9,52458.051983379875
None,0.9,48836.832083078625
None,0.9,52998.31654220789
None,0.9,49746.29328520406
None,0.9,50196.51083563166
None,0.9,51334.30058613421
None,0.9,48160.54212640131
None,0.9,56841.74067558569
None,0.9,49485.029918099426
None,0.9,53215.09467362407
None,0.9,53767.01940619103
None,0.9,4186601191.225432
None,0.9,55741.20812152326
None,0.9,51523.74684638226
None,0.9,55496.31992717777
None,0.9,54741.636052633345
